datetime,BOE_RATE_Actual,BOE_RATE_Srv_Med,BOE_RATE_Revised,BOE_RATE_Prior
2023-08-03 19:00:00,5.25,5.25,5.00,5.00
2023-06-22 19:00:00,5.00,4.75,4.50,4.50
2023-05-11 19:00:00,4.50,4.50,4.25,4.25
2023-03-23 20:00:00,4.25,4.25,4.00,4.00
2023-02-02 20:00:00,4.00,4.00,3.50,3.50
2022-12-15 20:00:00,3.50,3.50,3.00,3.0
2022-11-03 20:00:00,3.0,3.0,2.25,2.25
2022-09-22 19:00:00,2.25,2.25,1.75,1.75
2022-08-04 19:00:00,1.75,1.75,1.25,1.25
2022-06-16 19:00:00,1.25,1.25,1.0,1.0
2022-05-05 19:00:00,1.0,1.0,0.75,0.75
2022-03-17 20:00:00,0.75,0.75,0.5,0.5
2022-02-03 20:00:00,0.5,0.5,0.25,0.25
2021-12-16 20:00:00,0.25,0.1,0.1,0.1
2021-11-04 20:00:00,0.1,0.1,0.1,0.1
2021-09-23 19:00:00,0.1,0.1,0.1,0.1
2021-08-05 19:00:00,0.1,0.1,0.1,0.1
2021-06-24 19:00:00,0.1,0.1,0.1,0.1
2021-05-06 19:00:00,0.1,0.1,0.1,0.1
2021-03-18 20:00:00,0.1,0.1,0.1,0.1
2021-02-04 20:00:00,0.1,0.1,0.1,0.1
2020-12-17 20:00:00,0.1,0.1,0.1,0.1
2020-11-05 15:00:00,0.1,0.1,0.1,0.1
2020-09-17 19:00:00,0.1,0.1,0.1,0.1
2020-08-06 14:00:00,0.1,0.1,0.1,0.1
2020-06-18 19:00:00,0.1,0.1,0.1,0.1
2020-05-07 14:00:00,0.1,0.1,0.1,0.1
2020-03-26 20:00:00,0.1,0.1,0.1,0.1
2020-03-19 20:00:00,0.1,0.25,0.25,0.25
2020-03-11 15:00:00,0.25,,0.75,0.75
2020-01-30 20:00:00,0.75,0.75,0.75,0.75
2019-12-19 20:00:00,0.75,0.75,0.75,0.75
2019-11-07 20:00:00,0.75,0.75,0.75,0.75
2019-09-19 19:00:00,0.75,0.75,0.75,0.75
2019-08-01 19:00:00,0.75,0.75,0.75,0.75
2019-06-20 19:00:00,0.75,0.75,0.75,0.75
2019-05-02 19:00:00,0.75,0.75,0.75,0.75
2019-03-21 20:00:00,0.75,0.75,0.75,0.75
2019-02-07 20:00:00,0.75,0.75,0.75,0.75
2018-12-20 20:00:00,0.75,0.75,0.75,0.75
2018-11-01 20:00:00,0.75,0.75,0.75,0.75
2018-09-13 19:00:00,0.75,0.75,0.75,0.75
2018-08-02 19:00:00,0.75,0.75,0.5,0.5
2018-06-21 19:00:00,0.5,0.5,0.5,0.5
2018-05-10 19:00:00,0.5,0.5,0.5,0.5
2018-03-22 20:00:00,0.5,0.5,0.5,0.5
2018-02-08 20:00:00,0.5,0.5,0.5,0.5
2017-12-14 20:00:00,0.5,0.5,0.5,0.5
2017-11-02 20:00:00,0.5,0.5,0.25,0.25
2017-09-14 19:00:00,0.25,0.25,0.25,0.25
2017-08-03 19:00:00,0.25,0.25,0.25,0.25
2017-06-15 19:00:00,0.25,0.25,0.25,0.25
2017-05-11 19:00:00,0.25,0.25,0.25,0.25
2017-03-16 20:00:00,0.25,0.25,0.25,0.25
2017-02-02 20:00:00,0.25,0.25,0.25,0.25
2016-12-15 20:00:00,0.25,0.25,0.25,0.25
2016-11-03 20:00:00,0.25,0.25,0.25,0.25
2016-09-15 19:00:00,0.25,0.25,0.25,0.25
2016-08-04 19:00:00,0.25,0.25,0.5,0.5
2016-07-14 19:00:00,0.5,0.25,0.5,0.5
2016-06-16 19:00:00,0.5,0.5,0.5,0.5
2016-05-12 19:00:00,0.5,0.5,0.5,0.5
2016-04-14 19:00:00,0.5,0.5,0.5,0.5
2016-03-17 20:00:00,0.5,0.5,0.5,0.5
2016-02-04 20:00:00,0.5,0.5,0.5,0.5
2016-01-14 20:00:00,0.5,0.5,0.5,0.5
2015-12-10 20:00:00,0.5,0.5,0.5,0.5
2015-11-05 20:00:00,0.5,0.5,0.5,0.5
2015-10-08 19:00:00,0.5,0.5,0.5,0.5
2015-09-10 19:00:00,0.5,0.5,0.5,0.5
2015-08-06 19:00:00,0.5,0.5,0.5,0.5
2015-07-09 19:00:00,0.5,0.5,0.5,0.5
2015-06-04 19:00:00,0.5,0.5,0.5,0.5
2015-05-11 19:00:00,0.5,0.5,0.5,0.5
2015-04-09 19:00:00,0.5,0.5,0.5,0.5
2015-03-05 20:00:00,0.5,0.5,0.5,0.5
2015-02-05 20:00:00,0.5,0.5,0.5,0.5
2015-01-08 20:00:00,0.5,0.5,0.5,0.5
2014-12-04 20:00:00,0.5,0.5,0.5,0.5
2014-11-06 20:00:00,0.5,0.5,0.5,0.5
2014-10-09 19:00:00,0.5,0.5,0.5,0.5
2014-09-04 19:00:00,0.5,0.5,0.5,0.5
2014-08-07 19:00:00,0.5,0.5,0.5,0.5
2014-07-10 19:00:00,0.5,0.5,0.5,0.5
2014-06-05 19:00:00,0.5,0.5,0.5,0.5
2014-05-08 19:00:00,0.5,0.5,0.5,0.5
2014-04-10 19:00:00,0.5,0.5,0.5,0.5
2014-03-06 20:00:00,0.5,0.5,0.5,0.5
2014-02-06 20:00:00,0.5,0.5,0.5,0.5
2014-01-09 20:00:00,0.5,0.5,0.5,0.5
2013-12-05 20:00:00,0.5,0.5,0.5,0.5
2013-11-07 20:00:00,0.5,0.5,0.5,0.5
