datetime,BOJ_RATE_Actual,BOJ_RATE_Srv_Med,BOJ_RATE_Revised,BOJ_RATE_Prior
2023-09-22 11:00:00,None,None,-0.10,-0.10
2023-07-28 11:00:00,-0.10,-0.10,-0.10,-0.10
2023-06-16 10:47:00,-0.10,-0.10,-0.10,-0.10
2023-04-28 12:00:00,-0.10,-0.10,-0.10,-0.10
2023-03-10 10:30:00,-0.10,-0.10,-0.10,-0.10
2023-01-18 10:40:00,-0.10,-0.10,-0.10,-0.10
2022-12-20 11:01:00,-0.10,-0.10,-0.1,-0.10
2022-10-28 10:50:00,-0.10,-0.10,-0.1,-0.10
2022-09-22 10:51:00,-0.10,-0.10,-0.1,-0.10
2022-07-21 11:04:00,-0.10,-0.10,-0.1,-0.10
2022-06-17 11:00:00,-0.10,,-0.1,-0.10
2022-06-17 10:43:00,-0.10,-0.10,-0.1,-0.10
2022-04-28 11:09:00,-0.10,-0.10,-0.1,-0.10
2022-03-18 10:51:00,-0.10,-0.10,-0.1,-0.10
2022-01-18 10:46:00,-0.10,-0.10,-0.1,-0.10
2021-12-17 10:57:00,-0.10,-0.10,-0.1,-0.10
2021-10-28 10:45:00,-0.10,-0.10,-0.1,-0.10
2021-09-22 10:47:00,-0.10,,-0.1,-0.10
2021-07-16 11:00:00,-0.10,-0.10,-0.1,-0.10
2021-06-18 11:30:00,-0.10,-0.10,-0.1,-0.10
2021-04-27 11:00:00,-0.10,-0.10,-0.1,-0.10
2021-03-19 11:39:00,-0.10,-0.10,-0.1,-0.10
2021-01-21 10:38:00,-0.10,-0.10,-0.1,-0.10
2020-12-18 11:13:00,-0.10,-0.10,-0.1,-0.10
2020-10-29 11:12:00,-0.10,-0.10,-0.1,-0.10
2020-09-17 13:15:00,-0.10,-0.10,-0.1,-0.10
2020-07-15 10:57:00,-0.10,-0.10,-0.1,-0.10
2020-06-16 10:33:00,-0.10,,-0.1,-0.10
2020-05-22 09:01:00,-0.10,,-0.1,-0.10
2020-04-27 12:00:00,-0.10,-0.10,-0.1,-0.10
2020-03-16 13:00:00,-0.10,-0.10,-0.1,-0.10
2020-01-21 11:00:00,-0.10,-0.10,-0.1,-0.10
2019-12-19 11:00:00,-0.10,-0.10,-0.1,-0.10
2019-10-31 11:00:00,-0.10,-0.10,-0.1,-0.10
2019-09-19 11:00:00,-0.10,-0.10,-0.1,-0.10
