datetime,US_EGIC_WoW_Actual,US_EGIC_WoW_Srv_Med,US_EGIC_WoW_Revised,US_EGIC_WoW_Prior
2023-08-30 22:30:00,-0.214,-0.933,1.467,1.467
2023-08-23 22:30:00,1.467,-0.888,-0.261,-0.261
2023-08-16 22:30:00,-0.261,-1.260,-2.661,-2.661
2023-08-09 22:30:00,-2.661,-0.008,1.480,1.480
2023-08-02 22:30:00,1.480,-1.300,-0.786,-0.786
2023-07-26 22:30:00,-0.786,-1.678,-1.066,-1.066
2023-07-19 22:30:00,-1.066,-1.577,-0.003,-0.003
2023-07-12 22:30:00,-0.003,-0.727,-2.550,-2.550
2023-07-06 23:00:00,-2.550,-1.417,0.603,0.603
2023-06-28 22:30:00,0.603,-0.126,0.479,0.479
2023-06-22 23:00:00,0.479,1.091,2.108,2.108
2023-06-14 22:30:00,2.108,0.637,2.746,2.746
2023-06-07 22:30:00,2.746,0.88,-0.207,-0.207
2023-06-01 23:00:00,-0.207,-0.369,-2.053,-2.053
2023-05-24 22:30:00,-2.053,-0.695,-1.381,-1.381
2023-05-17 22:30:00,-1.381,-1.06,-3.168,-3.168
2023-05-10 22:30:00,-3.168,-1.233,1.743,1.743
2023-05-03 22:30:00,1.743,-1.157,-2.408,-2.408
2023-04-26 22:30:00,-2.408,-0.933,1.3,1.3
2023-04-19 22:30:00,1.3,-1.267,-0.331,-0.331
2023-04-12 22:30:00,-0.331,-1.6,-4.119,-4.119
2023-04-05 22:30:00,-4.119,-1.729,-2.904,-2.904
2023-03-29 22:30:00,-2.904,-1.617,-6.4,-6.4
2023-03-22 22:30:00,-6.4,-1.677,-2.061,-2.061
2023-03-15 22:30:00,-2.061,-1.82,-1.134,-1.134
2023-03-08 23:30:00,-1.134,-1.863,-0.874,-0.874
2023-03-01 23:30:00,-0.874,0.464,-1.856,-1.856
2023-02-24 00:00:00,-1.856,0.108,2.317,2.317
2023-02-15 23:30:00,2.317,1.543,5.008,5.008
2023-02-08 23:30:00,5.008,1.271,2.576,2.576
2023-02-01 23:30:00,2.576,1.442,1.763,1.763
2023-01-25 23:30:00,1.763,1.767,3.483,3.483
2023-01-20 00:00:00,3.483,2.529,4.114,4.114
2023-01-11 23:30:00,4.114,1.186,-0.346,-0.346
2023-01-06 00:00:00,-0.346,-0.486,-3.105,-3.105
2022-12-30 00:00:00,-3.105,0.52,2.53,2.53
2022-12-21 23:30:00,2.53,2.14,4.496,4.496
2022-12-14 23:30:00,4.496,2.714,5.32,5.32
2022-12-07 23:30:00,5.32,2.707,2.769,2.769
2022-11-30 23:30:00,2.769,1.625,3.058,3.058
2022-11-23 23:30:00,3.058,0.383,2.207,2.207
2022-11-16 23:30:00,2.207,0.31,-0.899,-0.899
2022-11-09 23:30:00,-0.899,-1.08,-1.257,-1.257
2022-11-02 22:30:00,-1.257,-1.358,-1.478,-1.478
2022-10-26 22:30:00,-1.478,-0.805,-0.114,-0.114
2022-10-19 22:30:00,-0.114,-1.114,2.023,2.023
2022-10-13 23:00:00,2.023,-1.825,-4.728,-4.728
2022-10-05 22:30:00,-4.728,-1.334,-2.422,-2.422
2022-09-28 22:30:00,-2.422,0.709,1.569,1.569
2022-09-21 22:30:00,1.569,-0.431,-1.767,-1.767
2022-09-14 22:30:00,-1.767,-0.858,0.333,0.333
2022-09-08 23:00:00,0.333,-1.667,-1.172,-1.172
2022-08-31 22:30:00,-1.172,-1.178,-0.027,-0.027
2022-08-24 22:30:00,-0.027,-1.464,-4.642,-4.642
2022-08-17 22:30:00,-4.642,-1.096,-4.978,-4.978
2022-08-10 22:30:00,-4.978,-0.633,0.163,0.163
2022-08-03 22:30:00,0.163,-1.614,-3.304,-3.304
2022-07-27 22:30:00,-3.304,-0.857,3.498,3.498
2022-07-20 22:30:00,3.498,0.071,5.825,5.825
2022-07-13 22:30:00,5.825,-0.357,-2.497,-2.497
2022-07-07 23:00:00,-2.497,-0.48,2.645,2.645
2022-06-29 22:30:00,2.645,-0.452,1.489,1.489
2022-06-29 22:25:00,1.489,,-0.71,-0.71
2022-06-15 22:30:00,-0.71,1.066,-0.812,-0.812
2022-06-08 22:30:00,-0.812,1.075,-0.711,-0.711
2022-06-02 23:00:00,-0.711,0.533,-0.482,-0.482
2022-05-25 22:30:00,-0.482,-0.634,-4.779,-4.779
2022-05-18 22:30:00,-4.779,-1.333,-3.607,-3.607
2022-05-11 22:30:00,-3.607,-1.574,-2.23,-2.23
2022-05-04 22:30:00,-2.23,-0.589,-1.573,-1.573
2022-04-27 22:30:00,-1.573,0.808,-0.761,-0.761
2022-04-20 22:30:00,-0.761,-0.976,-3.649,-3.649
2022-04-13 22:30:00,-3.649,-0.388,-2.041,-2.041
2022-04-06 22:30:00,-2.041,0.063,0.785,0.785
2022-03-30 22:30:00,0.785,-1.744,-2.947,-2.947
2022-03-23 22:30:00,-2.947,-1.986,-3.616,-3.616
2022-03-16 22:30:00,-3.616,-1.579,-1.405,-1.405
2022-03-09 23:30:00,-1.405,-2.105,-0.468,-0.468
2022-03-02 23:30:00,-0.468,-1.375,-0.582,-0.582
2022-02-25 00:00:00,-0.582,-1.45,-1.331,-1.331
2022-02-16 23:30:00,-1.331,0.55,-1.644,-1.644
2022-02-09 23:30:00,-1.644,1.623,2.119,2.119
2022-02-02 23:30:00,2.119,1.645,1.297,1.297
2022-01-26 23:30:00,1.297,2.548,5.873,5.873
2022-01-21 00:00:00,5.873,2.634,7.961,7.961
2022-01-12 23:30:00,7.961,2.408,10.128,10.128
2022-01-05 23:30:00,10.128,1.775,-1.458,-1.459
2021-12-29 23:30:00,-1.459,-0.031,5.533,5.533
2021-12-22 23:30:00,5.533,0.467,-0.719,-0.719
2021-12-15 23:30:00,-0.719,1.606,3.882,3.882
2021-12-08 23:30:00,3.882,1.798,4.029,4.029
2021-12-01 23:30:00,4.029,0.029,-0.603,-0.603
2021-11-24 23:30:00,-0.603,-0.461,-0.708,-0.708
2021-11-17 23:30:00,-0.708,-0.575,-1.555,-1.555
2021-11-10 23:30:00,-1.555,-1.193,-1.488,-1.488
2021-11-03 22:30:00,-1.488,-1.333,-1.994,-1.994
2021-10-27 22:30:00,-1.994,-1.862,-5.368,-5.368
2021-10-20 22:30:00,-5.368,-1.267,-1.958,-1.958
2021-10-14 23:00:00,-1.958,-0.083,3.256,3.256
2021-10-06 22:30:00,3.256,-0.279,0.193,0.193
2021-09-29 22:30:00,0.193,1.4,3.475,3.475
2021-09-22 22:30:00,3.475,-1.067,-1.858,-1.858
2021-09-15 22:30:00,-1.858,-1.957,-7.215,-7.215
2021-09-09 23:00:00,-7.215,-3.39,1.29,1.29
2021-09-01 22:30:00,1.29,-1.633,-2.242,-2.242
2021-08-25 22:30:00,-2.242,-1.557,0.696,0.696
2021-08-18 22:30:00,0.696,-1.671,-1.4,-1.4
2021-08-11 22:30:00,-1.4,-1.657,-5.292,-5.292
2021-08-04 22:30:00,-5.292,-1.78,-2.253,-2.253
2021-07-28 22:30:00,-2.253,-0.916,-0.121,-0.121
2021-07-21 22:30:00,-0.121,-1.043,1.039,1.039
2021-07-14 22:30:00,1.039,-1.786,-6.076,-6.076
2021-07-08 23:00:00,-6.076,-2.176,1.522,1.522
2021-06-30 22:30:00,1.522,-0.886,-2.93,-2.93
2021-06-23 22:30:00,-2.93,0.833,1.954,1.954
2021-06-16 22:30:00,1.954,-0.614,7.046,7.046
2021-06-09 22:30:00,7.046,0.698,1.5,1.5
2021-06-03 23:00:00,1.5,-1.479,-1.745,-1.745
2021-05-26 22:30:00,-1.745,-0.614,-1.963,-1.963
2021-05-19 22:30:00,-1.963,-0.886,0.378,0.378
2021-05-12 22:30:00,0.378,-0.6,0.737,0.737
2021-05-05 22:30:00,0.737,-0.652,0.092,0.092
2021-04-28 22:30:00,0.092,0.508,0.086,0.086
2021-04-21 22:30:00,0.086,0.464,0.309,0.309
2021-04-14 22:30:00,0.309,0.786,4.044,4.044
2021-04-07 22:30:00,4.044,-0.221,-1.735,-1.735
2021-03-31 22:30:00,-1.735,0.73,0.203,0.203
2021-03-24 22:30:00,0.203,1.186,0.472,0.472
2021-03-17 22:30:00,0.472,-2.996,-11.869,-11.869
2021-03-10 23:30:00,-11.869,-3.467,-13.624,-13.624
2021-03-03 23:30:00,-13.624,-2.3,0.012,0.012
2021-02-24 23:30:00,0.012,-3.062,0.672,0.672
2021-02-19 00:00:00,0.672,1.397,4.259,4.259
2021-02-10 23:30:00,4.259,1.814,4.466,4.466
2021-02-03 23:30:00,4.466,1.134,2.47,2.47
2021-01-27 23:30:00,2.47,1.764,-0.26,-0.26
2021-01-23 00:00:00,-0.26,2.771,4.395,4.395
2021-01-13 23:30:00,4.395,2.695,4.519,4.519
2021-01-06 23:30:00,4.519,1.525,-1.192,-1.192
2020-12-30 23:30:00,-1.192,1.662,-1.125,-1.125
2020-12-23 23:30:00,-1.125,1.21,1.02,1.02
2020-12-16 23:30:00,1.02,1.614,4.222,4.222
2020-12-09 23:30:00,4.222,2.271,3.491,3.491
2020-12-02 23:30:00,3.491,2.386,2.18,2.18
2020-11-25 23:30:00,2.18,0.614,2.611,2.611
2020-11-18 23:30:00,2.611,0.087,-2.309,-2.309
2020-11-13 00:00:00,-2.309,-0.263,1.541,1.541
2020-11-04 23:30:00,1.541,-0.871,-0.892,-0.892
2020-10-28 22:30:00,-0.892,-0.961,1.895,1.895
2020-10-21 22:30:00,1.895,-1.829,-1.626,-1.626
2020-10-15 23:00:00,-1.626,-1.607,-1.435,-1.435
2020-10-07 22:30:00,-1.435,-0.471,0.683,0.683
2020-09-30 22:30:00,0.683,-1.083,-4.025,-4.025
2020-09-23 22:30:00,-4.025,-0.648,-0.381,-0.381
2020-09-16 22:30:00,-0.381,-0.16,-2.954,-2.954
2020-09-10 23:00:00,-2.954,-2.384,-4.32,-4.32
2020-09-02 22:30:00,-4.32,-3.036,-4.584,-4.584
2020-08-26 22:30:00,-4.584,-1.533,-3.322,-3.322
2020-08-19 22:30:00,-3.322,-1.057,-0.722,-0.722
2020-08-12 22:30:00,-0.722,-0.674,0.419,0.419
2020-08-05 22:30:00,0.419,-0.17,0.654,0.654
2020-07-29 22:30:00,0.654,-0.733,-1.802,-1.802
2020-07-22 22:30:00,-1.802,-1.386,-3.147,-3.147
2020-07-15 22:30:00,-3.147,-0.643,-4.839,-4.839
2020-07-08 22:30:00,-4.839,-0.002,1.199,1.199
2020-07-01 22:30:00,1.199,-1.583,-1.673,-1.673
2020-06-24 22:30:00,-1.673,-1.304,-1.667,-1.667
2020-06-17 22:30:00,-1.667,-0.017,0.866,0.866
2020-06-10 22:30:00,0.866,0.071,2.796,2.796
2020-06-03 22:30:00,2.796,1.0,-0.724,-0.724
2020-05-28 23:00:00,-0.724,0.1,2.83,2.83
2020-05-20 22:30:00,2.83,-2.134,-3.513,-3.513
2020-05-13 22:30:00,-3.513,-2.216,-3.158,-3.158
2020-05-06 22:30:00,-3.158,0.043,-3.669,-3.669
2020-04-29 22:30:00,-3.669,2.527,1.017,1.017
2020-04-22 22:30:00,1.017,3.578,4.914,4.914
2020-04-15 22:30:00,4.914,6.386,10.497,10.497
2020-04-08 22:30:00,10.497,4.333,7.524,7.524
2020-04-01 22:30:00,7.524,1.949,-1.537,-1.537
2020-03-25 22:30:00,-1.537,-0.657,-6.18,-6.18
2020-03-18 22:30:00,-6.18,-2.89,-5.048,-5.048
2020-03-11 22:30:00,-5.048,-2.482,-4.34,-4.34
2020-03-04 23:30:00,-4.34,-2.095,-2.691,-2.691
2020-02-26 23:30:00,-2.691,-2.245,-1.971,-1.971
2020-02-21 00:00:00,-1.971,0.435,-0.095,-0.095
2020-02-12 23:30:00,-0.095,0.546,-0.091,-0.091
2020-02-05 23:30:00,-0.091,2.057,1.203,1.203
2020-01-29 23:30:00,1.203,1.32,1.745,1.745
2020-01-24 00:00:00,1.745,3.09,6.678,6.678
2020-01-15 23:30:00,6.678,3.386,9.137,9.137
2020-01-08 23:30:00,9.137,2.654,3.212,3.212
2020-01-04 00:00:00,3.212,1.823,1.963,1.963
2019-12-28 00:00:00,1.963,1.663,2.529,2.529
2019-12-18 23:30:00,2.529,2.178,5.405,5.405
2019-12-11 23:30:00,5.405,2.533,3.385,3.385
2019-12-04 23:30:00,3.385,1.826,5.132,5.132
2019-11-27 23:30:00,5.132,1.222,1.756,1.756
