datetime,US_EHOIC_WoW_Actual,US_EHOIC_WoW_Srv_Med,US_EHOIC_WoW_Revised,US_EHOIC_WoW_Prior
2023-08-30 22:30:00,0.170,0.197,0.502,0.502
2023-08-23 22:30:00,0.502,0.183,-0.101,-0.101
2023-08-16 22:30:00,-0.101,0.038,0.166,0.166
2023-08-09 22:30:00,0.166,0.361,0.230,0.230
2023-08-02 22:30:00,0.230,0.082,-1.002,-1.002
2023-07-26 22:30:00,-1.002,0.222,0.223,0.223
2023-07-19 22:30:00,0.223,-0.108,0.439,0.439
2023-07-12 22:30:00,0.439,-0.234,-0.061,-0.061
2023-07-06 23:00:00,-0.061,0.371,-0.529,-0.529
2023-06-28 22:30:00,-0.529,-0.034,-0.380,-0.380
2023-06-22 23:00:00,-0.380,0.368,1.405,1.405
2023-06-14 22:30:00,1.405,0.100,-0.362,-0.362
2023-06-07 22:30:00,-0.362,-0.31,-1.289,-1.289
2023-06-01 23:00:00,-1.289,0.009,0.481,0.481
2023-05-24 22:30:00,0.481,0.024,0.454,0.454
2023-05-17 22:30:00,0.454,,-0.417,-0.417
2023-05-10 22:30:00,-0.417,0.084,0.648,0.648
2023-05-03 22:30:00,0.648,0.114,0.151,0.151
2023-04-26 22:30:00,0.151,-0.285,-0.26,-0.26
2023-04-19 22:30:00,-0.26,0.081,1.015,1.015
2023-04-12 22:30:00,1.015,0.171,-0.721,-0.721
2023-04-05 22:30:00,-0.721,-0.149,-0.164,-0.164
2023-03-29 22:30:00,-0.164,,0.578,0.578
2023-03-22 22:30:00,0.578,,-0.735,-0.735
2023-03-15 22:30:00,-0.735,,-0.65,-0.65
2023-03-08 23:30:00,-0.65,,0.548,0.548
2023-03-01 23:30:00,0.548,,0.597,0.597
2023-02-24 00:00:00,0.597,,-0.349,-0.349
2023-02-15 23:30:00,-0.349,,-0.115,-0.115
2023-02-08 23:30:00,-0.115,,-0.328,-0.328
2023-02-01 23:30:00,-0.328,,-0.234,-0.234
2023-01-25 23:30:00,-0.234,,-0.26,-0.26
2023-01-20 00:00:00,-0.26,,0.405,0.405
2023-01-11 23:30:00,0.405,,-0.476,-0.476
2023-01-06 00:00:00,-0.476,,0.011,0.011
2022-12-30 00:00:00,0.011,,-0.239,-0.239
2022-12-21 23:30:00,-0.239,,0.504,0.504
2022-12-14 23:30:00,0.504,,-0.705,-0.705
2022-12-07 23:30:00,-0.705,,-0.729,-0.729
2022-11-30 23:30:00,-0.729,,0.961,0.961
2022-11-23 23:30:00,0.961,,0.598,0.598
2022-11-16 23:30:00,0.598,,-0.217,-0.217
2022-11-09 23:30:00,-0.217,,-0.383,-0.383
2022-11-02 22:30:00,-0.383,,-0.285,-0.285
2022-10-26 22:30:00,-0.285,,-0.543,-0.543
2022-10-19 22:30:00,-0.543,,0.431,0.431
2022-10-13 23:00:00,0.431,,0.499,0.499
2022-10-05 22:30:00,0.499,,0.417,0.417
2022-09-28 22:30:00,0.417,,0.447,0.447
2022-09-21 22:30:00,0.447,,0.039,0.039
2022-09-14 22:30:00,0.039,,-0.724,-0.724
2022-09-08 23:00:00,-0.724,,0.105,0.105
2022-08-31 22:30:00,0.105,,0.845,0.845
2022-08-24 22:30:00,0.845,,0.249,0.249
2022-08-17 22:30:00,0.249,,0.037,0.037
2022-08-10 22:30:00,0.037,,0.023,0.023
2022-08-03 22:30:00,0.023,,-0.012,-0.012
2022-07-27 22:30:00,-0.012,,-0.298,-0.298
2022-07-20 22:30:00,-0.298,,-0.619,-0.619
2022-07-13 22:30:00,-0.619,,-0.046,-0.046
2022-07-07 23:00:00,-0.046,,-0.05,-0.05
2022-06-29 22:30:00,-0.05,,-0.267,-0.267
2022-06-29 22:25:00,-0.267,,-0.374,-0.374
2022-06-15 22:30:00,-0.374,,-0.508,-0.508
2022-06-08 22:30:00,-0.508,,0.265,0.265
2022-06-02 23:00:00,0.265,,1.352,1.352
2022-05-25 22:30:00,1.352,,0.566,0.566
2022-05-18 22:30:00,0.566,,-0.719,-0.719
2022-05-11 22:30:00,-0.719,,0.191,0.191
2022-05-04 22:30:00,0.191,,-0.555,-0.555
2022-04-27 22:30:00,-0.555,,0.734,0.734
2022-04-20 22:30:00,0.734,,0.05,0.05
2022-04-13 22:30:00,0.05,,0.033,0.033
2022-04-06 22:30:00,0.033,,-0.239,-0.239
2022-03-30 22:30:00,-0.239,,0.316,0.316
2022-03-23 22:30:00,0.316,,0.123,0.123
2022-03-16 22:30:00,0.123,,0.0,0.0
2022-03-09 23:30:00,0.0,,-0.272,-0.272
2022-03-02 23:30:00,-0.272,,0.505,0.505
2022-02-25 00:00:00,0.505,,-0.47,-0.47
2022-02-16 23:30:00,-0.47,,0.458,0.458
2022-02-09 23:30:00,0.458,,-0.039,-0.039
2022-02-02 23:30:00,-0.039,,-0.607,-0.607
2022-01-26 23:30:00,-0.607,,0.247,0.247
2022-01-21 00:00:00,0.247,,-0.166,-0.166
2022-01-12 23:30:00,-0.166,,-0.349,-0.349
2022-01-05 23:30:00,-0.349,,-0.83,-0.83
2021-12-29 23:30:00,-0.83,,-0.031,-0.031
2021-12-22 23:30:00,-0.031,,0.177,0.177
2021-12-15 23:30:00,0.177,,-0.086,-0.086
2021-12-08 23:30:00,-0.086,,-0.048,-0.048
2021-12-01 23:30:00,-0.048,,0.375,0.375
2021-11-24 23:30:00,0.375,,-0.585,-0.585
2021-11-17 23:30:00,-0.585,,-0.03,-0.03
2021-11-10 23:30:00,-0.03,,0.34,0.34
2021-11-03 22:30:00,0.34,,-0.031,-0.031
2021-10-27 22:30:00,-0.031,,0.037,0.037
2021-10-20 22:30:00,0.037,,0.267,0.267
2021-10-14 23:00:00,0.267,,-0.216,-0.216
2021-10-06 22:30:00,-0.216,,-0.366,-0.366
2021-09-29 22:30:00,-0.366,,0.167,0.167
2021-09-22 22:30:00,0.167,,-0.34,-0.34
2021-09-15 22:30:00,-0.34,,0.399,0.399
2021-09-09 23:00:00,0.399,,0.005,0.005
2021-09-01 22:30:00,0.005,,-0.299,-0.299
2021-08-25 22:30:00,-0.299,,-0.839,-0.839
2021-08-18 22:30:00,-0.839,,1.208,1.208
2021-08-11 22:30:00,1.208,,-0.681,-0.681
2021-08-04 22:30:00,-0.681,,0.108,0.108
2021-07-28 22:30:00,0.108,,0.587,0.587
2021-07-21 22:30:00,0.587,,-0.669,-0.669
2021-07-14 22:30:00,-0.669,,-0.373,-0.373
2021-07-08 23:00:00,-0.373,,0.016,0.016
2021-06-30 22:30:00,0.016,,0.199,0.199
2021-06-23 22:30:00,0.199,,-0.518,-0.518
2021-06-16 22:30:00,-0.518,,0.571,0.571
2021-06-09 22:30:00,0.571,,0.496,0.496
2021-06-03 23:00:00,0.496,,0.355,0.355
2021-05-26 22:30:00,0.355,,-0.164,-0.164
2021-05-19 22:30:00,-0.164,,-0.315,-0.315
2021-05-12 22:30:00,-0.315,,-0.024,-0.024
2021-05-05 22:30:00,-0.024,,-0.175,-0.175
2021-04-28 22:30:00,-0.175,,0.563,0.563
2021-04-21 22:30:00,0.563,,-0.028,-0.028
2021-04-14 22:30:00,-0.028,,-0.339,-0.339
2021-04-07 22:30:00,-0.339,,0.024,0.024
2021-03-31 22:30:00,0.024,,0.011,0.011
2021-03-24 22:30:00,0.011,,-0.102,-0.102
2021-03-17 22:30:00,-0.102,,0.544,0.544
2021-03-10 23:30:00,0.544,,-1.123,-1.123
2021-03-03 23:30:00,-1.123,,0.093,0.093
2021-02-24 23:30:00,0.093,,0.25,0.25
2021-02-19 00:00:00,0.25,,0.473,0.473
2021-02-10 23:30:00,0.473,,0.545,0.545
2021-02-03 23:30:00,0.545,,0.055,0.055
2021-01-27 23:30:00,0.055,,0.391,0.391
2021-01-23 00:00:00,0.391,,-0.39,-0.39
2021-01-13 23:30:00,-0.39,,0.107,0.107
2021-01-06 23:30:00,0.107,,0.576,0.576
2020-12-30 23:30:00,0.576,,-0.031,-0.031
2020-12-23 23:30:00,-0.031,,-0.706,-0.706
2020-12-16 23:30:00,-0.706,,-1.313,-1.313
2020-12-09 23:30:00,-1.313,,0.497,0.497
2020-12-02 23:30:00,0.497,,0.231,0.231
2020-11-25 23:30:00,0.231,,-0.102,-0.102
2020-11-18 23:30:00,-0.102,,-0.001,-0.001
2020-11-13 00:00:00,-0.001,,-0.395,-0.395
2020-11-04 23:30:00,-0.395,,-0.299,-0.299
2020-10-28 22:30:00,-0.299,,0.35,0.35
2020-10-21 22:30:00,0.35,,-0.398,-0.398
2020-10-15 23:00:00,-0.398,,0.067,0.067
2020-10-07 22:30:00,0.067,,-0.095,-0.095
2020-09-30 22:30:00,-0.095,,0.527,0.527
2020-09-23 22:30:00,0.527,,0.495,0.495
