datetime,US_EOCOIC_WoW_Actual,US_EOCOIC_WoW_Srv_Med,US_EOCOIC_WoW_Revised,US_EOCOIC_WoW_Prior
2023-08-30 22:30:00,-1.504,-2.440,-3.133,-3.133
2023-08-23 22:30:00,-3.133,-0.906,-0.837,-0.837
2023-08-16 22:30:00,-0.837,0.131,0.159,0.159
2023-08-09 22:30:00,0.159,-1.783,-1.259,-1.259
2023-08-02 22:30:00,-1.259,-2.494,-2.609,-2.609
2023-07-26 22:30:00,-2.609,-1.442,-2.891,-2.891
2023-07-19 22:30:00,-2.891,-0.835,-1.605,-1.605
2023-07-12 22:30:00,-1.605,-0.805,-0.400,-0.400
2023-07-06 23:00:00,-0.400,-0.307,1.209,1.209
2023-06-28 22:30:00,1.209,0.089,-0.098,-0.098
2023-06-22 23:00:00,-0.098,0.618,1.554,1.554
2023-06-14 22:30:00,1.554,0.922,1.721,1.721
2023-06-07 22:30:00,1.721,0.719,1.628,1.628
2023-06-01 23:00:00,1.628,0.772,1.762,1.762
2023-05-24 22:30:00,1.762,0.804,1.461,1.461
2023-05-17 22:30:00,1.461,0.864,0.397,0.397
2023-05-10 22:30:00,0.397,0.862,0.541,0.541
2023-05-03 22:30:00,0.541,0.745,0.319,0.319
2023-04-26 22:30:00,0.319,0.667,-1.088,-1.088
2023-04-19 22:30:00,-1.088,0.622,-0.409,-0.409
2023-04-12 22:30:00,-0.409,0.13,-0.97,-0.97
2023-04-05 22:30:00,-0.97,-0.518,-1.632,-1.632
2023-03-29 22:30:00,-1.632,,-1.063,-1.063
2023-03-22 22:30:00,-1.063,-1.558,-1.916,-1.916
2023-03-15 22:30:00,-1.916,,-0.89,-0.89
2023-03-08 23:30:00,-0.89,,0.307,0.307
2023-03-01 23:30:00,0.307,,0.7,0.7
2023-02-24 00:00:00,0.7,,0.659,0.659
2023-02-15 23:30:00,0.659,,1.043,1.043
2023-02-08 23:30:00,1.043,,2.315,2.315
2023-02-01 23:30:00,2.315,,4.267,4.267
2023-01-25 23:30:00,4.267,,3.646,3.646
2023-01-20 00:00:00,3.646,,2.511,2.511
2023-01-11 23:30:00,2.511,,0.244,0.244
2023-01-06 00:00:00,0.244,,-0.195,-0.195
2022-12-30 00:00:00,-0.195,,0.853,0.853
2022-12-21 23:30:00,0.853,,0.426,0.426
2022-12-14 23:30:00,0.426,-0.715,-0.373,-0.373
2022-12-07 23:30:00,-0.373,-0.841,-0.415,-0.415
2022-11-30 23:30:00,-0.415,-0.697,-0.887,-0.887
2022-11-23 23:30:00,-0.887,,-1.624,-1.624
2022-11-16 23:30:00,-1.624,,-0.923,-0.923
2022-11-09 23:30:00,-0.923,,1.267,1.267
2022-11-02 22:30:00,1.267,,0.667,0.667
2022-10-26 22:30:00,0.667,,0.583,0.583
2022-10-19 22:30:00,0.583,,-0.309,-0.309
2022-10-13 23:00:00,-0.309,,0.273,0.273
2022-10-05 22:30:00,0.273,,0.692,0.692
2022-09-28 22:30:00,0.692,,0.343,0.343
2022-09-21 22:30:00,0.343,,-0.135,-0.135
2022-09-14 22:30:00,-0.135,,-0.501,-0.501
2022-09-08 23:00:00,-0.501,,-0.523,-0.523
2022-08-31 22:30:00,-0.523,,0.426,0.426
2022-08-24 22:30:00,0.426,,0.192,0.192
2022-08-17 22:30:00,0.192,,0.723,0.723
2022-08-10 22:30:00,0.723,,0.926,0.926
2022-08-03 22:30:00,0.926,,0.751,0.751
2022-07-27 22:30:00,0.751,,1.143,1.143
2022-07-20 22:30:00,1.143,,0.316,0.316
2022-07-13 22:30:00,0.316,,0.069,0.069
2022-07-07 23:00:00,0.069,,-0.782,-0.782
2022-06-29 22:30:00,-0.782,,-0.572,-0.572
2022-06-29 22:25:00,-0.572,,-0.826,-0.826
2022-06-15 22:30:00,-0.826,,-1.593,-1.593
2022-06-08 22:30:00,-1.593,,0.256,0.256
2022-06-02 23:00:00,0.256,,-1.061,-1.061
2022-05-25 22:30:00,-1.061,,-2.403,-2.403
2022-05-18 22:30:00,-2.403,,-0.587,-0.587
2022-05-11 22:30:00,-0.587,,1.379,1.379
2022-05-04 22:30:00,1.379,,1.298,1.298
2022-04-27 22:30:00,1.298,,-0.185,-0.185
2022-04-20 22:30:00,-0.185,,0.45,0.45
2022-04-13 22:30:00,0.45,,1.654,1.654
2022-04-06 22:30:00,1.654,,-1.009,-1.009
2022-03-30 22:30:00,-1.009,,1.235,1.235
2022-03-23 22:30:00,1.235,,1.786,1.786
2022-03-16 22:30:00,1.786,,-0.585,-0.585
2022-03-09 23:30:00,-0.585,,-0.972,-0.972
2022-03-02 23:30:00,-0.972,,-2.049,-2.049
2022-02-25 00:00:00,-2.049,,-1.9,-1.9
2022-02-16 23:30:00,-1.9,,-2.801,-2.801
2022-02-09 23:30:00,-2.801,,-1.173,-1.173
2022-02-02 23:30:00,-1.173,,-1.823,-1.823
2022-01-26 23:30:00,-1.823,,-1.314,-1.314
2022-01-21 00:00:00,-1.314,,-2.468,-2.468
2022-01-12 23:30:00,-2.468,,2.577,2.577
2022-01-05 23:30:00,2.577,,1.055,1.055
2021-12-29 23:30:00,1.055,,1.463,1.463
2021-12-22 23:30:00,1.463,,1.294,1.294
2021-12-15 23:30:00,1.294,,2.373,2.373
2021-12-08 23:30:00,2.373,,1.159,1.159
2021-12-01 23:30:00,1.159,,0.787,0.787
2021-11-24 23:30:00,0.787,,0.216,0.216
2021-11-17 23:30:00,0.216,,-0.034,-0.034
2021-11-10 23:30:00,-0.034,,-0.916,-0.916
2021-11-03 22:30:00,-0.916,,-3.899,-3.899
2021-10-27 22:30:00,-3.899,,-2.32,-2.32
2021-10-20 22:30:00,-2.32,,-1.968,-1.968
2021-10-14 23:00:00,-1.968,,1.548,1.548
2021-10-06 22:30:00,1.548,,0.131,0.131
2021-09-29 22:30:00,0.131,,-1.476,-1.476
2021-09-22 22:30:00,-1.476,,-1.103,-1.103
2021-09-15 22:30:00,-1.103,,1.918,1.918
2021-09-09 23:00:00,1.918,,0.836,0.836
2021-09-01 22:30:00,0.836,,0.07,0.07
2021-08-25 22:30:00,0.07,,-0.98,-0.98
2021-08-18 22:30:00,-0.98,,-0.325,-0.325
2021-08-11 22:30:00,-0.325,,-0.543,-0.543
2021-08-04 22:30:00,-0.543,,-1.268,-1.268
2021-07-28 22:30:00,-1.268,,-1.347,-1.347
2021-07-21 22:30:00,-1.347,,-1.589,-1.589
2021-07-14 22:30:00,-1.589,,-0.614,-0.614
2021-07-08 23:00:00,-0.614,,-1.46,-1.46
2021-06-30 22:30:00,-1.46,,-1.833,-1.833
2021-06-23 22:30:00,-1.833,,-2.15,-2.15
2021-06-16 22:30:00,-2.15,,0.165,0.165
2021-06-09 22:30:00,0.165,,0.784,0.784
2021-06-03 23:00:00,0.784,,-1.008,-1.008
2021-05-26 22:30:00,-1.008,,-0.142,-0.142
2021-05-19 22:30:00,-0.142,,-0.421,-0.421
2021-05-12 22:30:00,-0.421,,0.254,0.254
2021-05-05 22:30:00,0.254,,0.722,0.722
2021-04-28 22:30:00,0.722,,-1.318,-1.318
2021-04-21 22:30:00,-1.318,,0.346,0.346
2021-04-14 22:30:00,0.346,,-0.735,-0.735
2021-04-07 22:30:00,-0.735,,0.782,0.782
2021-03-31 22:30:00,0.782,,-1.935,-1.935
2021-03-24 22:30:00,-1.935,,-0.624,-0.624
2021-03-17 22:30:00,-0.624,,0.526,0.526
2021-03-10 23:30:00,0.526,,0.485,0.485
2021-03-03 23:30:00,0.485,,2.807,2.807
2021-02-24 23:30:00,2.807,,-3.028,-3.028
2021-02-19 00:00:00,-3.028,,-0.658,-0.658
2021-02-10 23:30:00,-0.658,,-1.517,-1.517
2021-02-03 23:30:00,-1.517,,-2.281,-2.281
2021-01-27 23:30:00,-2.281,,-4.727,-4.727
2021-01-23 00:00:00,-4.727,,-1.975,-1.975
2021-01-13 23:30:00,-1.975,,0.792,0.792
2021-01-06 23:30:00,0.792,,0.027,0.027
2020-12-30 23:30:00,0.027,,-0.026,-0.026
2020-12-23 23:30:00,-0.026,,0.198,0.198
2020-12-16 23:30:00,0.198,,-1.364,-1.364
2020-12-09 23:30:00,-1.364,,-0.317,-0.317
2020-12-02 23:30:00,-0.317,-0.342,-1.721,-1.721
2020-11-25 23:30:00,-1.721,-0.92,1.2,1.2
2020-11-18 23:30:00,1.2,2.154,-0.518,-0.518
2020-11-13 00:00:00,-0.518,-1.573,0.936,0.936
2020-11-04 23:30:00,0.936,2.411,-0.422,-0.422
2020-10-28 22:30:00,-0.422,-2.538,0.975,0.975
2020-10-21 22:30:00,0.975,1.18,2.906,2.906
2020-10-15 23:00:00,2.906,3.923,0.47,0.47
2020-10-07 22:30:00,0.47,0.882,1.785,1.785
2020-09-30 22:30:00,1.785,1.177,0.004,0.004
2020-09-23 22:30:00,0.004,0.028,-0.074,-0.074
2020-09-16 22:30:00,-0.074,2.242,1.838,1.838
2020-09-10 23:00:00,1.838,0.391,0.11,0.11
2020-09-02 22:30:00,0.11,-1.368,-0.279,-0.279
2020-08-26 22:30:00,-0.279,-0.01,-0.607,-0.607
2020-08-19 22:30:00,-0.607,-1.986,1.336,1.336
2020-08-12 22:30:00,1.336,1.731,0.532,0.532
2020-08-05 22:30:00,0.532,0.607,1.309,1.309
2020-07-29 22:30:00,1.309,0.426,1.375,1.375
2020-07-22 22:30:00,1.375,0.769,0.949,0.949
2020-07-15 22:30:00,0.949,1.748,2.206,2.206
2020-07-08 22:30:00,2.206,1.566,-0.263,-0.263
2020-07-01 22:30:00,-0.263,-1.637,-0.991,-0.991
2020-06-24 22:30:00,-0.991,,-2.608,-2.608
2020-06-17 22:30:00,-2.608,-0.183,-2.279,-2.279
2020-06-10 22:30:00,-2.279,-1.816,-1.739,-1.739
2020-06-03 22:30:00,-1.739,-1.765,-3.395,-3.395
2020-05-28 23:00:00,-3.395,-4.261,-5.587,-5.587
2020-05-20 22:30:00,-5.587,-5.492,-3.002,-3.002
2020-05-13 22:30:00,-3.002,-2.177,2.068,2.068
2020-05-06 22:30:00,2.068,2.85,3.637,3.637
2020-04-29 22:30:00,3.637,4.15,4.776,4.776
2020-04-22 22:30:00,4.776,5.35,5.724,5.724
2020-04-15 22:30:00,5.724,5.27,6.417,6.417
2020-04-08 22:30:00,6.417,7.25,3.521,3.521
2020-04-01 22:30:00,3.521,3.39,0.858,0.858
2020-03-25 22:30:00,0.858,0.76,0.563,0.563
2020-03-18 22:30:00,0.563,0.75,0.704,0.704
2020-03-11 22:30:00,0.704,0.85,-1.971,-1.971
2020-03-04 23:30:00,-1.971,-1.35,0.906,0.906
2020-02-26 23:30:00,0.906,0.65,-0.133,-0.133
2020-02-21 00:00:00,-0.133,0.23,1.668,1.668
2020-02-12 23:30:00,1.668,1.57,1.068,1.068
2020-02-05 23:30:00,1.068,1.72,0.758,0.758
2020-01-29 23:30:00,0.758,0.55,-0.961,-0.961
2020-01-24 00:00:00,-0.961,-0.67,0.342,0.342
2020-01-15 23:30:00,0.342,0.13,-0.821,-0.821
2020-01-08 23:30:00,-0.821,-1.2,-1.449,-1.449
2020-01-04 00:00:00,-1.449,-0.98,-2.393,-2.393
2019-12-28 00:00:00,-2.393,-2.33,-0.265,-0.265
2019-12-18 23:30:00,-0.265,-0.52,-3.393,-3.393
2019-12-11 23:30:00,-3.393,-3.54,-0.302,-0.302
2019-12-04 23:30:00,-0.302,0.21,-0.097,-0.097
2019-11-27 23:30:00,-0.097,,-2.295,-2.295
2019-11-20 23:30:00,-2.295,,-1.229,-1.229
2019-11-15 00:00:00,-1.229,,1.714,1.714
2019-11-06 23:30:00,1.714,,1.572,1.572
2019-10-30 22:30:00,1.572,,1.506,1.506
2019-10-23 22:30:00,1.506,,1.276,1.276
2019-10-17 23:00:00,1.276,,0.941,0.941
2019-10-09 22:30:00,0.941,,-0.201,-0.201
2019-10-02 22:30:00,-0.201,,2.256,2.256
2019-09-25 22:30:00,2.256,,-0.647,-0.647
2019-09-18 22:30:00,-0.647,,-0.798,-0.798
2019-09-11 22:30:00,-0.798,,-0.23,-0.23
2019-09-05 23:00:00,-0.23,,-1.98,-1.98
2019-08-28 22:30:00,-1.98,,-2.485,-2.485
2019-08-21 22:30:00,-2.485,,-2.54,-2.54
2019-08-14 22:30:00,-2.54,,-1.504,-1.504
2019-08-07 22:30:00,-1.504,,-1.533,-1.533
2019-07-31 22:30:00,-1.533,,-0.429,-0.429
2019-07-24 22:30:00,-0.429,,-1.351,-1.351
2019-07-17 22:30:00,-1.351,,-0.31,-0.31
2019-07-10 22:30:00,-0.31,,0.652,0.652
2019-07-03 22:30:00,0.652,,-1.746,-1.746
2019-06-26 22:30:00,-1.746,,0.642,0.642
2019-06-19 22:30:00,0.642,,2.096,2.096
2019-06-12 22:30:00,2.096,,1.791,1.791
2019-06-05 22:30:00,1.791,,-0.016,-0.016
2019-05-30 23:00:00,-0.016,,1.266,1.266
2019-05-22 22:30:00,1.266,,1.805,1.805
2019-05-15 22:30:00,1.805,,0.821,0.821
2019-05-08 22:30:00,0.821,,0.265,0.265
2019-05-01 22:30:00,0.265,,0.463,0.463
2019-04-24 22:30:00,0.463,,-1.543,-1.543
2019-04-17 22:30:00,-1.543,,-1.133,-1.133
2019-04-10 22:30:00,-1.133,,0.201,0.201
2019-04-03 22:30:00,0.201,,0.541,0.541
2019-03-27 22:30:00,0.541,,-0.468,-0.468
2019-03-20 22:30:00,-0.468,,-0.672,-0.672
2019-03-13 22:30:00,-0.672,,0.873,0.873
2019-03-06 23:30:00,0.873,,1.628,1.628
2019-02-27 23:30:00,1.628,,3.413,3.413
2019-02-22 00:00:00,3.413,,-1.016,-1.016
2019-02-13 23:30:00,-1.016,,1.441,1.441
2019-02-06 23:30:00,1.441,,-0.145,-0.145
2019-01-30 23:30:00,-0.145,,-0.19,-0.19
2019-01-25 00:00:00,-0.19,,-0.743,-0.743
2019-01-16 23:30:00,-0.743,,0.33,0.33
2019-01-09 23:30:00,0.33,,0.641,0.641
2019-01-05 00:00:00,0.641,,0.799,0.799
2018-12-29 00:00:00,0.799,,1.091,1.091
2018-12-19 23:30:00,1.091,,1.148,1.148
2018-12-12 23:30:00,1.148,,1.729,1.729
2018-12-07 00:00:00,1.729,,1.177,1.177
2018-11-28 23:30:00,1.177,,-0.116,-0.116
2018-11-21 23:30:00,-0.116,,1.167,1.167
2018-11-16 00:00:00,1.167,,2.419,2.419
2018-11-07 23:30:00,2.419,,1.878,1.878
2018-10-31 22:30:00,1.878,,1.371,1.371
2018-10-24 22:30:00,1.371,,1.776,1.776
2018-10-17 22:30:00,1.776,,2.359,2.359
2018-10-11 23:00:00,2.359,,1.699,1.699
2018-10-03 22:30:00,1.699,,0.461,0.461
2018-09-26 22:30:00,0.461,,-1.25,-1.25
2018-09-19 22:30:00,-1.25,,-1.242,-1.242
2018-09-12 22:30:00,-1.242,,0.549,0.549
2018-09-06 23:00:00,0.549,,0.058,0.058
2018-08-29 22:30:00,0.058,,0.772,0.772
2018-08-22 22:30:00,0.772,,1.643,1.643
2018-08-15 22:30:00,1.643,,-0.59,-0.59
2018-08-08 22:30:00,-0.59,,-1.338,-1.338
2018-08-01 22:30:00,-1.338,,-1.127,-1.127
2018-07-25 22:30:00,-1.127,,-0.86,-0.86
2018-07-18 22:30:00,-0.86,,-2.062,-2.062
2018-07-11 22:30:00,-2.062,,-2.113,-2.113
2018-07-05 23:00:00,-2.113,,-2.713,-2.713
2018-06-27 22:30:00,-2.713,,-1.296,-1.296
2018-06-20 22:30:00,-1.296,,-0.687,-0.687
2018-06-13 22:30:00,-0.687,,-0.955,-0.955
2018-06-06 22:30:00,-0.955,,-0.556,-0.556
2018-05-31 23:00:00,-0.556,,-1.123,-1.123
2018-05-23 22:30:00,-1.123,,0.053,0.053
2018-05-16 22:30:00,0.053,,1.388,1.388
2018-05-09 22:30:00,1.388,,0.416,0.416
2018-05-02 22:30:00,0.416,,0.459,0.459
2018-04-25 22:30:00,0.459,,-1.115,-1.115
2018-04-18 22:30:00,-1.115,,1.129,1.129
2018-04-11 22:30:00,1.129,,3.666,3.666
2018-04-04 22:30:00,3.666,,1.804,1.804
2018-03-28 22:30:00,1.804,,0.905,0.905
2018-03-21 22:30:00,0.905,,0.338,0.338
2018-03-14 22:30:00,0.338,,-0.605,-0.605
2018-03-07 23:30:00,-0.605,,-1.218,-1.218
2018-02-28 23:30:00,-1.218,,-2.664,-2.664
2018-02-23 00:00:00,-2.664,,-3.642,-3.642
2018-02-14 23:30:00,-3.642,,-0.711,-0.711
