datetime,US_EREURC_WoW_Actual,US_EREURC_WoW_Srv_Med,US_EREURC_WoW_Revised,US_EREURC_WoW_Prior
2023-08-30 22:30:00,-1.2,None,-0.2,-0.2
2023-08-23 22:30:00,-0.2,None,0.9,0.9
2023-08-16 22:30:00,0.9,None,1.1,1.1
2023-08-09 22:30:00,1.1,None,-0.7,-0.7
2023-08-02 22:30:00,-0.7,None,-0.9,-0.9
2023-07-26 22:30:00,-0.9,None,0.6,0.6
2023-07-19 22:30:00,0.6,None,2.6,2.6
2023-07-12 22:30:00,2.6,None,-1.1,-1.1
2023-07-06 23:00:00,-1.1,None,-0.9,-0.9
2023-06-28 22:30:00,-0.9,None,-0.6,-0.6
2023-06-22 23:00:00,-0.6,None,-2.1,-2.1
2023-06-14 22:30:00,-2.1,None,2.7,2.7
2023-06-07 22:30:00,2.7,None,1.4,1.4
2023-06-01 23:00:00,1.4,,-0.3,-0.3
2023-05-24 22:30:00,-0.3,0.5,1.0,1.0
2023-05-17 22:30:00,1.0,0.5,0.3,0.3
2023-05-10 22:30:00,0.3,0.7,-0.6,-0.6
2023-05-03 22:30:00,-0.6,0.3,0.3,0.3
2023-04-26 22:30:00,0.3,0.3,1.7,1.7
2023-04-19 22:30:00,1.7,0.5,-0.3,-0.3
2023-04-12 22:30:00,-0.3,0.5,-0.7,-0.7
2023-04-05 22:30:00,-0.7,0.3,1.7,1.7
2023-03-29 22:30:00,1.7,0.6,0.4,0.4
2023-03-22 22:30:00,0.4,1.0,2.2,2.2
2023-03-15 22:30:00,2.2,0.3,0.2,0.2
2023-03-08 23:30:00,0.2,-0.3,-0.1,-0.1
2023-03-01 23:30:00,-0.1,-0.4,-0.6,-0.6
2023-02-24 00:00:00,-0.6,-0.2,-1.4,-1.4
2023-02-15 23:30:00,-1.4,0.3,2.2,2.2
2023-02-08 23:30:00,2.2,0.7,-0.4,-0.4
2023-02-01 23:30:00,-0.4,0.5,0.8,0.8
2023-01-25 23:30:00,0.8,1.2,1.2,1.2
2023-01-20 00:00:00,1.2,3.8,4.5,4.5
