date,feature
2023-07-12,"0.0,0.0,0.0,0.0,5.0,5.0,4.75,4.75"
2023-04-12,"0.0,0.0,0.0,0.0,4.5,4.5,4.5,4.5"
2023-01-25,"0.0,0.0,0.0,0.0,4.5,4.5,4.25,4.25"
2022-10-26,"0.0,0.0,0.0,0.0,3.75,4.0,3.25,3.25"
2022-07-13,"0.0,0.0,0.0,0.0,2.5,2.25,1.5,1.5"
2022-04-13,"0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5"
2022-01-26,"0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25"
2021-10-27,"0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25"
2021-07-14,"0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25"
2021-04-21,"0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25"
2021-01-20,"0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25"
2020-07-15,"0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25"
2020-04-15,"0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25"
2020-01-22,"0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75"
2019-10-30,"0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75"
2019-07-10,"0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75"
2019-04-24,"0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75"
2019-01-09,"0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75"
2018-10-24,"0.0,0.0,0.0,0.0,1.75,1.75,1.5,1.5"
2018-07-11,"0.0,0.0,0.0,0.0,1.5,1.5,1.25,1.25"
2018-04-18,"0.0,0.0,0.0,0.0,1.25,1.25,1.25,1.25"
2018-01-17,"0.0,0.0,0.0,0.0,1.25,1.25,1.0,1.0"
2017-10-25,"0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0"
2017-07-12,"0.0,0.0,0.0,0.0,0.75,0.75,0.5,0.5"
2017-04-12,"0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5"
2017-01-18,"0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5"
2016-10-19,"0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5"
2016-07-13,"0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5"
2016-04-13,"0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5"
2016-01-20,"0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5"
2015-10-21,"0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5"
2015-07-15,"0.0,0.0,0.0,0.0,0.5,0.75,0.75,0.75"
2015-04-15,"0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75"
2015-01-21,"0.0,0.0,0.0,0.0,0.75,1.0,1.0,1.0"
2014-10-22,"0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0"
2014-07-16,"0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0"
2014-04-16,"0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0"
2014-01-22,"0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0"
2013-10-23,"0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0"
2013-07-17,"0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0"
2013-04-17,"0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0"
2013-01-23,"0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0"
