date,feature
2023-08-03,"0,0,0.0,0.0,1,1,2,2.0,8,8.0,7,7.0,0.0,0.0,0.0,0.0,5.25,5.25,5.0,5.0"
2023-06-22,"0,0,0.0,0.0,2,2,2,2.0,7,7.0,7,7.0,0.0,0.0,0.0,0.0,5.0,4.75,4.5,4.5"
2023-05-11,"0,0,0.0,0.0,2,2,2,2.0,7,7.0,7,7.0,0.0,0.0,0.0,0.0,4.5,4.5,4.25,4.25"
2023-03-23,"0,0,0.0,0.0,2,3,2,2.0,7,6.0,7,7.0,0.0,0.0,0.0,0.0,4.25,4.25,4.0,4.0"
2023-02-02,"0,0,0.0,0.0,2,2,2,2.0,7,7.0,7,7.0,0.0,0.0,0.0,0.0,4.0,4.0,3.5,3.5"
2022-12-15,"0,0,0.0,0.0,2,1,0,0.0,7,9.0,9,9.0,0.0,0.0,0.0,0.0,3.5,3.5,3.0,3.0"
2022-09-22,"0,0,0.0,0.0,0,0,0,0.0,9,9.0,9,9.0,0.0,0.0,0.0,0.0,2.25,2.25,1.75,1.75"
2022-06-16,"0,0,0.0,0.0,0,1,1,0.0,9,9.0,9,9.0,0.0,0.0,0.0,0.0,1.25,1.25,1.0,1.0"
2022-05-05,"0,0,0.0,0.0,0,1,1,1.0,9,8.0,8,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,0.75"
2022-02-03,"0,0,0.0,0.0,0,1,1,1.0,9,9.0,8,8.0,0.0,0.0,0.0,0.0,0.5,0.5,0.25,0.25"
2021-12-16,"0,0,0.0,0.0,1,7,7,7.0,8,2.0,2,2.0,0.0,0.0,0.0,0.0,0.25,0.1,0.1,0.1"
2021-11-04,"0,0,0.0,0.0,7,6,9,9.0,2,3.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1"
2021-09-23,"0,0,0.0,0.0,9,9,8,8.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1"
2021-08-05,"0,0,0.0,0.0,8,8,9,9.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1"
2021-06-24,"0,0,0.0,0.0,9,9,9,9.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1"
2021-05-06,"0,0,0.0,0.0,9,9,9,9.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1"
2021-03-18,"0,0,0.0,0.0,9,9,9,9.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1"
2021-02-04,"0,0,0.0,0.0,9,9,9,9.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1"
2020-11-05,"0,0,0.0,0.0,9,9,9,9.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1"
2020-09-17,"0,0,0.0,0.0,9,9,9,9.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1"
2020-08-06,"0,0,0.0,0.0,9,9,9,9.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1"
2020-06-18,"0,0,0.0,0.0,9,9,9,9.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1"
2020-05-07,"0,0,2.0,0.0,9,9,9,9.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1"
2020-03-26,"0,3,2.0,2.0,9,9,7,7.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1"
2020-01-30,"2,3,2.0,2.0,7,6,7,7.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75"
2019-12-19,"2,2,2.0,2.0,7,7,7,7.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75"
2019-11-07,"2,0,0.0,0.0,7,9,9,9.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75"
2019-09-19,"0,0,0.0,0.0,9,9,9,9.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75"
2019-08-01,"0,0,0.0,0.0,9,9,9,9.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75"
2019-06-20,"0,0,0.0,0.0,9,9,9,9.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75"
2019-05-02,"0,0,0.0,0.0,9,9,9,9.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75"
2019-02-07,"0,0,0.0,0.0,9,9,9,9.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75"
2018-06-21,"0,0,0.0,0.0,6,7,7,7.0,3,2.0,2,2.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5"
