date,feature
2023-07-28,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2023-06-16,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2023-04-28,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2023-03-10,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2023-01-18,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2022-12-20,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2022-10-28,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2022-09-22,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2022-06-17,"0.0,0.0,0.0,0.0,-0.10,0,-0.1,-0.1"
2022-06-17,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2022-04-28,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2022-03-18,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2022-01-18,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2021-12-17,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2021-10-28,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2021-09-22,"0.0,0.0,0.0,0.0,-0.10,0,-0.1,-0.1"
2021-07-16,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2021-06-18,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2021-04-27,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2021-01-21,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2020-12-18,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2020-10-29,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2020-09-17,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2020-06-16,"0.0,0.0,0.0,0.0,-0.10,0,-0.1,-0.1"
2020-05-22,"0.0,0.0,0.0,0.0,-0.10,0,-0.1,-0.1"
2020-04-27,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2020-03-16,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2020-01-21,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2019-12-19,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2019-10-31,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2019-09-19,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2019-07-30,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2019-06-20,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2019-04-25,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2019-03-15,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2019-01-23,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2018-12-20,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2018-10-31,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2018-09-19,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2018-07-31,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2018-06-15,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2018-04-27,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2018-03-09,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2018-01-23,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2017-12-21,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2017-10-31,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2017-09-21,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2017-07-20,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2017-06-16,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2017-04-27,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2017-03-16,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2017-01-31,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2016-12-20,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2016-11-01,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2016-09-21,"0.0,0.0,0.0,0.0,-0.10,-0.15,-0.1,-0.1"
2016-07-29,"0.0,0.0,0.0,0.0,-0.10,-0.15,-0.1,-0.1"
2016-06-16,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2016-04-28,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2016-03-15,"0.0,0.0,0.0,0.0,-0.10,-0.10,-0.1,-0.1"
2016-01-29,"0.0,0.0,0.0,0.0,-0.10,0.10,0.1,0.1"
2015-12-18,"0.0,0.0,0.0,0.0,0.10,0.10,0.1,0.1"
2015-11-19,"0.0,0.0,0.0,0.0,0.10,0.10,0.1,0.1"
2015-10-30,"0.0,0.0,0.0,0.0,0.10,0.10,0.1,0.1"
2015-10-07,"0.0,0.0,0.0,0.0,0.10,0.10,0.1,0.1"
