date,feature
2023-07-27,"3.75,3.75,3.5,3.5,4.5,0,4.25,4.25,0.0,0.0,0.0,0.0,4.25,4.25,4.0,4.0"
2023-06-15,"3.5,3.5,3.25,3.25,4.25,0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0,3.75,3.75"
2023-05-04,"3.25,3.25,3.0,3.0,4.0,0,3.75,3.75,0.0,0.0,0.0,0.0,3.75,3.75,3.5,3.5"
2023-03-16,"3.0,3.0,2.5,2.5,3.75,0,3.25,3.25,0.0,0.0,0.0,0.0,3.5,3.5,3.0,3.0"
2023-02-02,"2.5,2.5,2.0,2.0,3.25,0,2.75,2.75,0.0,0.0,0.0,0.0,3.0,3.0,2.5,2.5"
2022-12-15,"2.0,2.0,1.5,1.5,2.75,2.75,2.25,2.25,0.0,0.0,0.0,0.0,2.5,2.5,2.0,2.0"
2022-10-27,"1.5,1.5,0.75,0.75,2.25,0,1.5,1.5,0.0,0.0,0.0,0.0,2.0,2.0,1.25,1.25"
2022-09-08,"0.75,0.5,0.0,0.0,1.5,0,0.75,0.75,0.0,0.0,0.0,0.0,1.25,1.25,0.5,0.5"
2022-07-21,"0.0,-0.25,-0.5,-0.5,0.75,0,0.25,0.25,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0"
2022-06-09,"-0.5,-0.5,-0.5,-0.5,0.25,0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2022-04-14,"-0.5,-0.5,-0.5,-0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2022-03-10,"-0.5,-0.5,-0.5,-0.5,0.25,0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2022-02-03,"-0.5,-0.5,-0.5,-0.5,0.25,0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2021-12-16,"-0.5,-0.5,-0.5,-0.5,0.25,0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2021-10-28,"-0.5,-0.5,-0.5,-0.5,0.25,0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2021-09-09,"-0.5,-0.5,-0.5,-0.5,0.25,0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2021-07-22,"-0.5,-0.5,-0.5,-0.5,0.25,0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2021-06-10,"-0.5,-0.5,-0.5,-0.5,0.25,0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2021-04-22,"-0.5,-0.5,-0.5,-0.5,0.25,0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2020-12-10,"-0.5,-0.5,-0.5,-0.5,0.25,0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2020-10-29,"-0.5,-0.5,-0.5,-0.5,0.25,0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2020-09-10,"-0.5,-0.5,-0.5,-0.5,0.25,0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2020-07-16,"-0.5,-0.5,-0.5,-0.5,0.25,0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2020-06-04,"-0.5,-0.5,-0.5,-0.5,0.25,0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2020-04-30,"-0.5,-0.5,-0.5,-0.5,0.25,0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2020-03-12,"-0.5,-0.5,-0.5,-0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2020-01-23,"-0.5,-0.5,-0.5,-0.5,0.25,0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2019-12-12,"-0.5,-0.5,-0.5,-0.5,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2019-10-24,"-0.5,-0.5,-0.5,-0.5,0.25,0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2019-09-12,"-0.5,-0.5,-0.4,-0.4,0.25,0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2019-07-25,"-0.4,-0.4,-0.4,-0.4,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2019-06-06,"-0.4,-0.4,-0.4,-0.4,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2019-04-10,"-0.4,-0.4,-0.4,-0.4,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2019-03-07,"-0.4,-0.4,-0.4,-0.4,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2018-12-13,"-0.4,-0.4,-0.4,-0.4,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2018-10-25,"-0.4,-0.4,-0.4,-0.4,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
2018-09-13,"-0.4,-0.4,-0.4,-0.4,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
