date,feature
2023-08-23,"0,-2.85,-5.96,-5.96,0,-0.888,-0.261,-0.261,0,0.183,-0.101,-0.101,0,-0.906,-0.837,-0.837,0,0.0,0.167,0.167,0,0,0.9,0.9,0,0.218,0.296,0.296,0,-2.27,-1.763,-1.763,0,0.011,-0.182,-0.182,0,0.015,-0.336,-0.336"
2023-08-16,"-5.960,-2.32,5.851,5.851,-0.261,-1.26,-2.661,-2.661,-0.101,0.038,0.166,0.166,-0.837,0.131,0.159,0.159,0.167,0.0,0.062,0.062,0.9,0,1.1,1.1,0.296,-0.473,-1.706,-1.706,-1.763,0.374,2.937,2.937,-0.182,0.041,0.05,0.05,-0.336,0.081,0.092,0.092"
2023-08-09,"5.851,0.567,-17.049,-17.049,-2.661,-0.008,1.48,1.48,0.166,0.361,0.23,0.23,0.159,-1.783,-1.259,-1.259,0.062,0.0,0.039,0.039,1.1,0,-0.7,-0.7,-1.706,0.006,-0.796,-0.796,2.937,2.173,-0.391,-0.391,0.050,0.0,0.08,0.08,0.092,-0.056,0.341,0.341"
2023-08-02,"-17.049,-1.367,-0.6,-0.6,1.480,-1.3,-0.786,-0.786,0.230,0.082,-1.002,-1.002,-1.259,-2.494,-2.609,-2.609,0.039,0.0,-0.107,-0.107,-0.7,0,-0.9,-0.9,-0.796,0.112,-0.245,-0.245,-0.391,0.908,-1.584,-1.584,0.080,-0.005,-0.251,-0.251,0.341,-0.049,-0.035,-0.035"
2023-07-26,"-0.600,-2.348,-0.708,-0.708,-0.786,-1.678,-1.066,-1.066,-1.002,0.222,0.223,0.223,-2.609,-1.442,-2.891,-2.891,-0.107,0.0,-0.074,-0.074,-0.9,0,0.6,0.6,-0.245,-0.301,0.014,0.014,-1.584,-1.937,-0.376,-0.376,-0.251,0.002,-0.054,-0.054,-0.035,0.045,-0.584,-0.584"
2023-07-19,"-0.708,-2.44,5.946,5.946,-1.066,-1.577,-0.003,-0.003,0.223,-0.108,0.439,0.439,-2.891,-0.835,-1.605,-1.605,-0.074,0.0,0.629,0.629,0.6,0,2.6,2.6,0.014,0.46,4.815,4.815,-0.376,-1.845,0.599,0.599,-0.054,-0.002,0.236,0.236,-0.584,0.034,-0.158,-0.158"
2023-07-12,"5.946,0.483,-1.508,-1.508,-0.003,-0.727,-2.55,-2.55,0.439,-0.234,-0.061,-0.061,-1.605,-0.805,-0.4,-0.4,0.629,0.0,-0.224,-0.224,2.6,0,-1.1,-1.1,4.815,-0.262,-1.045,-1.045,0.599,-0.527,1.895,1.895,0.236,-0.011,0.141,0.141,-0.158,-0.047,0.148,0.148"
2023-07-06,"-1.508,-0.983,-9.603,-9.603,-2.550,-1.417,0.603,0.603,-0.061,0.371,-0.529,-0.529,-0.400,-0.307,1.209,1.209,-0.224,0.0,-0.216,-0.216,-1.1,0,-0.9,-0.9,-1.045,0.296,0.124,0.124,1.895,2.054,-0.376,-0.376,0.141,-0.006,-0.368,-0.368,0.148,-0.004,0.298,0.298"
2023-06-28,"-9.603,-1.757,-3.831,-3.831,0.603,-0.126,0.479,0.479,-0.529,-0.034,-0.38,-0.38,1.209,0.089,-0.098,-0.098,-0.216,0.0,-0.116,-0.116,-0.9,0,-0.6,-0.6,0.124,0.782,0.433,0.433,-0.376,0.923,-1.493,-1.493,-0.368,0.014,0.089,0.089,0.298,0.024,-0.352,-0.352"
2023-06-22,"-3.831,0.329,7.919,7.919,0.479,1.091,2.108,2.108,-0.380,0.368,1.405,1.405,-0.098,0.618,1.554,1.554,-0.116,0.0,-0.061,-0.061,-0.6,0,-2.1,-2.1,0.433,-0.001,2.123,2.123,-1.493,-0.048,-0.814,-0.814,0.089,0.02,-0.255,-0.255,-0.352,0.031,0.106,0.106"
2023-06-14,"7.919,1.482,-0.451,-0.451,2.108,0.637,2.746,2.746,1.405,0.1,-0.362,-0.362,1.554,0.922,1.721,1.721,-0.061,0.0,0.482,0.482,-2.1,0,2.7,2.7,2.123,0.922,5.075,5.075,-0.814,-0.782,1.623,1.623,-0.255,0.002,0.203,0.203,0.106,-0.043,0.094,0.094"
2023-06-07,"-0.451,1.022,4.488,4.488,2.746,0.88,-0.207,-0.207,-0.362,-0.31,-1.289,-1.289,1.721,0.719,1.628,1.628,0.482,0.0,0.096,0.096,2.7,0,1.4,1.4,5.075,1.328,0.985,0.985,1.623,0.416,1.001,1.001,0.203,-0.025,0.165,0.165,0.094,-0.015,-0.344,-0.344"
2023-06-01,"4.488,-1.101,-12.456,-12.456,-0.207,-0.369,-2.053,-2.053,-1.289,0.009,0.481,0.481,1.628,0.772,1.762,1.762,0.096,0.0,0.079,0.079,1.4,0,-0.3,-0.3,0.985,-0.118,-0.562,-0.562,1.001,0.432,-1.249,-1.249,0.165,-0.026,0.019,0.019,-0.344,-0.06,0.833,0.833"
2023-05-24,"-12.456,-0.92,5.04,5.04,-2.053,-0.695,-1.381,-1.381,0.481,0.024,0.454,0.454,1.762,0.804,1.461,1.461,0.079,0.0,0.245,0.245,-0.3,0.5,1.0,1.0,-0.562,0.057,0.08,0.08,-1.249,-2.132,-0.127,-0.127,0.019,0.009,0.25,0.25,0.833,-0.103,-0.341,-0.341"
2023-05-17,"5.040,-0.92,2.951,2.951,-1.381,-1.06,-3.168,-3.168,0.454,0.0,-0.417,-0.417,1.461,0.864,0.397,0.397,0.245,0.0,0.01,0.01,1.0,0.5,0.3,0.3,0.080,0.057,-4.17,-4.17,-0.127,-0.389,1.018,1.018,0.250,0.039,0.03,0.03,-0.341,-0.107,0.445,0.445"
2023-05-10,"2.951,-0.917,-1.28,-1.28,-3.168,-1.233,1.743,1.743,-0.417,0.084,0.648,0.648,0.397,0.862,0.541,0.541,0.010,0.0,-0.098,-0.098,0.3,0.7,-0.6,-0.6,-4.170,-0.808,-1.191,-1.191,1.018,0.0,0.102,0.102,0.030,0.022,-0.093,-0.093,0.445,0.12,-0.638,-0.638"
2023-05-03,"-1.280,-1.1,-5.054,-5.054,1.743,-1.157,-2.408,-2.408,0.648,0.114,0.151,0.151,0.541,0.745,0.319,0.319,-0.098,0.0,-0.011,-0.011,-0.6,0.3,0.3,0.3,-1.191,-1.084,-0.576,-0.576,0.102,1.589,-0.166,-0.166,-0.093,-0.019,-0.081,-0.081,-0.638,0.042,0.541,0.541"
2023-04-26,"-5.054,-1.486,-4.581,-4.581,-2.408,-0.933,1.3,1.3,0.151,-0.285,-0.26,-0.26,0.319,0.667,-1.088,-1.088,-0.011,0.0,0.259,0.259,0.3,0.3,1.7,1.7,-0.576,-0.839,-0.356,-0.356,-0.166,-0.3,-1.743,-1.743,-0.081,-0.045,0.167,0.167,0.541,-0.096,-0.343,-0.343"
2023-04-19,"-4.581,-1.088,0.597,0.597,1.300,-1.267,-0.331,-0.331,-0.260,0.081,1.015,1.015,-1.088,0.622,-0.409,-0.409,0.259,0.0,-0.03,-0.03,1.7,0.5,-0.3,-0.3,-0.356,-0.927,-0.606,-0.606,-1.743,-0.778,1.561,1.561,0.167,-0.014,-0.157,-0.157,-0.343,-0.051,-0.033,-0.033"
2023-04-12,"0.597,-0.583,-3.739,-3.739,-0.331,-1.6,-4.119,-4.119,1.015,0.171,-0.721,-0.721,-0.409,0.13,-0.97,-0.97,-0.030,0.0,-0.198,-0.198,-0.3,0.5,-0.7,-0.7,-0.606,-0.764,-3.632,-3.632,1.561,-0.757,1.164,1.164,-0.157,0.032,0.107,0.107,-0.033,0.125,-0.187,-0.187"
2023-04-05,"-3.739,-2.329,-7.489,-7.489,-4.119,-1.729,-2.904,-2.904,-0.721,-0.149,-0.164,-0.164,-0.970,-0.518,-1.632,-1.632,-0.198,0.0,0.437,0.437,-0.7,0.3,1.7,1.7,-3.632,-0.396,0.281,0.281,1.164,-0.137,-0.499,-0.499,0.107,0.044,0.13,0.13,-0.187,0.024,0.535,0.535"
2023-03-29,"-7.489,0.092,1.117,1.117,-2.904,-1.617,-6.4,-6.4,-0.164,0.0,0.578,0.578,-1.632,0.0,-1.063,-1.063,0.437,0.0,-0.022,-0.022,1.7,0.6,0.4,0.4,0.281,-1.455,-3.313,-3.313,-0.499,0.0,0.051,0.051,0.130,0.0,0.075,0.075,0.535,0.0,0.392,0.392"
2023-03-22,"1.117,-1.565,1.55,1.55,-6.400,-1.677,-2.061,-2.061,0.578,0.0,-0.735,-0.735,-1.063,-1.558,-1.916,-1.916,-0.022,0.0,0.431,0.431,0.4,1.0,2.2,2.2,-3.313,-1.5,-2.537,-2.537,0.051,0.0,-1.72,-1.72,0.075,0.0,-0.097,-0.097,0.392,0.0,-0.446,-0.446"
2023-03-15,"1.550,1.188,-1.694,-1.694,-2.061,-1.82,-1.134,-1.134,-0.735,0.0,-0.65,-0.65,-1.916,0.0,-0.89,-0.89,0.431,0.0,-0.012,-0.012,2.2,0.3,0.2,0.2,-2.537,-1.172,0.138,0.138,-1.720,0.0,2.33,2.33,-0.097,0.0,-0.084,-0.084,-0.446,0.0,-0.173,-0.173"
2023-03-08,"-1.694,0.395,1.165,1.165,-1.134,-1.863,-0.874,-0.874,-0.650,0.0,0.548,0.548,-0.890,0.0,0.307,0.307,-0.012,0.0,-0.031,-0.031,0.2,-0.3,-0.1,-0.1,0.138,-1.038,0.179,0.179,2.330,0.0,-1.15,-1.15,-0.084,0.0,-0.091,-0.091,-0.173,0.0,0.302,0.302"
2023-03-01,"1.165,0.457,7.648,7.648,-0.874,0.464,-1.856,-1.856,0.548,0.0,0.597,0.597,0.307,0.0,0.7,0.7,-0.031,0.0,-0.017,-0.017,-0.1,-0.4,-0.6,-0.6,0.179,-0.462,2.698,2.698,-1.150,0.0,-1.357,-1.357,-0.091,0.0,0.191,-0.091,0.302,0.0,0.339,0.339"
2023-03-01,"1.165,0.457,7.648,7.648,-0.874,0.464,-1.856,-1.856,0.548,0.0,0.597,0.597,0.307,0.0,0.7,0.7,-0.031,0.0,-0.017,-0.017,-0.1,-0.4,-0.6,-0.6,0.179,-0.462,2.698,2.698,-1.150,0.0,-1.357,-1.357,-0.091,0.0,0.191,0.191,0.302,0.0,0.339,0.339"
2023-02-24,"7.648,2.083,16.283,16.283,-1.856,0.108,2.317,2.317,0.597,0.0,-0.349,-0.349,0.700,0.0,0.659,0.659,-0.017,0.0,-0.383,-0.383,-0.6,-0.2,-1.4,-1.4,2.698,-1.126,-1.285,-1.285,-1.357,0.0,-1.072,-1.072,0.191,0.0,-0.155,-0.155,0.339,0.0,-0.004,-0.004"
2023-02-15,"16.283,1.166,2.423,2.423,2.317,1.543,5.008,5.008,-0.349,0.0,-0.115,-0.115,0.659,0.0,1.043,1.043,-0.383,0.0,0.449,0.449,-1.4,0.3,2.2,2.2,-1.285,0.447,2.932,2.932,-1.072,0.0,0.367,0.367,-0.155,0.0,-0.028,-0.028,-0.004,0.0,-0.35,-0.35"
2023-02-08,"2.423,2.457,4.14,4.14,5.008,1.271,2.576,2.576,-0.115,0.0,-0.328,-0.328,1.043,0.0,2.315,2.315,0.449,0.0,-0.02,-0.02,2.2,0.7,-0.4,-0.4,2.932,0.097,2.32,2.32,0.367,0.0,2.593,2.593,-0.028,0.0,0.1,0.1,-0.35,0.0,0.612,0.612"
2023-02-01,"4.140,0.376,0.533,0.533,2.576,1.442,1.763,1.763,-0.328,0.0,-0.234,-0.234,2.315,0.0,4.267,4.267,-0.020,0.0,0.128,0.128,-0.4,0.5,0.8,0.8,2.320,-1.3,-0.507,-0.507,2.593,0.0,-1.791,-1.791,0.100,0.0,-0.009,-0.009,0.612,0.0,-0.034,-0.034"
2023-01-25,"0.533,0.971,8.408,8.408,1.763,1.767,3.483,3.483,-0.234,0.0,-0.26,-0.26,4.267,0.0,3.646,3.646,0.128,0.0,0.202,0.202,0.8,1.2,1.2,1.2,-0.507,-1.121,-1.939,-1.939,-1.791,0.0,-1.224,-1.224,-0.009,0.0,0.057,0.057,-0.034,0.0,0.332,0.332"
2023-01-20,"8.408,-0.593,18.962,18.962,3.483,2.529,4.114,4.114,-0.260,0.0,0.405,0.405,3.646,0.0,2.511,2.511,0.202,0.0,0.831,0.831,1.2,3.8,4.5,4.5,-1.939,0.122,-1.069,-1.069,-1.224,0.0,2.708,2.708,0.057,0.0,0.509,0.509,0.332,0.0,0.067,0.067"
2023-01-11,"18.962,-2.243,1.694,1.694,4.114,1.186,-0.346,-0.346,0.405,0.0,-0.476,-0.476,2.511,0.0,0.244,0.244,0.831,0.0,-2.329,-2.329,4.5,6.1,-12.4,-12.4,-1.069,-0.472,-1.427,-1.427,2.708,0.0,-1.282,-1.282,0.509,0.0,-1.05,-1.05,0.067,0.0,-1.678,-1.678"
2023-01-06,"1.694,1.154,0.718,0.718,-0.346,-0.486,-3.105,-3.105,-0.476,0.0,0.011,0.011,0.244,0.0,-0.195,-0.195,-2.329,0.0,0.173,0.173,-12.4,-2.9,1.1,1.1,-1.427,-0.396,0.282,0.282,-1.282,0.0,1.328,1.328,-1.050,0.0,-0.017,-0.017,-1.678,0.0,0.592,0.592"
2022-12-30,"0.718,-1.52,-5.894,-5.894,-3.105,0.52,2.53,2.53,0.011,0.0,-0.239,-0.239,-0.195,0.0,0.853,0.853,0.173,0.0,-0.15,-0.15,1.1,-0.1,-1.3,-1.3,0.282,-2.05,-0.242,-0.242,1.328,0.0,-1.092,-1.092,-0.017,0.0,-0.066,-0.066,0.592,0.0,0.358,0.358"
2022-12-21,"-5.894,-1.657,10.231,10.231,2.530,2.14,4.496,4.496,-0.239,0.0,0.504,0.504,0.853,0.0,0.426,0.426,-0.150,0.0,-0.459,-0.459,-1.3,-0.1,-3.3,-3.3,-0.242,0.336,1.364,1.364,-1.092,0.0,-0.031,-0.031,-0.066,0.0,-0.164,-0.164,0.358,0.0,0.129,0.129"
2022-12-14,"10.231,-3.595,-5.187,-5.187,4.496,2.714,5.32,5.32,0.504,0.0,-0.705,-0.705,0.426,-0.715,-0.373,-0.373,-0.459,0.0,-0.053,-0.053,-3.3,-0.1,0.3,0.3,1.364,2.517,6.159,6.159,-0.031,0.0,1.493,1.493,-0.164,0.0,0.021,0.021,0.129,0.0,-0.295,-0.295"
2022-12-07,"-5.187,-3.305,-12.58,-12.58,5.320,2.707,2.769,2.769,-0.705,0.0,-0.729,-0.729,-0.373,-0.841,-0.415,-0.415,-0.053,0.0,0.228,0.228,0.3,0.1,1.3,1.3,6.159,2.208,3.547,3.547,1.493,0.0,-1.732,-1.732,0.021,0.0,0.2,0.2,-0.295,0.0,0.196,0.196"
2022-11-30,"-12.580,-2.758,-3.691,-3.691,2.769,1.625,3.058,3.058,-0.729,0.0,0.961,0.961,-0.415,-0.697,-0.887,-0.887,0.228,0.0,0.258,0.258,1.3,0.2,1.0,1.0,3.547,1.457,1.718,1.718,-1.732,0.0,1.124,1.124,0.200,0.0,0.014,0.014,0.196,0.0,-0.625,-0.625"
