date,feature
2023-06-15,"5.25,5.25,5.25,5.25,0.0,0.0,0.0,0.0,4.6,0.0,4.3,4.3,3.4,0.0,3.1,3.1,5.6,0.0,5.1,5.1,2.5,0.0,2.5,2.5"
2022-12-15,"4.5,4.5,4,4,0.0,0.0,0.0,0.0,5.1,0.0,4.6,4.6,4.1,0.0,3.9,3.9,4.4,0.0,4.4,4.4,2.5,0.0,2.5,2.5"
2022-09-22,"3.25,3.25,2.5,2.5,0.0,0.0,0.0,0.0,4.6,0.0,3.8,3.8,3.9,0.0,3.4,3.4,4.4,0.0,3.4,3.4,2.5,0.0,2.5,2.5"
2022-06-16,"1.75,1.5,1,1,0.0,0.0,0.0,0.0,3.8,0.0,2.8,2.8,3.4,0.0,2.8,2.8,3.4,0.0,1.9,1.9,2.5,0.0,2.4,2.4"
2022-03-17,"0.5,0.5,0.25,0.25,0.0,0.0,0.0,0.0,2.8,0.0,0.9,0.9,2.8,0.0,1.6,1.6,1.9,0.0,0.1,0.1,2.4,0.0,2.5,2.5"
2021-12-16,"0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.9,0.0,0.3,0.3,1.6,0.0,1.0,1.0,0.1,0.0,0.1,0.1,2.5,0.0,2.5,2.5"
2021-09-23,"0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.1,1.0,0.0,0.6,0.6,0.1,0.0,0.1,0.1,2.5,0.0,2.5,2.5"
2021-06-17,"0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.6,0.0,0.1,0.1,0.1,0.0,0.1,0.1,2.5,0.0,2.5,2.5"
2021-03-18,"0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,2.5,0.0,2.5,2.5"
2020-12-17,"0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,2.5,0.0,2.5,2.5"
2020-09-17,"0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,2.5,0.0,2.5,2.5"
2020-06-11,"0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.1,0.0,1.6,1.6,0.1,0.0,1.9,1.9,0.1,0.0,1.6,1.6,2.5,0.0,2.5,2.5"
2019-12-12,"1.75,1.75,1.75,1.75,0.0,0.0,0.0,0.0,1.6,0.0,1.9,1.9,1.9,0.0,2.1,2.1,1.6,0.0,1.9,1.9,2.5,0.0,2.5,2.5"
2019-09-19,"2,2,2.25,2.25,0.0,0.0,0.0,0.0,1.9,0.0,2.1,0.0,2.1,0.0,2.4,0.0,1.9,0.0,2.4,0.0,2.5,0.0,2.5,0.0"
