date,feature
2023-09-01,"0,0,44.4,44.4,0,0,47.3,47.3,0,0,46.4,46.4,0,0,42.6,42.6"
2023-08-01,"44.4,48.0,48.1,48.1,47.3,44.0,45.6,45.6,46.4,46.8,46.0,46.0,42.6,42.8,41.8,41.8"
2023-07-03,"48.1,50.8,51.4,51.4,45.6,44.0,42.6,42.6,46.0,47.2,46.9,46.9,41.8,44.0,44.2,44.2"
2023-06-01,"51.4,48.5,50.2,50.2,42.6,44.9,45.7,45.7,46.9,47.0,47.1,47.1,44.2,52.0,53.2,53.2"
2023-05-01,"50.2,47.9,46.9,46.9,45.7,45.5,44.3,44.3,47.1,46.8,46.3,46.3,53.2,49.0,49.2,49.2"
2023-04-03,"46.9,50.0,49.1,49.1,44.3,49.0,47.0,47.0,46.3,47.5,47.7,47.7,49.2,51.2,51.3,51.3"
2023-03-01,"49.1,0,50.6,50.6,47.0,0,42.5,42.5,47.7,48.0,47.4,47.4,51.3,45.1,44.5,44.5"
2023-02-01,"50.6,49.0,50.8,51.4,42.5,0,45.1,45.2,47.4,48.0,48.4,48.4,44.5,39.5,39.4,39.4"
2023-01-04,"51.4,48.3,48.4,48.4,45.2,0,47.2,47.2,48.4,48.5,49.0,49.0,39.4,42.6,43.0,43.0"
2022-12-01,"48.4,0,50.0,50.0,47.2,0,49.2,49.2,49.0,49.8,50.2,50.2,43.0,47.5,46.6,46.6"
2022-11-01,"50.0,53.0,48.7,48.7,49.2,0,47.1,47.1,50.2,50.0,50.9,50.9,46.6,52.5,51.7,51.7"
2022-10-03,"48.7,53.0,54.2,54.2,47.1,0,51.3,51.3,50.9,52.2,52.8,52.8,51.7,51.9,52.5,52.5"
2022-09-01,"54.2,49.0,49.9,49.9,51.3,0,48.0,48.0,52.8,52.0,52.8,52.8,52.5,55.5,60.0,60.0"
2022-08-01,"49.9,0,47.3,47.3,48.0,0,49.2,49.2,52.8,52.0,53.0,53.0,60.0,74.3,78.5,78.5"
2022-07-01,"47.3,0,49.6,49.6,49.2,0,55.1,55.1,53.0,54.9,56.1,56.1,78.5,81.0,82.2,82.2"
2022-06-01,"49.6,56.0,50.9,50.9,55.1,0,53.5,53.5,56.1,54.5,55.4,55.4,82.2,83.0,84.6,84.6"
2022-05-02,"50.9,56.0,56.3,56.3,53.5,0,53.8,53.8,55.4,57.6,57.1,57.1,84.6,87.5,87.1,87.1"
2022-04-01,"56.3,0,52.9,52.9,53.8,0,61.7,61.7,57.1,59.0,58.6,58.6,87.1,80.0,75.6,75.6"
2022-03-01,"52.9,0,54.5,54.5,61.7,0,57.9,57.9,58.6,58.0,57.6,57.6,75.6,68.1,76.1,76.1"
2022-02-01,"54.5,53.5,53.9,54.2,57.9,0,61.0,60.4,57.6,57.5,58.8,58.7,76.1,68.1,68.2,68.2"
2022-01-04,"54.2,53.5,53.3,53.3,60.4,0,61.5,61.5,58.7,60.0,61.1,61.1,68.2,79.5,82.4,82.4"
2021-12-01,"53.3,0,52.0,52.0,61.5,0,59.8,59.8,61.1,61.0,60.8,60.8,82.4,85.5,85.7,85.7"
2021-11-01,"52.0,0,50.2,50.2,59.8,0,66.7,66.7,60.8,60.5,61.1,61.1,85.7,78.5,81.2,81.2"
2021-10-01,"50.2,0,49.0,49.0,66.7,0,66.7,66.7,61.1,59.6,59.9,59.9,81.2,78.5,79.4,79.4"
