date,feature
2023-09-01,"0,0,4.4,4.4,0,0,34.3,34.3,0,0,15.0,15.0,0,0,62.6,62.6,0,0,-2,-2.0,0,0,187,187.0,0,0,0.4,0.4,0,0,3.5,3.5,0,0,172,172.0,0,0,6.7,6.7"
2023-08-04,"4.4,4.2,4.4,4.4,34.3,34.4,34.4,34.4,15.0,0,57.0,60.0,62.6,62.6,62.6,62.6,-2,5,6,7.0,187,200,185,185.0,0.4,0.3,0.4,0.4,3.5,3.6,3.6,3.6,172,179,128,149.0,6.7,6.8,6.9,6.9"
2023-07-07,"4.4,4.2,4.4,4.3,34.4,34.3,34.3,34.3,60.0,7.0,47.0,56.0,62.6,62.6,62.6,62.6,7,0,-3,-2.0,185,225,281,339.0,0.4,0.3,0.4,0.3,3.6,3.6,3.7,3.7,149,200,259,283.0,6.9,6.6,6.7,6.7"
2023-06-02,"4.3,4.3,4.4,4.4,34.3,34.4,34.4,34.4,56.0,0,41.0,23.0,62.6,62.5,62.6,62.6,-2,8,10,11.0,339,180,294,253.0,0.3,0.4,0.4,0.5,3.7,3.5,3.4,3.4,283,160,253,230.0,6.7,6.6,6.6,6.6"
2023-05-05,"4.4,4.2,4.3,4.2,34.4,34.4,34.4,34.4,23.0,-8.0,42.0,47.0,62.6,62.5,62.6,62.6,11,-5,-8,-1.0,253,180,165,236.0,0.5,0.3,0.3,0.3,3.4,3.6,3.5,3.5,230,160,123,189.0,6.6,6.7,6.7,6.7"
2023-04-07,"4.2,4.3,4.6,4.6,34.4,34.5,34.5,34.5,47.0,2.0,60.0,46.0,62.6,62.5,62.5,62.5,-1,5,-1,-4.0,236,239,326,311.0,0.3,0.3,0.2,0.2,3.5,3.6,3.6,3.6,189,215,266,265.0,6.7,6.7,6.8,6.8"
2023-03-10,"4.6,4.7,4.4,4.4,34.5,34.6,34.6,34.7,46.0,0,118.0,74.0,62.5,0,62.4,62.4,-4,12,13,19.0,311,205,504,517.0,0.2,0.3,0.3,0.3,3.6,3.4,3.4,3.4,265,210,386,443.0,6.8,0,6.6,6.6"
2023-02-03,"4.4,4.3,4.8,4.6,34.7,34.3,34.4,34.3,74.0,0,-9.0,3.0,62.4,0,62.3,62.3,19,6,12,8.0,517,185,260,223.0,0.3,0.3,0.4,0.3,3.4,3.6,3.5,3.5,443,190,269,220.0,6.6,0,6.5,6.5"
2023-01-06,"4.6,5.0,4.8,5.1,34.3,34.4,34.4,34.4,3.0,0,54.0,42.0,62.3,0,62.2,62.1,8,10,8,14.0,223,200,256,263.0,0.3,0.4,0.4,0.6,3.5,3.7,3.6,3.7,220,180,202,221.0,6.5,0,6.7,6.7"
2022-12-02,"5.1,4.6,4.9,4.7,34.4,34.5,34.5,34.5,42.0,0,36.0,28.0,62.1,0,62.2,62.2,14,20,36,32.0,263,200,284,261.0,0.6,0.3,0.5,0.4,3.7,3.7,3.7,3.7,221,190,248,233.0,6.7,0,6.8,6.8"
2022-11-04,"4.7,4.7,5.0,5.0,34.5,34.5,34.5,34.5,28.0,0,-4.0,-25.0,62.2,0,62.3,62.3,32,15,23,22.0,261,200,315,263.0,0.4,0.3,0.3,0.3,3.7,3.6,3.5,3.5,233,200,319,288.0,6.8,0,6.7,6.7"
2022-10-07,"5.0,5.1,5.2,5.2,34.5,34.5,34.5,34.5,-25.0,0,40.0,7.0,62.3,0,62.4,62.4,22,19,27,22.0,263,250,315,315.0,0.3,0.3,0.3,0.3,3.5,3.7,3.7,3.7,288,265,275,308.0,6.7,0,7.0,7.0"
2022-09-02,"5.2,5.3,5.2,5.2,34.5,34.6,34.6,34.6,7.0,0,49.0,57.0,62.4,0,62.1,62.1,22,20,36,30.0,315,300,526,528.0,0.3,0.4,0.5,0.5,3.7,3.5,3.5,3.5,308,300,477,471.0,7.0,0,6.7,6.7"
2022-08-05,"5.2,4.9,5.2,5.1,34.6,34.5,34.6,34.5,57.0,0,-6.0,-9.0,62.1,0,62.2,62.2,30,17,27,29.0,528,250,398,372.0,0.5,0.3,0.4,0.3,3.5,3.6,3.6,3.6,471,230,404,381.0,6.7,0,6.7,6.7"
2022-07-08,"5.1,5.0,5.3,5.2,34.5,34.6,34.5,34.6,-9.0,0,48.0,57.0,62.2,0,62.3,62.3,29,15,18,18.0,372,268,384,390.0,0.3,0.3,0.4,0.3,3.6,3.6,3.6,3.6,381,240,336,333.0,6.7,0,7.1,7.1"
2022-06-03,"5.2,5.2,5.5,5.5,34.6,34.6,34.6,34.6,57.0,0,31.0,22.0,62.3,0,62.2,62.2,18,40,61,55.0,390,325,436,428.0,0.3,0.4,0.3,0.3,3.6,3.5,3.6,3.6,333,325,405,406.0,7.1,0,7.0,7.0"
