date,feature
2023-08-16,"0.0,0.0,0.0,0.0,5.5,5.5,5.5,5.5"
2023-05-24,"0.0,0.0,0.0,0.0,5.5,5.5,5.25,5.25"
2023-02-22,"0.0,0.0,0.0,0.0,4.75,4.75,4.25,4.25"
2022-11-23,"0.0,0.0,0.0,0.0,4.25,4.25,3.5,3.5"
2022-05-25,"0.0,0.0,0.0,0.0,2.0,2.0,1.5,1.5"
2022-02-23,"0.0,0.0,0.0,0.0,1.0,1.0,0.75,0.75"
2021-11-24,"0.0,0.0,0.0,0.0,0.75,0.75,0.5,0.5"
2021-08-18,"0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.25"
2021-02-24,"0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25"
2020-11-11,"0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25"
2020-08-12,"0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25"
2020-05-13,"0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25"
2020-02-12,"0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0"
2019-11-13,"0.0,0.0,0.0,0.0,1.0,0.75,1.0,1.0"
2019-08-07,"0.0,0.0,0.0,0.0,1.0,1.25,1.5,1.5"
2019-05-08,"0.0,0.0,0.0,0.0,1.5,1.5,1.75,1.75"
2019-02-13,"0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75"
2018-11-08,"0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75"
2018-09-27,"0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75"
2018-08-09,"0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75"
2018-05-10,"0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75"
2018-02-08,"0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75"
2017-11-09,"0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75"
2017-08-10,"0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75"
2017-05-11,"0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75"
2017-02-09,"0.0,0.0,0.0,0.0,1.75,1.75,1.75,1.75"
2016-11-10,"0.0,0.0,0.0,0.0,1.75,1.75,2.0,2.0"
2016-08-11,"0.0,0.0,0.0,0.0,2.0,2.0,2.25,2.25"
2016-06-09,"0.0,0.0,0.0,0.0,2.25,2.25,2.25,2.25"
2016-04-28,"0.0,0.0,0.0,0.0,2.25,2.25,2.25,2.25"
2016-03-10,"0.0,0.0,0.0,0.0,2.25,2.5,2.5,2.5"
2015-12-10,"0.0,0.0,0.0,0.0,2.5,2.5,2.75,2.75"
2015-09-10,"0.0,0.0,0.0,0.0,2.75,2.75,3.0,3.0"
2015-06-11,"0.0,0.0,0.0,0.0,3.25,3.5,3.5,3.5"
2015-03-12,"0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5"
2014-12-11,"0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5"
2014-09-11,"0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5"
2014-06-12,"0.0,0.0,0.0,0.0,3.25,3.25,3.0,3.0"
2014-03-13,"0.0,0.0,0.0,0.0,2.75,2.75,2.5,2.5"
2013-12-12,"0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5"
2013-09-12,"0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5"
2013-06-13,"0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5"
2013-03-14,"0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5"
2012-12-06,"0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5"
2012-09-13,"0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5"
2012-06-14,"0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5"
2012-03-08,"0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5"
2011-12-08,"0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5"
2011-09-15,"0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5"
2011-06-09,"0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5"
2011-03-10,"0.0,0.0,0.0,0.0,2.5,2.75,3.0,3.0"
2010-12-09,"0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0"
2010-09-16,"0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0"
2010-06-10,"0.0,0.0,0.0,0.0,2.75,2.75,2.5,2.5"
