date,feature
2023-08-16,"-0.7,0.6,0.2,0.2,7.9,8.3,9.6,9.6,-0.6,-0.7,0.3,0.3,9.0,9.0,10.7,10.7,0.3,0.2,0.2,0.2,6.9,6.8,6.9,6.9,130.9,0.0,131.5,131.5,-0.4,-0.5,0.1,0.1,6.8,6.8,7.9,7.9,0.1,-0.3,-0.2,-0.2,2.3,1.6,3.1,3.0,0.1,-0.2,-0.2,-0.3,-0.8,-1.3,0.3,0.1,-0.4,0.0,-1.3,-1.3,-3.3,-3.1,-2.9,-2.7"
2023-07-19,"0.2,1.5,0.7,0.7,9.6,9.0,10.3,10.3,0.3,0.4,0.7,0.7,10.7,10.9,11.3,11.3,0.2,0.4,0.8,0.8,6.9,7.1,7.1,7.1,131.5,0.0,131.3,131.3,0.1,0.4,0.7,0.7,7.9,8.2,8.7,8.7,-0.2,-0.2,-0.5,-0.3,3.0,2.8,3.9,4.1,-0.3,-0.3,-0.6,-0.5,0.1,0.5,2.7,2.9,-1.3,-0.3,-1.2,-1.5,-2.7,-1.6,0.4,0.5"
2023-06-21,"0.7,0.7,1.4,1.4,10.3,10.1,10.4,10.4,0.7,0.5,1.5,1.5,11.3,11.2,11.4,11.4,0.8,0.6,1.3,1.3,7.1,6.8,6.8,6.8,131.3,0.0,130.4,130.4,0.7,0.5,1.2,1.2,8.7,8.4,8.7,8.7,-0.3,0.1,0.0,0.0,4.1,4.7,6.0,6.0,-0.5,-0.1,-0.2,0.0,2.9,3.6,5.2,5.4,-1.5,-0.5,0.1,-0.3,0.5,1.2,4.2,3.9"
2023-05-24,"1.4,2.1,0.7,0.7,10.4,11.7,12.6,12.6,1.5,1.3,0.7,0.7,11.4,11.2,13.5,13.5,1.3,0.8,0.9,0.9,6.8,6.2,6.2,6.2,130.4,0.0,128.9,128.9,1.2,0.8,0.8,0.8,8.7,8.3,10.1,10.1,0.0,0.1,0.3,0.3,6.0,7.3,8.3,8.5,0.0,-0.1,0.0,0.1,5.4,8.6,8.5,8.7,-0.3,0.1,0.2,0.2,3.9,7.0,7.3,7.6"
2023-04-19,"0.7,0.2,1.1,1.1,12.6,0,12.9,12.9,0.7,0.6,1.2,1.2,13.5,13.3,13.8,13.8,0.9,0.6,1.2,1.2,6.2,6.0,6.2,6.2,128.9,0.0,127.9,127.9,0.8,0.5,1.1,1.1,10.1,9.8,10.4,10.4,0.3,0.2,-0.2,-0.2,8.5,8.6,10.2,10.4,0.1,-0.1,-0.4,-0.3,8.7,8.6,11.9,12.1,0.2,-0.3,0.0,-0.1,7.6,7.0,12.8,12.7"
2023-03-22,"1.1,0,-0.2,-0.2,12.9,0,12.6,12.6,1.2,0.6,0.0,0.0,13.8,13.3,13.4,13.4,1.2,0.8,-0.9,-0.9,6.2,5.7,5.8,5.8,127.9,0.0,126.4,126.4,1.1,0.6,-0.6,-0.6,10.4,9.9,10.1,10.1,-0.2,0,0.7,0.6,10.4,0,11.2,11.1,-0.3,0.2,0.5,0.5,12.1,12.4,13.5,13.5,-0.1,0.2,0.4,-0.1,12.7,12.0,14.7,14.1"
2023-02-15,"-0.2,1.3,0.5,0.5,12.6,13.1,12.9,12.9,0.0,-0.2,0.6,0.6,13.4,13.2,13.4,13.4,-0.9,-0.5,0.5,0.5,5.8,6.2,6.3,6.3,126.4,0.0,127.2,127.2,-0.6,-0.4,0.4,0.4,10.1,10.3,10.5,10.5,0.6,0,0.0,0.1,11.1,0,12.0,12.4,0.5,0.1,-0.8,-0.8,13.5,13.3,14.6,14.7,-0.1,0.2,-1.1,-1.1,14.1,14.7,16.2,16.5"
2022-11-16,"2.4,0,0.6,0.6,13.9,0,12.4,12.4,2.5,1.8,0.7,0.7,14.2,13.5,12.6,12.6,0.7,0.6,0.6,0.6,6.5,6.4,6.5,6.5,126.2,0.0,123.8,123.8,2.0,1.7,0.5,0.5,11.1,10.7,10.1,10.1,0.5,0,0.8,0.7,13.3,0,14.4,14.0,0.3,0.5,0.3,0.2,14.8,14.6,16.3,15.9,0.6,0.3,0.9,0.4,19.2,18.0,20.8,20.0"
2022-10-19,"0.6,0,0.6,0.6,12.4,0,12.2,12.2,0.7,0.5,0.6,0.6,12.6,12.3,12.3,12.3,0.6,0.5,0.8,0.8,6.5,6.4,6.3,6.3,123.8,0.0,123.1,123.1,0.5,0.4,0.5,0.5,10.1,10.0,9.9,9.9,0.7,0,0.5,0.3,14.0,0,13.9,13.7,0.2,0.3,0.1,-0.1,15.9,15.7,16.4,16.1,0.4,-0.4,-0.9,-1.2,20.0,18.8,20.9,20.5"
2022-09-14,"0.6,0,0.8,0.8,12.2,12.3,12.3,12.3,0.6,0.7,0.9,0.9,12.3,12.4,12.3,12.3,0.8,0.8,0.3,0.3,6.3,6.3,6.2,6.2,123.1,0.0,122.5,122.5,0.5,0.6,0.6,0.6,9.9,10.2,10.1,10.1,0.3,0,0.8,1.0,13.7,0,14.4,14.6,-0.1,0.9,1.6,1.6,16.1,17.4,17.1,17.1,-1.2,0.3,0.0,0.1,20.5,22.4,22.6,22.6"
2022-08-17,"0.8,0,0.8,0.8,12.3,0,11.9,11.9,0.9,0.6,0.9,0.9,12.3,12.0,11.8,11.8,0.3,0.2,0.4,0.4,6.2,5.9,5.8,5.8,122.5,0.0,121.8,121.8,0.6,0.4,0.8,0.8,10.1,9.8,9.4,9.4,1.0,0,0.7,0.8,14.6,0,14.9,15.2,1.6,0.8,1.4,1.4,17.1,16.2,16.4,16.5,0.1,1.4,1.8,1.8,22.6,23.9,24.1,24.0"
2022-07-20,"0.8,0,0.7,0.7,11.9,0,11.8,11.8,0.9,0.8,0.7,0.7,11.8,11.8,11.7,11.7,0.4,0.5,0.5,0.5,5.8,5.8,5.9,5.9,121.8,0.0,120.8,120.8,0.8,0.7,0.7,0.7,9.4,9.3,9.1,9.1,0.8,0,1.5,1.5,15.2,0,15.0,14.8,1.4,1.1,1.6,1.6,16.5,16.0,15.8,15.7,1.8,1.4,2.4,2.1,24.0,23.2,22.4,22.1"
2022-06-22,"0.7,0,3.5,3.5,11.8,0,11.2,11.2,0.7,0.5,3.4,3.4,11.7,11.4,11.1,11.1,0.5,0.6,0.7,0.7,5.9,6.0,6.2,6.2,120.8,0.0,120.0,120.0,0.7,0.6,2.5,2.5,9.1,9.1,9.0,9.0,1.5,0,2.2,1.6,14.8,0,13.9,13.0,1.6,1.5,2.8,2.3,15.7,14.7,14.7,14.0,2.1,1.9,2.7,1.1,22.1,19.4,20.9,18.6"
2022-05-18,"3.5,0,1.0,1.0,11.2,0,9.1,9.1,3.4,3.4,1.0,1.0,11.1,11.1,9.0,9.0,0.7,0.8,0.9,0.9,6.2,6.2,5.7,5.7,120.0,0.0,117.1,117.1,2.5,2.6,1.1,1.1,9.0,9.1,7.0,7.0,1.6,0,1.8,2.0,13.0,0,11.8,12.0,2.3,1.0,1.9,2.0,14.0,12.5,11.9,11.9,1.1,1.1,4.6,5.2,18.6,19.0,18.6,19.2"
2022-04-13,"1.0,0,0.8,0.8,9.1,0,8.3,8.3,1.0,0.9,0.8,0.8,9.0,8.8,8.2,8.2,0.9,0.5,0.8,0.8,5.7,5.4,5.2,5.2,117.1,0.0,115.8,115.8,1.1,0.7,0.8,0.8,7.0,6.7,6.2,6.2,2.0,0,0.7,0.7,12.0,0,9.9,9.9,2.0,1.2,0.9,0.8,11.9,11.1,10.2,10.1,5.2,2.5,1.8,1.4,19.2,13.9,15.1,14.7"
