date,feature
2023-08-16,"0,-0.3,-0.2,-0.2,0,1.6,3.0,3.0,0,-0.2,-0.3,-0.3,0,-1.3,0.1,0.1,0,0.0,-1.3,-1.3,0,-3.1,-2.7,-2.7"
2023-07-19,"-0.2,-0.2,-0.5,-0.3,3.0,2.8,3.9,4.1,-0.3,-0.3,-0.6,-0.5,0.1,0.5,2.7,2.9,-1.3,-0.3,-1.2,-1.5,-2.7,-1.6,0.4,0.5"
2023-06-21,"-0.3,0.1,0.0,0.0,4.1,4.7,6.0,6.0,-0.5,-0.1,-0.2,0.0,2.9,3.6,5.2,5.4,-1.5,-0.5,0.1,-0.3,0.5,1.2,4.2,3.9"
2023-05-24,"0.0,0.1,0.3,0.3,6.0,7.3,8.3,8.5,0.0,-0.1,0.0,0.1,5.4,8.6,8.5,8.7,-0.3,0.1,0.2,0.2,3.9,7.0,7.3,7.6"
2023-04-19,"0.3,0.2,-0.2,-0.2,8.5,8.6,10.2,10.4,0.1,-0.1,-0.4,-0.3,8.7,8.6,11.9,12.1,0.2,-0.3,0.0,-0.1,7.6,7.0,12.8,12.7"
2023-03-22,"-0.2,0,0.7,0.6,10.4,0,11.2,11.1,-0.3,0.2,0.5,0.5,12.1,12.4,13.5,13.5,-0.1,0.2,0.4,-0.1,12.7,12.0,14.7,14.1"
2023-02-15,"0.6,0,0.0,0.1,11.1,0,12.0,12.4,0.5,0.1,-0.8,-0.8,13.5,13.3,14.6,14.7,-0.1,0.2,-1.1,-1.1,14.1,14.7,16.2,16.5"
2023-01-25,"0.1,0,0.6,0.5,12.4,0,13.5,13.3,-0.8,0.3,1.0,0.3,14.7,16.4,17.5,14.8,-1.1,-0.6,0.6,0.6,16.5,18.0,19.2,19.2"
2022-11-16,"0.5,0,0.8,0.7,13.3,0,14.4,14.0,0.3,0.5,0.3,0.2,14.8,14.6,16.3,15.9,0.6,0.3,0.9,0.4,19.2,18.0,20.8,20.0"
2022-10-19,"0.7,0,0.5,0.3,14.0,0,13.9,13.7,0.2,0.3,0.1,-0.1,15.9,15.7,16.4,16.1,0.4,-0.4,-0.9,-1.2,20.0,18.8,20.9,20.5"
2022-09-14,"0.3,0,0.8,1.0,13.7,0,14.4,14.6,-0.1,0.9,1.6,1.6,16.1,17.4,17.1,17.1,-1.2,0.3,0.0,0.1,20.5,22.4,22.6,22.6"
2022-08-17,"1.0,0,0.7,0.8,14.6,0,14.9,15.2,1.6,0.8,1.4,1.4,17.1,16.2,16.4,16.5,0.1,1.4,1.8,1.8,22.6,23.9,24.1,24.0"
2022-07-20,"0.8,0,1.5,1.5,15.2,0,15.0,14.8,1.4,1.1,1.6,1.6,16.5,16.0,15.8,15.7,1.8,1.4,2.4,2.1,24.0,23.2,22.4,22.1"
2022-06-22,"1.5,0,2.2,1.6,14.8,0,13.9,13.0,1.6,1.5,2.8,2.3,15.7,14.7,14.7,14.0,2.1,1.9,2.7,1.1,22.1,19.4,20.9,18.6"
2022-05-18,"1.6,0,1.8,2.0,13.0,0,11.8,12.0,2.3,1.0,1.9,2.0,14.0,12.5,11.9,11.9,1.1,1.1,4.6,5.2,18.6,19.0,18.6,19.2"
2022-04-13,"2.0,0,0.7,0.7,12.0,0,9.9,9.9,2.0,1.2,0.9,0.8,11.9,11.1,10.2,10.1,5.2,2.5,1.8,1.4,19.2,13.9,15.1,14.7"
2022-03-23,"0.7,0,1.2,1.1,9.9,0,9.5,9.3,0.8,0.9,1.2,1.2,10.1,10.1,9.9,9.9,1.4,1.2,1.5,0.9,14.7,13.9,14.2,13.6"
2022-02-16,"1.1,0,0.6,0.5,9.3,0,8.6,8.7,1.2,0.6,0.3,0.3,9.9,9.1,9.3,9.3,0.9,0.9,0.1,-0.2,13.6,13.1,13.8,13.5"
2022-01-19,"0.5,0,0.8,0.8,8.7,0,8.2,7.9,0.3,0.6,1.0,0.9,9.3,9.4,9.4,9.1,-0.2,0.7,1.5,1.0,13.5,13.7,15.2,14.3"
2021-12-15,"0.8,0,1.2,0.7,7.9,0,7.1,6.5,0.9,0.8,1.5,1.1,9.1,8.3,8.6,8.0,1.0,0.5,1.6,1.4,14.3,0,13.7,13.0"
2021-11-17,"0.7,0,0.6,0.5,6.5,0,6.0,5.9,1.1,0.8,0.7,0.5,8.0,7.3,7.0,6.7,1.4,1.1,0.8,0.4,13.0,12.1,11.9,11.4"
2021-10-20,"0.5,0,0.9,1.0,5.9,0,5.4,5.3,0.5,0.5,0.7,0.7,6.7,6.8,6.0,5.9,0.4,1.0,0.5,0.4,11.4,11.6,11.2,11.0"
2021-09-15,"1.0,0,1.0,0.7,5.3,0,4.2,3.9,0.7,0.4,0.8,0.6,5.9,5.4,5.1,4.9,0.4,0.2,1.3,0.8,11.0,10.3,10.4,9.9"
2021-08-18,"0.7,0,0.6,0.3,3.9,0,3.1,2.7,0.6,0.4,0.6,0.0,4.9,4.4,4.5,4.3,0.8,0.5,0.5,-0.1,9.9,9.1,9.7,9.1"
