date,feature
2023-08-24,"0,232.63,234.25,234.25,0,1700.0,1716,1716.0,0,240,239,239.0"
2023-08-17,"234.25,229.63,231.5,231.0,1716,1700.0,1684,1684.0,239,240,250,248.0"
2023-08-10,"231.00,231.01,228.25,228.25,1684,1710.0,1692,1700.0,248,230,227,227.0"
2023-08-03,"228.25,235.63,233.75,233.75,1700,1700.0,1679,1690.0,227,227,221,221.0"
2023-07-27,"233.75,242.1,237.5,237.5,1690,1750.0,1749,1754.0,221,235,228,228.0"
2023-07-20,"237.50,250.01,246.75,246.75,1754,1729.0,1721,1729.0,228,242,237,237.0"
2023-07-13,"246.75,255.39,253.5,253.25,1729,1723.0,1718,1720.0,237,250,249,248.0"
2023-07-06,"253.25,256.64,256.75,257.5,1720,1745.0,1733,1742.0,248,245,236,239.0"
2023-06-29,"257.50,251.27,256.0,255.75,1742,1765.0,1761,1759.0,239,266,265,264.0"
2023-06-22,"255.75,242.01,247.25,246.75,1759,1782.0,1772,1775.0,264,260,264,262.0"
2023-06-15,"246.75,233.38,237.5,237.25,1775,1761.0,1755,1757.0,262,250,262,261.0"
2023-06-08,"237.25,209.67,229.75,229.5,1757,1800.0,1794,1795.0,261,235,233,232.0"
2023-06-01,"229.50,0.0,232.0,231.75,1795,1800.0,1789,1794.0,232,235,230,229.0"
2023-05-25,"231.75,258.97,231.75,244.25,1794,1800.0,1799,1799.0,229,250,225,242.0"
2023-05-18,"244.25,245.94,245.25,245.25,1799,1818.0,1807,1813.0,242,254,264,264.0"
2023-05-11,"245.25,220.35,239.25,239.25,1813,1820.0,1801,1805.0,264,245,242,242.0"
2023-05-04,"239.25,217.09,235.75,236.0,1805,1865.0,1843,1858.0,242,240,229,230.0"
2023-04-27,"236.00,0.0,240.0,239.75,1858,1878.0,1861,1865.0,230,248,246,245.0"
2023-04-20,"239.75,255.15,240.25,240.0,1865,1820.0,1804,1810.0,245,240,240,239.0"
2023-04-13,"240.00,253.17,237.75,237.75,1810,1814.0,1823,1823.0,239,232,228,228.0"
2023-04-06,"237.75,196.5,242.0,198.25,1823,1699.0,1817,1689.0,228,200,246,198.0"
2023-03-30,"198.25,0.0,196.25,196.25,1689,1697.0,1685,1694.0,198,196,191,191.0"
2023-03-23,"196.25,0.0,196.5,196.5,1694,1684.0,1680,1684.0,191,197,192,192.0"
2023-03-16,"196.50,0.0,197.25,197.0,1684,1715.0,1713,1718.0,192,205,212,211.0"
2023-03-09,"197.00,0.0,193.0,193.0,1718,1659.0,1649,1655.0,211,195,190,190.0"
2023-03-02,"193.00,0.0,191.25,191.25,1655,1665.0,1660,1654.0,190,195,192,192.0"
2023-02-23,"191.25,0.0,189.75,189.5,1654,1700.0,1691,1696.0,192,200,195,194.0"
2023-02-16,"189.50,0.0,189.0,189.25,1696,1695.0,1680,1688.0,194,200,195,196.0"
2023-02-09,"189.25,0.0,191.75,191.75,1688,1658.0,1650,1655.0,196,190,183,183.0"
2023-02-02,"191.75,0.0,197.5,197.5,1655,1677.0,1666,1675.0,183,200,186,186.0"
2023-01-26,"197.50,0.0,206.75,206.0,1675,1659.0,1655,1647.0,186,205,192,190.0"
2023-01-19,"206.00,0.0,212.5,212.5,1647,1660.0,1630,1634.0,190,214,205,205.0"
2023-01-12,"212.50,0.0,214.25,213.75,1634,1705.0,1697,1694.0,205,215,206,204.0"
2023-01-05,"213.75,0.0,220.5,221.0,1694,1708.0,1718,1710.0,204,225,223,225.0"
2022-12-29,"221.00,0.0,221.25,221.75,1710,1686.0,1669,1672.0,225,225,216,216.0"
2022-12-22,"221.75,0.0,228.0,227.25,1672,1683.0,1678,1671.0,216,222,214,211.0"
2022-12-15,"227.25,0.0,230.25,230.0,1671,1671.0,1670,1671.0,211,230,231,230.0"
2022-12-08,"230.00,0.0,229.0,228.75,1671,1600.0,1609,1608.0,230,230,226,225.0"
2022-12-01,"228.75,0.0,227.0,226.75,1608,1573.0,1551,1551.0,225,235,241,240.0"
2022-11-23,"226.75,0.0,221.25,221.0,1551,1517.0,1503,1507.0,240,225,223,222.0"
2022-11-17,"221.00,0.0,219.0,218.75,1507,1500.0,1494,1493.0,222,225,226,225.0"
2022-11-10,"218.75,0.0,219.0,218.75,1493,1475.0,1487,1485.0,225,220,218,217.0"
2022-11-03,"218.75,0.0,219.25,219.0,1485,1450.0,1438,1438.0,217,220,218,217.0"
2022-10-27,"219.00,0.0,212.25,212.25,1438,1388.0,1383,1385.0,217,220,214,214.0"
2022-10-20,"212.25,0.0,211.0,211.5,1385,1375.0,1364,1368.0,214,230,226,228.0"
2022-10-13,"211.50,0.0,206.5,206.5,1368,1365.0,1365,1361.0,228,225,219,219.0"
2022-10-06,"206.50,0.0,206.25,207.0,1361,1345.0,1346,1347.0,219,203,190,193.0"
2022-09-29,"207.00,0.0,215.75,216.75,1347,1388.0,1376,1379.0,193,215,209,213.0"
2022-09-22,"216.75,0.0,222.75,224.0,1379,1400.0,1401,1403.0,213,218,208,213.0"
2022-09-15,"224.00,0.0,232.0,233.0,1403,1475.0,1401,1473.0,213,226,218,222.0"
2022-09-08,"233.00,0.0,240.5,241.5,1473,1435.0,1437,1438.0,222,240,228,232.0"
2022-09-01,"241.50,0.0,245.5,247.0,1438,1438.0,1412,1415.0,232,248,237,243.0"
2022-08-25,"247.00,0.0,245.5,246.75,1415,1442.0,1434,1437.0,243,253,245,250.0"
2022-08-18,"246.75,0.0,249.5,252.0,1437,1438.0,1430,1428.0,250,265,252,262.0"
2022-08-11,"252.00,0.0,247.5,254.75,1428,1407.0,1420,1416.0,262,263,248,260.0"
2022-08-04,"254.75,0.0,248.75,249.25,1416,1370.0,1368,1359.0,260,259,254,256.0"
2022-07-28,"249.25,0.0,243.0,240.5,1359,1380.0,1384,1384.0,256,253,261,251.0"
2022-07-21,"240.50,0.0,236.0,235.75,1384,1340.0,1333,1331.0,251,240,244,244.0"
2022-07-14,"235.75,0.0,232.5,232.5,1331,1383.0,1372,1375.0,244,235,235,235.0"
2022-07-07,"232.50,0.0,231.75,231.75,1375,1327.0,1324,1328.0,235,230,231,231.0"
2022-06-30,"231.75,0.0,224.5,223.5,1328,1310.0,1331,1315.0,231,228,233,229.0"
2022-06-23,"223.50,0.0,219.0,218.5,1315,1315.0,1310,1312.0,229,227,231,229.0"
2022-06-16,"218.50,0.0,215.75,215.0,1312,1302.0,1309,1306.0,229,215,232,229.0"
2022-06-09,"215.00,0.0,207.0,206.5,1306,1305.0,1306,1309.0,229,210,202,200.0"
2022-06-02,"206.50,0.0,207.0,206.75,1309,1325.0,1343,1346.0,200,210,211,210.0"
2022-05-26,"206.75,0.0,199.5,199.5,1346,1310.0,1315,1317.0,210,215,218,218.0"
2022-05-19,"199.50,0.0,191.25,192.75,1317,1320.0,1342,1343.0,218,200,197,203.0"
2022-05-12,"192.75,0.0,188.5,188.0,1343,1380.0,1387,1384.0,203,195,202,200.0"
2022-05-05,"188.00,0.0,180.0,179.75,1384,1400.0,1403,1408.0,200,182,181,180.0"
2022-04-28,"179.75,0.0,177.5,177.25,1408,1403.0,1409,1417.0,180,180,185,184.0"
2022-04-21,"177.25,0.0,172.75,172.25,1417,1455.0,1475,1475.0,184,180,186,185.0"
2022-04-14,"172.25,0.0,170.25,170.0,1475,1500.0,1523,1523.0,185,171,167,166.0"
2022-04-07,"170.00,0.0,178.0,208.5,1523,1311.0,1506,1307.0,166,200,171,202.0"
2022-03-31,"208.50,0.0,212.0,211.75,1307,1350.0,1342,1350.0,202,197,188,187.0"
2022-03-24,"211.75,0.0,223.25,223.0,1350,1410.0,1417,1419.0,187,212,215,214.0"
2022-03-17,"223.00,0.0,231.75,231.25,1419,1485.0,1490,1494.0,214,220,229,227.0"
2022-03-10,"231.25,0.0,230.75,230.5,1494,1460.0,1469,1476.0,227,217,216,215.0"
2022-03-03,"230.50,0.0,236.5,236.25,1476,1475.0,1474,1476.0,215,226,233,232.0"
2022-02-24,"236.25,0.0,243.5,243.25,1476,1580.0,1588,1593.0,232,235,249,248.0"
2022-02-17,"243.25,0.0,253.75,253.25,1593,1605.0,1619,1621.0,248,219,225,223.0"
2022-02-10,"253.25,0.0,255.25,255.0,1621,1615.0,1621,1628.0,223,230,239,238.0"
2022-02-03,"255.00,0.0,247.25,247.0,1628,1620.0,1672,1675.0,238,245,261,260.0"
2022-01-27,"247.00,0.0,232.0,231.0,1675,1650.0,1624,1635.0,260,260,290,286.0"
2022-01-20,"231.00,0.0,211.0,210.75,1635,1580.0,1551,1559.0,286,220,231,230.0"
2022-01-13,"210.75,0.0,204.5,204.5,1559,1733.0,1753,1754.0,230,200,207,207.0"
2022-01-06,"204.50,0.0,199.75,199.25,1754,1688.0,1718,1716.0,207,197,200,198.0"
2021-12-30,"199.25,0.0,206.5,206.25,1716,1868.0,1856,1859.0,198,208,206,205.0"
2021-12-23,"206.25,0.0,203.5,203.75,1859,1820.0,1867,1845.0,205,205,205,206.0"
2021-12-16,"203.75,0.0,219.75,218.75,1845,1936.0,1999,1992.0,206,200,188,184.0"
2021-12-09,"218.75,0.0,240.0,238.75,1992,1900.0,1954,1956.0,184,215,227,222.0"
2021-12-02,"238.75,0.0,251.0,252.25,1956,2000.0,2063,2049.0,222,240,194,199.0"
2021-11-24,"252.25,0.0,273.25,272.75,2049,2033.0,2109,2080.0,199,260,270,268.0"
2021-11-18,"272.75,0.0,278.5,278.0,2080,2120.0,2209,2160.0,268,260,269,267.0"
2021-11-10,"278.00,0.0,285.25,284.75,2160,2095.0,2101,2105.0,267,265,271,269.0"
2021-11-04,"284.75,0.0,299.75,299.25,2105,2118.0,2239,2243.0,269,275,283,281.0"
2021-10-28,"299.25,0.0,320.0,319.75,2243,2415.0,2480,2481.0,281,290,291,290.0"
2021-10-21,"319.75,0.0,335.0,334.25,2481,2550.0,2603,2593.0,290,300,296,293.0"
