date,feature
2023-08-30,"0,0,324,324.0"
2023-08-02,"324,189,455,497.0"
2023-07-06,"497,228,267,278.0"
2023-06-01,"278,170,291,296.0"
2023-05-03,"296,148,142,145.0"
2023-04-05,"145,200,261,242.0"
2023-03-08,"242,200,119,106.0"
2023-02-01,"106,178,253,235.0"
2023-01-05,"235,150,182,127.0"
2022-11-30,"127,200,239,239.0"
2022-11-02,"239,195,192,208.0"
2022-10-05,"208,200,185,132.0"
2022-08-31,"132,300,268,268.0"
2022-08-31,"268,0,380,380.0"
2022-08-31,"380,0,358,128.0"
2022-06-02,"128,300,202,247.0"
2022-05-04,"247,395,479,455.0"
2022-03-30,"455,450,486,475.0"
2022-03-02,"475,378,509,-301.0"
2022-02-02,"-301,207,776,807.0"
2022-01-05,"807,400,505,534.0"
2021-12-01,"534,525,570,571.0"
2021-11-03,"571,400,523,568.0"
2021-10-06,"568,428,340,374.0"
2021-09-01,"374,613,326,330.0"
2021-08-04,"330,695,680,692.0"
2021-06-30,"692,600,886,978.0"
2021-06-03,"978,650,654,742.0"
2021-05-05,"742,800,565,517.0"
2021-03-31,"517,550,176,117.0"
2021-03-03,"117,177,195,174.0"
2021-02-03,"174,49,-78,-123.0"
2021-01-06,"-123,88,304,307.0"
2020-12-02,"307,410,404,365.0"
2020-11-04,"365,650,749,749.0"
2020-09-30,"749,650,481,428.0"
2020-09-02,"428,950,212,167.0"
2020-08-05,"167,1500,4314,2369.0"
2020-07-01,"2369,3000,3065,-2760.0"
2020-06-03,"-2760,-9000,-19557,-20236.0"
2020-05-06,"-20236,-20050,-149,-27.0"
2020-04-01,"-27,-150,183,183.0"
2020-03-04,"183,170,209,291.0"
2020-02-05,"291,156,199,202.0"
2020-01-08,"202,160,124,67.0"
2019-12-04,"67,140,121,125.0"
2019-10-30,"125,120,93,135.0"
2019-10-02,"135,140,157,195.0"
2019-09-05,"195,148,142,156.0"
2019-07-31,"156,150,112,102.0"
2019-07-03,"102,140,41,27.0"
2019-06-05,"27,180,271,275.0"
2019-05-01,"275,181,151,129.0"
2019-04-03,"129,184,197,183.0"
2019-03-06,"183,189,300,213.0"
2019-01-30,"213,180,263,271.0"
2019-01-03,"271,179,157,179.0"
2018-12-06,"179,196,225,227.0"
2018-10-31,"227,189,218,230.0"
2018-10-03,"230,187,168,163.0"
2018-09-06,"163,188,217,219.0"
2018-08-01,"219,186,181,177.0"
