date,feature
2023-08-29,"0,0,117.0,117.0"
2023-07-25,"117.0,111.8,110.1,109.7"
2023-06-27,"109.7,104.0,102.5,102.3"
2023-05-30,"102.3,99.0,103.7,101.3"
2023-04-25,"101.3,104.0,104.0,104.2"
2023-03-28,"104.2,101.0,103.4,102.9"
2023-02-28,"102.9,108.5,106.0,107.1"
2023-01-31,"107.1,109.0,109.0,108.3"
2022-12-21,"108.3,101.0,101.4,100.2"
2022-11-29,"100.2,100.0,102.2,102.5"
2022-10-25,"102.5,106.5,107.8,108.0"
2022-09-27,"108.0,104.5,103.6,103.2"
2022-08-30,"103.2,97.9,95.3,95.7"
2022-07-26,"95.7,97.2,98.4,98.7"
2022-06-28,"98.7,100.4,103.2,106.4"
2022-05-31,"106.4,103.9,108.6,107.3"
2022-04-26,"107.3,108.0,107.6,107.2"
2022-03-29,"107.2,107.0,105.7,110.5"
2022-02-22,"110.5,110.0,111.1,113.8"
2022-01-25,"113.8,111.8,115.2,115.8"
2021-12-22,"115.8,110.8,111.9,109.5"
2021-11-30,"109.5,111.0,111.6,113.8"
2021-10-26,"113.8,108.3,109.8,109.3"
2021-09-28,"109.3,114.5,115.2,113.8"
2021-08-31,"113.8,124.0,125.1,129.1"
2021-07-27,"129.1,123.9,128.9,127.3"
2021-06-29,"127.3,119.0,120.0,117.2"
2021-05-25,"117.2,119.2,117.5,121.7"
2021-04-27,"121.7,113.0,109.0,109.7"
2021-03-30,"109.7,96.9,90.4,91.3"
2021-02-23,"91.3,90.0,88.9,89.3"
2021-01-26,"89.3,89.0,87.1,88.6"
2020-12-22,"88.6,97.0,92.9,96.1"
2020-11-24,"96.1,98.0,101.4,100.9"
2020-10-27,"100.9,102.0,101.3,101.8"
2020-09-29,"101.8,89.2,86.3,84.8"
2020-08-25,"84.8,93.0,91.7,92.6"
2020-07-28,"92.6,94.5,98.3,98.1"
2020-06-30,"98.1,91.8,85.9,86.6"
2020-05-26,"86.6,88.0,85.7,86.9"
2020-04-28,"86.9,87.9,118.8,120.0"
2020-03-31,"120.0,110.0,132.6,130.7"
2020-02-25,"130.7,132.0,130.4,131.6"
2020-01-28,"131.6,128.0,128.2,126.5"
2019-12-31,"126.5,128.2,126.8,125.5"
2019-11-26,"125.5,127.0,126.1,125.9"
2019-10-29,"125.9,128.0,126.3,125.1"
2019-09-24,"125.1,134.1,134.2,135.1"
2019-08-27,"135.1,129.5,135.8,135.7"
2019-07-30,"135.7,125.0,124.3,121.5"
2019-06-25,"121.5,131.1,131.3,134.1"
2019-05-28,"134.1,130.1,129.2,129.2"
2019-04-30,"129.2,126.0,124.1,124.1"
2019-03-26,"124.1,132.0,131.4,131.4"
2019-02-26,"131.4,124.7,121.7,120.2"
2019-01-29,"120.2,124.7,126.6,128.1"
2018-12-27,"128.1,133.7,136.4,135.7"
2018-11-27,"135.7,135.9,137.9,137.9"
2018-10-30,"137.9,136.0,135.3,138.4"
2018-09-25,"138.4,132.2,134.7,133.4"
2018-08-28,"133.4,126.7,127.9,127.4"
2018-07-31,"127.4,126.5,127.1,126.4"
2018-06-26,"126.4,127.6,128.8,128.0"
2018-05-29,"128.0,128.2,125.6,128.7"
2018-04-24,"128.7,126.0,127.0,127.7"
2018-03-27,"127.7,131.0,130.0,130.8"
2018-02-27,"130.8,126.2,124.3,125.4"
2018-01-30,"125.4,123.1,123.1,122.1"
2017-12-27,"122.1,128.0,128.6,129.5"
2017-11-28,"129.5,124.0,126.2,125.9"
2017-10-31,"125.9,121.0,120.6,119.8"
2017-09-26,"119.8,120.0,120.4,122.9"
2017-08-29,"122.9,120.3,120.0,121.1"
2017-07-25,"121.1,116.5,117.3,118.9"
2017-06-27,"118.9,116.0,117.6,117.9"
2017-05-30,"117.9,119.8,119.4,120.3"
2017-04-25,"120.3,122.5,124.9,125.6"
2017-03-28,"125.6,114.0,116.1,114.8"
2017-02-28,"114.8,111.0,111.6,111.8"
2017-01-31,"111.8,113.0,113.3,113.7"
2016-12-27,"113.7,109.0,109.4,107.1"
2016-11-29,"107.1,101.2,100.8,98.6"
2016-10-25,"98.6,101.0,103.5,104.1"
2016-09-27,"104.1,99.0,101.8,101.1"
2016-08-30,"101.1,97.0,96.7,97.3"
2016-07-26,"97.3,95.9,97.4,98.0"
2016-06-28,"98.0,93.3,92.4,92.6"
2016-05-31,"92.6,96.0,94.7,94.2"
2016-04-26,"94.2,96.0,96.1,96.2"
2016-03-29,"96.2,94.0,94.0,92.2"
2016-02-23,"92.2,97.0,97.8,98.1"
2016-01-26,"98.1,96.5,96.3,96.5"
2015-12-29,"96.5,93.8,92.6,90.4"
2015-11-24,"90.4,99.5,99.1,97.6"
2015-10-27,"97.6,103.0,102.6,103.0"
2015-09-29,"103.0,96.1,101.3,101.5"
2015-08-25,"101.5,93.4,91.0,90.9"
2015-07-28,"90.9,100.0,99.8,101.4"
2015-06-30,"101.4,97.3,94.6,95.4"
2015-05-26,"95.4,94.9,94.3,95.2"
