date,feature
2023-08-10,"0.2,0.2,0.2,0.2,4.7,4.8,4.8,4.8,305.69,305.84,305.11,305.11,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0.2,3.2,3.3,3.0,3.0,0.19,0,0.32,0.32,304.35,0,303.84,303.84,308.8,308.33,308.31,308.31,0.0,-0.1,0.6,0.5"
2023-07-12,"0.2,0.3,0.4,0.4,4.8,5.0,5.3,5.3,305.11,305.22,304.13,304.13,0.4,0.4,0.4,0.4,0.2,0.3,0.1,0.1,3.0,3.1,4.0,4.0,0.32,0,0.25,0.25,303.84,303.70,303.29,303.29,308.31,309.03,307.82,307.82,0.5,-0.1,-0.1,-0.1"
2023-06-13,"0.4,0.4,0.4,0.4,5.3,5.3,5.5,5.5,304.13,304.06,303.36,303.36,0.4,0.5,0.4,0.4,0.1,0.2,0.4,0.4,4.0,4.1,4.9,4.9,0.25,0,0.51,0.51,303.29,303.70,302.92,302.92,307.82,307.53,306.49,306.49,-0.1,0.1,0.1,0.1"
2023-05-10,"0.4,0.4,0.4,0.4,5.5,5.5,5.6,5.6,303.36,303.53,301.84,301.84,0.4,0.6,0.4,0.4,0.4,0.4,0.1,0.1,4.9,5.0,5.0,5.0,0.51,0,0.33,0.33,302.92,303.28,301.81,301.81,306.49,306.21,305.24,305.24,0.1,0.0,-0.1,-0.1"
2023-04-12,"0.4,0.4,0.5,0.5,5.6,5.6,5.5,5.5,301.84,302.25,300.84,300.84,0.4,0.6,0.6,0.6,0.1,0.2,0.4,0.4,5.0,5.2,6.0,6.0,0.33,0.40,0.56,0.56,301.81,302.60,301.65,301.65,305.24,305.57,304.07,304.07,-0.1,-0.2,-0.4,-0.4"
2023-03-14,"0.5,0.4,0.4,0.4,5.5,5.5,5.6,5.6,300.84,300.86,299.17,299.17,0.6,0,0.7,0.7,0.4,0.4,0.5,0.5,6.0,6.0,6.4,6.4,0.56,0,0.8,0.8,301.65,0,300.54,300.54,304.07,0,302.7,302.7,-0.4,0,0.3,0.7"
2022-10-13,"0.6,0.5,0.6,0.6,6.6,6.5,6.3,6.3,296.81,296.43,296.17,296.17,0.7,0,0.7,0.7,0.4,0.2,0.2,0.1,8.2,8.1,8.2,8.3,0.22,0,-0.04,-0.04,296.76,0,295.62,295.62,298.66,0,296.95,296.95,-0.1,0,0.2,-0.1"
2022-09-13,"0.6,0.3,0.3,0.3,6.3,6.1,5.9,5.9,296.17,295.53,296.28,296.28,0.7,0,0.5,0.5,0.1,-0.1,0.0,0.0,8.3,8.1,8.5,8.5,-0.04,0,-0.01,-0.01,295.62,0,295.27,295.27,296.95,0,295.28,295.28,-0.1,0,0.8,0.5"
2022-08-10,"0.3,0.5,0.7,0.7,5.9,6.1,5.9,5.9,296.28,296.67,296.31,296.31,0.5,0,0.7,0.7,0.0,0.2,1.3,1.3,8.5,8.7,9.1,9.1,-0.01,0,1.37,1.37,295.27,0,295.33,295.33,295.28,0,294.35,294.35,0.5,0,-0.9,-1.0"
2022-07-13,"0.7,0.6,0.6,0.6,5.9,5.7,6.0,6.0,296.31,295.67,292.3,292.3,0.7,0,0.6,0.6,1.3,1.1,1.0,1.0,9.1,8.8,8.6,8.6,1.37,0,1.1,1.1,295.33,0,291.47,291.47,294.35,0,292.29,292.29,-1.0,0,-0.9,-0.7"
