date,feature
2023-08-24,"0,0.2,0.6,0.6,0,0,6.0,6.0,0,-4.0,4.7,4.7,0,0.1,0.2,0.2"
2023-07-27,"0.6,0.0,0.6,0.6,6.2,0.0,3.2,3.0,4.7,1.0,2.0,1.7,0.2,-0.1,0.5,0.7"
2023-06-27,"0.6,-0.1,-0.6,-0.2,3.0,0,-0.5,-0.7,1.7,-1.0,1.2,1.1,0.7,0.0,0.6,1.4"
2023-05-26,"-0.2,0.0,0.3,0.3,-0.6,0,3.2,3.4,1.1,-1.0,3.3,3.2,1.4,-0.5,-0.6,-0.4"
2023-04-26,"0.3,-0.2,-0.3,0.0,3.5,0,-0.8,-0.5,3.2,0.7,-1.2,-1.0,-0.4,-0.1,-0.7,0.2"
2023-03-24,"0.0,0.2,0.4,0.7,-0.5,0,-5.6,-5.1,-1.0,0.6,-5.0,-4.5,0.2,0.1,0.3,0.8"
2023-02-27,"0.7,0.1,-0.4,-0.1,-5.1,0,5.6,6.2,-4.5,-4.0,5.1,5.6,0.8,0,-0.3,-0.2"
2023-01-26,"-0.1,-0.2,0.1,0.2,6.3,0,-2.3,-2.7,5.6,2.5,-1.7,-2.1,-0.2,-0.2,0.1,0.2"
2022-12-23,"0.2,0.1,0.1,0.5,-2.6,0,0.4,0.9,-2.1,-0.6,0.7,1.0,0.2,0,0.3,0.7"
2022-11-23,"0.5,0.1,-0.9,-0.5,0.8,0,1.4,1.5,1.0,0.4,0.3,0.4,0.7,0.3,-0.8,-0.7"
2022-10-27,"-0.5,0.2,0.3,0.2,1.4,0,-0.3,-0.8,0.4,0.6,0.2,-0.2,-0.7,0.5,0.8,1.3"
2022-09-27,"0.2,0.2,0.2,0.3,-0.9,0,0.9,1.1,-0.2,-0.4,-0.1,0.0,1.3,0.2,0.7,0.4"
2022-08-24,"0.3,0.2,0.3,0.3,1.2,0,0.7,0.5,0.0,0.6,2.0,1.9,0.4,0.3,0.9,0.5"
2022-07-27,"0.3,0.2,0.5,0.7,0.4,-0.5,0.7,0.7,1.9,-0.5,0.8,0.7,0.5,0.2,0.5,0.5"
2022-06-27,"0.7,0.3,0.2,0.3,0.6,0,0.2,0.3,0.7,0.1,0.4,0.4,0.5,0,0.3,0.3"
2022-05-25,"0.3,0.6,1.1,1.1,0.3,1.0,1.2,1.4,0.4,0.6,0.6,0.8,0.3,0.5,1.1,1.0"
2022-04-26,"1.1,0.6,-0.5,-0.6,1.2,0,-2.1,-2.6,0.8,1.0,-1.7,-2.2,1,0.5,-0.3,-0.3"
2022-03-24,"-0.6,0.6,0.8,0.7,-2.7,0.1,1.4,1.6,-2.2,-0.5,1.6,1.6,-0.3,0.5,1.3,0.9"
2022-02-25,"0.7,0.4,0.9,0.4,1.6,0.1,2.7,0.3,1.6,0.8,1.2,-0.9,0.9,0.5,0.4,0.0"
2022-01-27,"0.4,0.4,1.1,0.8,0.1,0,2.7,2.0,-0.9,-0.5,3.2,2.5,0,0.4,0.3,-0.1"
2021-12-23,"0.8,0.6,0.3,0.5,2.0,0,1.3,0.8,2.5,1.6,0.1,-0.5,-0.1,0.6,0.9,0.6"
2021-11-24,"0.5,0.5,0.7,0.4,0.8,0,-1.9,-1.9,-0.5,0.2,-0.4,-0.4,0.6,0.5,1.3,0.8"
2021-10-27,"0.4,0.4,0.3,0.2,-2.0,0,1.7,2.4,-0.4,-1.1,1.3,1.8,0.8,0.5,0.5,0.5"
2021-09-27,"0.2,0.5,0.8,0.7,2.4,0,-0.5,-1.1,1.8,0.7,0.5,-0.1,0.5,0.4,0.3,0.0"
2021-08-25,"0.7,0.5,0.6,0.3,-1.2,0,0.9,1.1,-0.1,-0.3,0.8,0.8,0,0.5,1.0,0.5"
2021-07-27,"0.3,0.8,0.5,0.3,1.0,0,2.8,1.7,0.8,2.1,3.2,2.3,0.5,0.7,0.5,-0.1"
2021-06-24,"0.3,0.8,1.7,1.0,1.7,0,0.5,0.0,2.3,2.8,-0.8,-1.3,-0.1,0.6,2.7,2.3"
2021-05-27,"1.0,0.8,3.2,1.6,0.0,0,2.2,0.8,-1.3,0.7,1.3,0.5,2.3,0.8,1.6,0.9"
