date,feature
2023-08-25,"0,2.9,3.0,3.0,0,77.4,76.6,76.6,0,67.3,68.3,68.3,0,71.1,71.6,71.6,0,3.3,3.4,3.4"
2023-08-11,"2.9,3.0,3.0,3.1,77.4,76.9,76.6,77.5,67.3,68.1,68.3,69.4,71.2,71.0,71.6,72.6,3.3,3.8,3.4,3.4"
2023-07-28,"3.0,3.1,3.0,3.0,76.6,77.5,69.0,69.0,68.3,69.4,61.5,61.5,71.6,72.6,64.4,64.4,3.4,3.4,3.3,3.3"
2023-07-14,"3.1,3.1,3.0,3.0,77.5,70.4,69.0,68.0,69.4,61.8,61.5,61.3,72.6,65.5,64.4,63.9,3.4,3.3,3.3,3.3"
2023-06-30,"3.0,3.0,3.1,3.1,69.0,68.0,64.9,64.9,61.5,61.3,55.4,55.4,64.4,63.9,59.2,59.2,3.3,3.3,4.2,4.2"
2023-06-16,"3.0,3.1,3.1,3.2,68.0,61.6,64.9,64.5,61.3,56.5,55.4,53.4,63.9,60.0,59.2,57.7,3.3,4.4,4.2,4.5"
2023-05-26,"3.1,3.2,3.0,3.0,64.9,64.5,68.2,68.2,55.4,53.4,60.5,60.5,59.2,57.9,63.5,63.5,4.2,4.5,4.6,4.6"
2023-05-12,"3.2,2.9,3.0,2.9,64.5,67.0,68.2,68.6,53.4,59.8,60.5,60.3,57.7,63.0,63.5,63.5,4.5,4.4,4.6,4.6"
2023-04-28,"3.0,0,2.9,2.9,68.2,66.0,68.6,66.3,60.5,61.8,60.3,59.2,63.5,63.5,63.5,62.0,4.6,0,4.6,3.6"
2023-04-14,"2.9,2.8,2.9,2.8,68.6,67.3,66.3,66.4,60.3,60.0,59.2,61.5,63.5,62.0,62.0,63.4,4.6,3.5,3.6,3.8"
2023-03-31,"2.9,2.8,2.9,2.9,66.3,66.4,70.7,70.7,59.2,61.5,64.7,64.7,62.0,63.2,63.4,67.0,3.6,3.8,4.1,4.1"
2023-02-24,"2.9,2.9,2.9,2.9,70.7,72.6,68.4,68.4,64.7,62.3,62.7,62.7,67.0,66.4,64.9,64.9,4.1,4.2,3.9,3.9"
2023-03-17,"2.8,0,2.9,2.9,66.4,70.0,70.7,72.6,61.5,64.5,64.7,62.3,63.4,66.9,67.0,66.4,3.8,0,4.1,4.2"
2023-02-10,"2.9,2.9,2.9,3.0,72.6,68.0,68.4,68.6,62.3,62.9,62.7,62.0,66.4,65.0,64.9,64.6,4.2,4.0,3.9,4.0"
2023-01-27,"2.9,3.0,2.9,2.9,68.4,68.6,59.4,59.4,62.7,62.0,59.9,59.9,64.9,64.6,59.7,59.7,3.9,4.4,4.0,4.4"
2023-01-13,"3.0,0,2.9,3.0,68.6,60.0,59.4,60.2,62.0,59.5,59.9,58.4,64.6,60.5,59.7,59.1,4.0,0,4.4,4.6"
2022-12-23,"2.9,0,3.0,3.0,59.4,0.0,60.2,58.8,59.9,0.0,58.4,55.6,59.7,59.1,59.1,56.8,4.4,0,4.6,4.9"
2022-12-09,"3.0,3.0,3.0,3.0,60.2,58.0,58.8,57.8,58.4,56.0,55.6,52.7,59.1,56.9,56.8,54.7,4.6,4.9,4.9,5.1"
2022-11-23,"3.0,3.0,2.9,2.7,58.8,57.8,65.6,59.7,55.6,52.7,56.2,58.0,56.8,55.0,54.7,58.6,4.9,5.1,5.0,4.7"
2022-11-11,"3.00,0,2.9,2.9,57.8,64.0,65.6,65.6,52.7,56.0,56.2,56.2,54.7,59.5,59.9,59.9,5.1,0,5.0,5.0"
2022-10-28,"2.90,0,2.9,2.9,65.6,65.3,65.3,65.3,56.2,0.0,56.2,56.2,59.9,59.8,59.8,59.8,5.0,0,5.1,5.1"
