date,feature
2018-09-21,"53.4,55.0,54.7,55.0,55.6,55.0,54.7,54.5,52.9,55.0,54.8,55.2"
2023-08-23,"0,52.0,52.0,52.0,0,49.3,49.0,49.0,0,52.3,52.3,52.4"
2018-08-23,"55.0,56.3,55.7,56.0,54.5,55.1,55.3,55.5,55.2,55.9,56.0,56.2"
2023-07-24,"52.0,53.1,53.2,53.0,49.0,46.4,46.3,46.3,52.4,54.0,54.4,54.1"
2018-06-22,"56.0,55.1,56.6,55.7,54.6,56.3,56.4,56.6,56.5,56.4,56.8,55.7"
2023-06-23,"53.0,54.4,54.3,54.5,46.3,48.5,48.4,48.5,54.1,54.0,54.9,55.1"
2018-05-23,"55.7,55.0,54.9,54.8,56.6,56.6,56.5,56.5,55.7,54.9,54.6,54.4"
2018-04-23,"54.8,55.3,54.2,55.9,56.5,55.2,55.6,55.7,54.4,54.3,54.0,54.1"
2018-02-21,"55.9,54.4,53.8,53.8,55.9,55.4,55.5,55.5,55.9,53.8,53.3,53.3"
2018-01-24,"53.8,53.5,54.1,55.7,55.5,55.2,55.1,55.0,53.3,54.5,53.7,52.4"
2017-10-24,"55.7,0,54.8,54.6,54.5,53.5,53.1,53.0,55.9,55.6,55.3,55.1"
2017-09-22,"54.6,0,55.3,53.7,53.0,53.0,52.8,52.5,55.1,55.9,56.0,56.9"
2013-10-01,"57.30,0,56.0,56.0,52.80,52.80,52.8,53.1,57.7,0,56.7,56.7"
2013-08-01,"56.80,0,55.8,55.8,53.70,53.10,53.2,51.9,57.2,0,56.3,56.3"
2013-07-01,"55.80,0,54.5,54.5,51.90,52.40,52.2,52.3,56.3,0,54.9,54.9"
2013-05-01,"53.80,0,53.8,53.8,52.10,52.10,52.0,54.6,53.8,0,53.2,53.2"
2013-04-01,"53.80,0,54.5,54.5,54.60,55.00,54.9,54.3,53.2,0,53.9,53.9"
2013-03-01,"54.50,0,53.8,53.8,54.30,55.20,55.2,55.8,53.9,0,53.1,53.1"
2013-02-01,"53.80,0,53.3,53.3,55.80,56.10,56.1,54.0,53.1,0,53.0,53.0"
2012-11-01,"52.50,0,50.7,50.7,51.00,51.50,51.3,51.1,52.7,0,50.7,50.7"
2012-10-01,"50.70,0,51.9,51.9,51.10,51.50,51.5,51.5,50.7,0,52.0,52.0"
2012-08-01,"51.30,0,53.2,0.0,51.40,51.90,51.8,52.5,51.2,0,53.2,0.0"
2023-05-23,"54.5,50.0,53.4,53.5,48.5,50.0,50.2,50.4,55.1,52.6,53.6,53.7"
2023-04-21,"53.5,52.8,52.3,53.3,50.4,49.0,49.2,49.3,53.7,51.5,52.6,53.8"
2023-03-24,"53.3,47.5,50.1,50.2,49.3,47.0,47.3,47.8,53.8,50.5,50.6,50.5"
2023-02-21,"50.2,47.5,46.8,46.6,47.8,47.1,46.9,46.8,50.5,47.2,46.8,46.6"
2023-01-24,"46.6,0,45.0,44.6,46.8,46.0,46.2,46.2,46.6,45.0,44.7,44.4"
2022-12-16,"44.6,47.0,46.4,46.3,46.2,47.7,47.7,47.6,44.4,46.8,46.2,46.1"
2022-11-23,"46.3,0,48.2,47.3,47.6,50.0,50.4,49.9,46.1,47.9,47.8,46.6"
2022-10-24,"47.3,49.3,49.5,49.3,49.9,51.0,52.0,51.8,46.6,49.2,49.3,49.2"
2022-09-23,"49.3,0,44.6,45.0,51.8,51.1,51.5,51.3,49.2,45.0,43.7,44.1"
2022-08-23,"45.0,49.0,47.7,47.5,51.3,52.0,52.2,52.3,44.1,49.2,47.3,47.0"
2022-07-22,"47.5,0,52.3,51.2,52.3,52.0,52.7,52.4,47.0,52.6,52.7,51.6"
2022-06-23,"51.2,0,53.6,53.8,52.4,56.0,57.0,57.5,51.6,53.5,53.4,53.5"
