date,feature
2023-08-11,"0.3,0.2,-0.1,0.1,2.4,2.3,2.4,2.4,2.7,0,2.7,2.6,0.2,0.1,0.1,0.1,0.3,0.2,0.0,0.1,0.8,0.7,0.2,0.1"
2023-07-13,"0.1,0.2,0.1,0.2,2.4,2.6,2.6,2.8,2.6,0,2.8,2.8,0.1,0,0.0,0.0,0.1,0.2,-0.4,-0.3,0.1,0.4,0.9,1.1"
2023-06-14,"0.2,0.2,0.2,0.2,2.8,2.9,3.1,3.2,2.8,0,3.3,3.4,0.0,0,0.1,0.2,-0.3,-0.1,0.2,0.2,1.1,1.5,2.3,2.3"
2023-05-11,"0.2,0.2,0.0,-0.1,3.2,3.3,3.4,3.4,3.4,0,3.7,3.6,0.2,0,0.1,0.1,0.2,0.3,-0.4,-0.5,2.3,2.4,2.7,2.7"
2023-04-13,"-0.1,0.3,0.2,0.0,3.4,3.4,4.8,4.4,3.6,3.1,4.5,4.4,0.1,0.1,0.2,0.2,-0.5,0.1,0.0,-0.1,2.7,3.0,4.9,4.6"
2023-03-15,"0.0,0.4,0.1,0.5,4.4,5.2,5.0,5.4,4.4,0,4.4,4.5,0.2,0,0.5,0.6,-0.1,0.3,0.3,0.7,4.6,5.4,5.7,6.0"
2023-02-16,"0.5,0.3,0.3,0.1,5.4,4.9,5.8,5.5,4.5,0,4.7,4.6,0.6,0,0.2,0.1,0.7,0.4,-0.2,-0.5,6.0,5.4,6.5,6.2"
2023-01-18,"0.1,0.1,0.2,0.4,5.5,5.7,6.2,6.2,4.6,0,4.9,4.9,0.1,0,0.3,0.3,-0.5,-0.1,0.2,0.3,6.2,6.8,7.3,7.4"
2022-12-09,"0.4,0.2,0.1,0.0,6.2,5.9,6.8,6.7,4.9,0,5.4,5.4,0.3,0,0.2,0.2,0.3,0.2,0.3,0.2,7.4,7.2,8.1,8.0"
2022-11-15,"0.0,0.3,0.2,0.3,6.7,7.2,7.1,7.2,5.4,0,5.6,5.6,0.2,0,0.3,0.4,0.2,0.4,0.2,0.4,8.0,8.3,8.4,8.5"
2022-10-12,"0.3,0.3,0.3,0.4,7.2,7.3,7.2,7.3,5.6,0,5.6,5.6,0.4,0,0.2,0.2,0.4,0.2,-0.2,-0.1,8.5,8.4,8.7,8.7"
2022-09-14,"0.4,0.3,0.3,0.2,7.3,7.1,7.7,7.6,5.6,0,5.8,5.8,0.2,0,0.1,0.2,-0.1,-0.1,-0.4,-0.5,8.7,8.8,9.8,9.8"
2022-08-11,"0.2,0.4,0.4,0.4,7.6,7.6,8.4,8.2,5.8,0,6.4,0.0,0.2,0,0.3,0.0,-0.5,0.2,1.0,1.1,9.8,10.4,11.3,11.3"
