datetime,FED_RATE_Actual,FED_RATE_Srv_Med,FED_RATE_Revised,FED_RATE_Prior
2023-12-14 02:00:00,None,None,None,None
2023-11-02 02:00:00,None,None,None,None
2023-09-21 02:00:00,None,None,5.50,5.50
2023-07-27 02:00:00,5.50,5.50,5.25,5.25
2023-06-15 02:00:00,5.25,5.25,5.25,5.25
2023-05-04 02:00:00,5.25,5.25,5.00,5
2023-03-23 02:00:00,5,5,4.75,4.75
2023-02-02 03:00:00,4.75,4.75,4.5,4.5
2022-12-15 03:00:00,4.5,4.5,4,4
2022-11-03 02:00:00,4,4,3.25,3.25
2022-09-22 02:00:00,3.25,3.25,2.5,2.5
2022-07-28 02:00:00,2.5,2.5,1.75,1.75
2022-06-16 02:00:00,1.75,1.5,1,1
2022-05-05 02:00:00,1,1,0.5,0.5
2022-03-17 02:00:00,0.5,0.5,0.25,0.25
2022-01-27 03:00:00,0.25,0.25,0.25,0.25
2021-12-16 03:00:00,0.25,0.25,0.25,0.25
2021-11-04 02:00:00,0.25,0.25,0.25,0.25
2021-09-23 02:00:00,0.25,0.25,0.25,0.25
2021-07-29 02:00:00,0.25,0.25,0.25,0.25
2021-06-17 02:00:00,0.25,0.25,0.25,0.25
2021-04-29 02:00:00,0.25,0.25,0.25,0.25
2021-03-18 02:00:00,0.25,0.25,0.25,0.25
2021-01-28 03:00:00,0.25,0.25,0.25,0.25
2020-12-17 03:00:00,0.25,0.25,0.25,0.25
2020-11-06 03:00:00,0.25,0.25,0.25,0.25
2020-09-17 02:00:00,0.25,0.25,0.25,0.25
2020-07-30 02:00:00,0.25,0.25,0.25,0.25
2020-06-11 02:00:00,0.25,0.25,0.25,0.25
2020-04-30 02:00:00,0.25,0.25,0.25,0.25
2020-03-16 05:00:00,0.25,,1.25,1.25
2020-03-03 23:00:00,1.25,,1.75,1.75
2020-01-30 03:00:00,1.75,1.75,1.75,1.75
2019-12-12 03:00:00,1.75,1.75,1.75,1.75
2019-10-31 02:00:00,1.75,1.75,2,2
2019-09-19 02:00:00,2,2,2.25,2.25
2019-08-01 02:00:00,2.25,2.25,2.5,2.5
2019-06-20 02:00:00,2.5,2.5,2.5,2.5
2019-05-02 02:00:00,2.5,2.5,2.5,2.5
2019-03-21 02:00:00,2.5,2.5,2.5,2.5
2019-01-31 03:00:00,2.5,2.5,2.5,2.5
2018-12-20 03:00:00,2.5,2.5,2.25,2.25
2018-11-09 03:00:00,2.25,2.25,2.25,2.25
2018-09-27 02:00:00,2.25,2.25,2,2
2018-08-02 02:00:00,2,2,2,2
2018-06-14 02:00:00,2,2,1.75,1.75
2018-05-03 02:00:00,1.75,1.75,1.75,1.75
2018-03-22 02:00:00,1.75,1.75,1.5,1.5
2018-02-01 03:00:00,1.5,1.5,1.5,1.5
2017-12-14 03:00:00,1.5,1.5,1.25,1.25
2017-11-02 02:00:00,1.25,1.25,1.25,1.25
2017-09-21 02:00:00,1.25,1.25,1.25,1.25
2017-07-27 02:00:00,1.25,1.25,1.25,1.25
2017-06-15 02:00:00,1.25,1.25,1,1
2017-05-04 02:00:00,1,1,1,1
2017-03-16 02:00:00,1,1,0.75,0.75
2017-02-02 03:00:00,0.75,0.75,0.75,0.75
2016-12-15 03:00:00,0.75,0.75,0.5,0.5
2016-11-03 02:00:00,0.5,0.5,0.5,0.5
2016-09-22 02:00:00,0.5,0.5,0.5,0.5
2016-07-28 02:00:00,0.5,0.5,0.5,0.5
2016-06-16 02:00:00,0.5,0.5,0.5,0.5
2016-04-28 02:00:00,0.5,0.5,0.5,0.5
2016-03-17 02:00:00,0.5,0.5,0.5,0.5
2016-01-28 03:00:00,0.5,0.5,0.5,0.5
2015-12-17 03:00:00,0.5,0.5,0.25,0.25
2015-10-29 02:00:00,0.25,0.25,0.25,0.25
2015-09-18 02:00:00,0.25,0.25,0.25,0.25
2015-07-30 02:00:00,0.25,0.25,0.25,0.25
2015-06-18 02:00:00,0.25,0.25,0.25,0.25
2015-04-30 02:00:00,0.25,0.25,0.25,0.25
2015-03-19 02:00:00,0.25,0.25,0.25,0.25
2015-01-29 03:00:00,0.25,0.25,0.25,0.25
