datetime,US_FFR_C_Actual,US_FFR_C_Srv_Med,US_FFR_C_Revised,US_FFR_C_Prior,Is_P
2023-06-15 02:00:00,5.6,None,5.1,5.1,
2023-03-23 02:00:00,5.1,None,4.4,4.4,
2022-12-15 03:00:00,4.4,None,4.4,4.4,
2022-09-22 02:00:00,4.4,None,3.4,3.4,
2022-06-16 02:00:00,3.4,None,1.9,1.9,
2022-03-17 02:00:00,1.9,None,0.1,0.1,
2021-12-16 03:00:00,0.1,,0.1,0.1,
2021-09-23 02:00:00,0.1,,0.1,0.1,
2021-06-17 02:00:00,0.1,,0.1,0.1,
2021-03-18 02:00:00,0.1,,0.1,0.1,
2020-12-17 03:00:00,0.1,,0.1,0.1,
2020-09-17 02:00:00,0.1,,0.1,0.1,
2020-06-11 02:00:00,0.1,,1.6,1.6,
2019-12-12 03:00:00,1.6,,1.9,1.9,
2019-09-19 02:00:00,1.9,,2.4,,
