datetime,GE_MPMI_MoM_Actual,GE_MPMI_MoM_Srv_Med,GE_MPMI_MoM_Revised,GE_MPMI_MoM_Prior,Is_P
2023-09-01 15:55:00,None,None,39.1,38.8,0
2023-08-23 15:30:00,39.1,38.7,38.8,38.8,1
2023-08-01 15:55:00,38.8,38.8,40.6,40.6,0
2023-07-24 15:30:00,38.8,41.0,40.6,41.0,1
2023-07-03 15:55:00,40.6,41.0,43.2,43.2,0
2023-06-23 15:30:00,41.0,43.5,43.2,42.9,1
2023-06-01 15:55:00,43.2,42.9,44.5,44.5,0
2023-05-23 15:30:00,42.9,45.0,44.5,44.0,1
2023-05-02 15:55:00,44.5,44.0,44.7,44.7,0
2023-04-21 15:30:00,44.0,45.7,44.7,44.4,1
2023-04-03 15:55:00,44.7,44.4,46.3,,0
2023-03-24 16:30:00,44.4,47.0,46.3,,1
