datetime,US_GON_PRL_Actual,US_GON_PRL_Srv_Med,US_GON_PRL_Revised,US_GON_PRL_Prior
2023-09-01 20:30:00,None,None,15.0,15.0
2023-08-04 20:30:00,15.0,None,57.0,60.0
2023-07-07 20:30:00,60.0,7.0,47.0,56.0
2023-06-02 20:30:00,56.0,None,41.0,23.0
2023-05-05 20:30:00,23.0,-8.0,42.0,47.0
2023-04-07 20:30:00,47.0,2.0,60.0,46.0
2023-03-10 21:30:00,46.0,,118.0,74.0
2023-02-03 21:30:00,74.0,,-9.0,3.0
2023-01-06 21:30:00,3.0,,54.0,42.0
2022-12-02 21:30:00,42.0,,36.0,28.0
2022-11-04 20:30:00,28.0,,-4.0,-25.0
2022-10-07 20:30:00,-25.0,,40.0,7.0
2022-09-02 20:30:00,7.0,,49.0,57.0
2022-08-05 20:30:00,57.0,,-6.0,-9.0
2022-07-08 20:30:00,-9.0,,48.0,57.0
2022-06-03 20:30:00,57.0,,31.0,22.0
2022-05-06 20:30:00,22.0,,4.0,5.0
2022-04-01 20:30:00,5.0,,11.0,24.0
2022-03-04 21:30:00,24.0,,33.0,23.0
2022-02-04 21:30:00,23.0,,7.0,-12.0
2022-01-07 21:30:00,-12.0,,-21.0,-25.0
2021-12-03 21:30:00,-25.0,,-82.0,-73.0
2021-11-05 20:30:00,-73.0,,-53.0,-123.0
2021-10-08 20:30:00,-123.0,,34.0,-8.0
2021-09-03 20:30:00,-8.0,,255.0,240.0
2021-08-06 20:30:00,240.0,,169.0,188.0
2021-07-02 20:30:00,188.0,,67.0,67.0
2021-06-04 20:30:00,67.0,,59.0,48.0
2021-05-07 20:30:00,48.0,,62.0,136.0
2021-04-02 20:30:00,136.0,,-90.0,-86.0
2021-03-05 21:30:00,-86.0,,76.0,43.0
2021-02-05 21:30:00,43.0,,-23.0,-45.0
2021-01-08 21:30:00,-45.0,,-81.0,-99.0
2020-12-04 21:30:00,-99.0,,-267.0,-268.0
2020-11-06 21:30:00,-268.0,,-220.0,-216.0
2020-10-02 20:30:00,-216.0,,467.0,344.0
2020-09-04 20:30:00,344.0,,253.0,301.0
2020-08-07 20:30:00,301.0,,54.0,33.0
2020-07-02 20:30:00,33.0,,-533.0,-585.0
2020-06-05 20:30:00,-585.0,,-963.0,-980.0
2020-05-08 20:30:00,-980.0,,-28.0,12.0
2020-04-03 20:30:00,12.0,,33.0,45.0
2020-03-06 21:30:00,45.0,,51.0,19.0
2020-02-07 21:30:00,19.0,,5.0,6.0
2020-01-10 21:30:00,6.0,,13.0,12.0
2019-12-06 21:30:00,12.0,,-7.0,-3.0
2019-11-01 20:30:00,-3.0,,13.0,22.0
2019-10-04 20:30:00,22.0,,46.0,34.0
2019-09-06 20:30:00,34.0,,28.0,16.0
2019-08-02 20:30:00,16.0,,14.0,33.0
2019-07-05 20:30:00,33.0,,-11.0,-15.0
2019-06-07 20:30:00,-15.0,,19.0,27.0
2019-05-03 20:30:00,27.0,,10.0,14.0
2019-04-05 20:30:00,14.0,,5.0,-5.0
2019-03-08 21:30:00,-5.0,,3.0,8.0
2019-02-01 21:30:00,8.0,,16.0,11.0
2019-01-04 21:30:00,11.0,,3.0,-6.0
2018-12-07 21:30:00,-6.0,,-14.0,4.0
2018-11-02 20:30:00,4.0,,-3.0,13.0
2018-10-05 20:30:00,13.0,,16.0,-3.0
2018-09-07 20:30:00,-3.0,,-6.0,-13.0
2018-08-03 20:30:00,-13.0,,14.0,11.0
2018-07-06 20:30:00,11.0,,5.0,5.0
2018-06-01 20:30:00,5.0,,-3.0,-4.0
2018-05-04 20:30:00,-4.0,,1.0,1.0
2018-04-06 20:30:00,1.0,,6.0,26.0
2018-03-09 21:30:00,26.0,,1.0,4.0
2018-02-02 21:30:00,4.0,,-6.0,2.0
2018-01-05 21:30:00,2.0,5.0,13.0,7.0
2017-12-08 21:30:00,7.0,5.0,-3.0,9.0
2017-11-03 20:30:00,9.0,,3.0,7.0
2017-10-06 20:30:00,7.0,,5.0,-9.0
2017-09-01 20:30:00,-9.0,,-13.0,4.0
2017-08-04 20:30:00,4.0,,37.0,35.0
2017-07-07 20:30:00,35.0,,-7.0,-9.0
2017-06-02 20:30:00,-9.0,,1.0,17.0
2017-05-05 20:30:00,17.0,,2.0,9.0
2017-04-07 20:30:00,9.0,,-2.0,8.0
2017-03-10 21:30:00,8.0,,17.0,-10.0
2017-02-03 21:30:00,-10.0,,-8.0,12.0
2017-01-06 21:30:00,12.0,7.0,6.0,22.0
2016-12-02 21:30:00,22.0,,7.0,19.0
2016-11-04 20:30:00,19.0,,3.0,-11.0
2016-10-07 20:30:00,-11.0,,23.0,25.0
2016-09-02 20:30:00,25.0,,50.0,38.0
2016-08-05 20:30:00,38.0,,33.0,22.0
2016-07-08 20:30:00,22.0,,17.0,13.0
2016-06-03 20:30:00,13.0,,-7.0,-11.0
2016-05-06 20:30:00,-11.0,,24.0,20.0
2016-04-01 20:30:00,20.0,,9.0,12.0
2016-03-04 21:30:00,12.0,,-10.0,-7.0
2016-02-05 21:30:00,-7.0,,11.0,17.0
2016-01-08 21:30:00,17.0,,12.0,14.0
2015-12-04 21:30:00,14.0,,-6.0,3.0
2015-11-06 21:30:00,3.0,,-12.0,24.0
2015-10-02 20:30:00,24.0,,36.0,33.0
2015-09-04 20:30:00,33.0,,21.0,5.0
2015-08-07 20:30:00,5.0,,4.0,0.0
2015-07-02 20:30:00,0.0,,4.0,18.0
2015-06-05 20:30:00,18.0,,15.0,10.0
2015-05-08 20:30:00,10.0,,-9.0,-3.0
2015-04-03 20:30:00,-3.0,,7.0,7.0
2015-03-06 21:30:00,7.0,,2.0,-10.0
2015-02-06 21:30:00,-10.0,,9.0,12.0
2015-01-09 21:30:00,12.0,,8.0,7.0
2014-12-05 21:30:00,7.0,,7.0,5.0
2014-11-07 21:30:00,5.0,,12.0,12.0
2014-10-03 20:30:00,12.0,,5.0,4.0
2014-09-01 17:00:00,4.0,,6.0,6.0
2014-08-01 17:00:00,6.0,,14.0,14.0
2014-07-01 17:00:00,14.0,,-2.0,-2.0
2014-06-01 17:00:00,-2.0,,17.0,17.0
2014-05-01 17:00:00,17.0,,2.0,2.0
2014-04-01 17:00:00,2.0,,13.0,13.0
2014-03-01 17:00:00,13.0,,-17.0,-17.0
2014-02-01 17:00:00,-17.0,,-15.0,-15.0
2014-01-01 17:00:00,-15.0,,14.0,14.0
2013-12-01 17:00:00,14.0,,-10.0,-10.0
2013-11-01 17:00:00,-10.0,,-18.0,-18.0
2013-10-01 17:00:00,-18.0,,43.0,43.0
2013-09-01 17:00:00,43.0,,2.0,2.0
2013-08-01 17:00:00,2.0,,-45.0,-45.0
2013-07-01 17:00:00,-45.0,,-6.0,-6.0
2013-06-01 17:00:00,-6.0,,-7.0,-7.0
2013-05-01 17:00:00,-7.0,,-24.0,-24.0
2013-04-01 17:00:00,-24.0,,17.0,17.0
2013-03-01 17:00:00,17.0,,-15.0,-15.0
2013-02-01 17:00:00,-15.0,,18.0,18.0
2013-01-01 17:00:00,18.0,,-22.0,-22.0
2012-12-01 17:00:00,-22.0,,-27.0,-27.0
2012-11-01 17:00:00,-27.0,,-20.0,-20.0
2012-10-01 17:00:00,-20.0,,28.0,28.0
2012-09-01 17:00:00,28.0,,23.0,23.0
2012-08-01 17:00:00,23.0,,-21.0,-21.0
2012-07-01 17:00:00,-21.0,,-9.0,-9.0
2012-06-01 17:00:00,-9.0,,-23.0,-23.0
2012-05-01 17:00:00,-23.0,,-2.0,-2.0
2012-04-01 17:00:00,-2.0,,-2.0,-2.0
2012-03-01 17:00:00,-2.0,,-1.0,-1.0
2012-02-01 17:00:00,-1.0,,-20.0,-20.0
2012-01-01 17:00:00,-20.0,,-28.0,-28.0
2011-12-01 17:00:00,-28.0,,17.0,17.0
2011-11-01 17:00:00,17.0,,-64.0,-64.0
2011-10-01 17:00:00,-64.0,,-9.0,-9.0
2011-09-01 17:00:00,-9.0,,-73.0,-73.0
2011-08-01 17:00:00,-73.0,,-1.0,-1.0
2011-07-01 17:00:00,-1.0,,-57.0,-57.0
2011-06-01 17:00:00,-57.0,,-9.0,-9.0
2011-05-01 17:00:00,-9.0,,-19.0,-19.0
2011-04-01 17:00:00,-19.0,,-51.0,-51.0
2011-03-01 17:00:00,-51.0,,-2.0,-2.0
2011-02-01 17:00:00,-2.0,,-21.0,-21.0
2011-01-01 17:00:00,-21.0,,-10.0,-10.0
2010-12-01 17:00:00,-10.0,,50.0,50.0
2010-11-01 17:00:00,50.0,,-173.0,-173.0
2010-10-01 17:00:00,-173.0,,-149.0,-149.0
2010-09-01 17:00:00,-149.0,,-171.0,-171.0
2010-08-01 17:00:00,-171.0,,-256.0,-256.0
