datetime,US_U6_UER_Actual,US_U6_UER_Srv_Med,US_U6_UER_Revised,US_U6_UER_Prior
2023-09-01 20:30:00,None,None,6.7,6.7
2023-08-04 20:30:00,6.7,6.8,6.9,6.9
2023-07-07 20:30:00,6.9,6.6,6.7,6.7
2023-06-02 20:30:00,6.7,6.6,6.6,6.6
2023-05-05 20:30:00,6.6,6.7,6.7,6.7
2023-04-07 20:30:00,6.7,6.7,6.8,6.8
2023-03-10 21:30:00,6.8,,6.6,6.6
2023-02-03 21:30:00,6.6,,6.5,6.5
2023-01-06 21:30:00,6.5,,6.7,6.7
2022-12-02 21:30:00,6.7,,6.8,6.8
2022-11-04 20:30:00,6.8,,6.7,6.7
2022-10-07 20:30:00,6.7,,7.0,7.0
2022-09-02 20:30:00,7.0,,6.7,6.7
2022-08-05 20:30:00,6.7,,6.7,6.7
2022-07-08 20:30:00,6.7,,7.1,7.1
2022-06-03 20:30:00,7.1,,7.0,7.0
2022-05-06 20:30:00,7.0,,6.9,6.9
2022-04-01 20:30:00,6.9,,7.2,7.2
2022-03-04 21:30:00,7.2,,7.1,7.1
2022-02-04 21:30:00,7.1,,7.3,7.3
2022-01-07 21:30:00,7.3,,7.7,7.8
2021-12-03 21:30:00,7.8,,8.3,8.3
2021-11-05 20:30:00,8.3,,8.5,8.5
2021-10-08 20:30:00,8.5,,8.8,8.8
2021-09-03 20:30:00,8.8,,9.2,9.2
2021-08-06 20:30:00,9.2,,9.8,9.8
2021-07-02 20:30:00,9.8,,10.2,10.2
2021-06-04 20:30:00,10.2,,10.4,10.4
2021-05-07 20:30:00,10.4,,10.7,10.7
2021-04-02 20:30:00,10.7,,11.1,11.1
2021-03-05 21:30:00,11.1,,11.1,11.1
2021-02-05 21:30:00,11.1,,11.7,11.7
2021-01-08 21:30:00,11.7,,12.0,12.0
2020-12-04 21:30:00,12.0,,12.1,12.1
2020-11-06 21:30:00,12.1,,12.8,12.8
2020-10-02 20:30:00,12.8,,14.2,14.2
2020-09-04 20:30:00,14.2,,16.5,16.5
2020-08-07 20:30:00,16.5,,18.0,18.0
2020-07-02 20:30:00,18.0,,21.2,21.2
2020-06-05 20:30:00,21.2,,22.8,22.8
2020-05-08 20:30:00,22.8,,8.7,8.7
2020-04-03 20:30:00,8.7,,7.0,7.0
