datetime,UK_CCPI_YoY_Actual,UK_CCPI_YoY_Srv_Med,UK_CCPI_YoY_Revised,UK_CCPI_YoY_Prior
2023-08-16 14:00:00,6.9,6.8,6.9,6.9
2023-07-19 14:00:00,6.9,7.1,7.1,7.1
2023-06-21 14:00:00,7.1,6.8,6.8,6.8
2023-05-24 14:00:00,6.8,6.2,6.2,6.2
2023-04-19 14:00:00,6.2,6.0,6.2,6.2
2023-03-22 15:00:00,6.2,5.7,5.8,5.8
2023-02-15 15:00:00,5.8,6.2,6.3,6.3
2023-01-18 15:00:00,6.3,6.2,6.3,6.3
2022-12-14 15:00:00,6.3,6.5,6.5,6.5
2022-11-16 15:00:00,6.5,6.4,6.5,6.5
2022-10-19 14:00:00,6.5,6.4,6.3,6.3
2022-09-14 14:00:00,6.3,6.3,6.2,6.2
2022-08-17 14:00:00,6.2,5.9,5.8,5.8
2022-07-20 14:00:00,5.8,5.8,5.9,5.9
2022-06-22 14:00:00,5.9,6.0,6.2,6.2
2022-05-18 14:00:00,6.2,6.2,5.7,5.7
2022-04-13 14:00:00,5.7,5.4,5.2,5.2
2022-03-23 15:00:00,5.2,5.0,4.4,4.4
2022-02-16 15:00:00,4.4,4.3,4.2,4.2
2022-01-19 15:00:00,4.2,3.9,4.0,4.0
2021-12-15 15:00:00,4.0,3.7,3.4,3.4
2021-11-17 15:00:00,3.4,3.1,2.9,2.9
2021-10-20 14:00:00,2.9,3.0,3.1,3.1
2021-09-15 14:00:00,3.1,2.9,1.9,1.9
2021-08-18 14:00:00,1.9,2.2,2.3,2.3
2021-07-14 14:00:00,2.3,2.0,2.0,2.0
2021-06-16 14:00:00,2.0,1.5,1.3,1.3
2021-05-19 14:00:00,1.3,1.3,1.1,1.1
2021-04-21 14:00:00,1.1,1.1,0.9,0.9
2021-03-24 15:00:00,0.9,1.4,1.4,1.4
2021-02-17 15:00:00,1.4,1.3,1.4,1.4
2021-01-20 15:00:00,1.4,1.3,1.1,1.1
2020-12-16 15:00:00,1.1,1.4,1.5,1.5
2020-11-18 15:00:00,1.5,1.3,1.3,1.3
2020-10-21 14:00:00,1.3,1.3,0.9,0.9
2020-09-16 14:00:00,0.9,0.6,1.8,1.8
2020-08-19 14:00:00,1.8,1.3,1.4,1.4
2020-07-15 14:00:00,1.4,1.2,1.2,1.2
2020-06-17 14:00:00,1.2,1.3,1.4,1.4
2020-05-20 14:00:00,1.4,1.5,1.6,1.6
2020-04-22 14:00:00,1.6,1.6,1.7,1.7
2020-03-25 15:00:00,1.7,1.5,1.6,1.6
2020-02-19 17:30:00,1.6,1.5,1.4,1.4
2020-01-15 17:30:00,1.4,1.7,1.7,1.7
2019-12-18 17:30:00,1.7,1.7,1.7,1.7
2019-11-13 17:30:00,1.7,1.7,1.7,1.7
2019-10-16 16:30:00,1.7,1.7,1.5,1.5
2019-09-18 16:30:00,1.5,1.8,1.9,1.9
2019-08-14 16:30:00,1.9,1.8,1.8,1.8
2019-07-17 16:30:00,1.8,1.8,1.7,1.7
2019-06-19 16:30:00,1.7,1.6,1.8,1.8
2019-05-22 16:30:00,1.8,1.9,1.8,1.8
2019-04-17 16:30:00,1.8,1.9,1.8,1.8
2019-03-20 17:30:00,1.8,1.9,1.9,1.9
2019-02-13 17:30:00,1.9,1.9,1.9,1.9
2019-01-16 17:30:00,1.9,1.8,1.8,1.8
2018-12-19 17:30:00,1.8,1.8,1.9,1.9
2018-11-14 17:30:00,1.9,1.9,1.9,1.9
2018-10-17 16:30:00,1.9,2.0,2.1,2.1
2018-09-19 16:30:00,2.1,1.8,1.9,1.9
2018-08-15 16:30:00,1.9,1.9,1.9,1.9
2018-07-18 16:30:00,1.9,2.2,2.1,2.1
2018-06-13 16:30:00,2.1,2.1,2.1,2.1
2018-05-23 16:30:00,2.1,2.2,2.3,2.3
2018-04-18 16:30:00,2.3,2.5,2.4,2.4
2018-03-20 17:30:00,2.4,2.5,2.7,2.7
2018-02-13 17:30:00,2.7,2.6,2.5,2.5
2018-01-16 17:30:00,2.5,2.6,2.7,2.7
2017-12-12 17:30:00,2.7,2.7,2.7,2.7
2017-11-14 17:30:00,2.7,2.8,2.7,2.7
2017-10-17 16:30:00,2.7,2.7,2.7,2.7
2017-09-12 16:30:00,2.7,2.5,2.4,2.4
2017-08-15 16:30:00,2.4,2.5,2.4,2.4
2017-07-18 16:30:00,2.4,2.6,2.6,2.6
2017-06-13 16:30:00,2.6,2.4,2.4,2.4
2017-05-16 16:30:00,2.4,2.2,1.8,1.8
2017-04-11 16:30:00,1.8,1.9,2.0,2.0
2017-03-21 17:30:00,2.0,1.8,1.6,1.6
2017-02-14 17:30:00,1.6,1.8,1.6,1.6
2017-01-17 17:30:00,1.6,1.5,1.4,1.4
2016-12-13 17:30:00,1.4,1.3,1.2,1.2
2016-11-15 17:30:00,1.2,1.4,1.5,1.5
2016-10-18 16:30:00,1.5,1.4,1.3,1.3
2016-09-13 16:30:00,1.3,1.4,1.3,1.3
2016-08-16 16:30:00,1.3,1.3,1.4,1.4
2016-07-19 16:30:00,1.4,1.3,1.2,1.2
2016-06-14 16:30:00,1.2,1.3,1.2,1.2
2016-05-17 16:30:00,1.2,1.5,1.5,1.5
2016-04-12 16:30:00,1.5,1.3,1.2,1.2
2016-03-22 17:30:00,1.2,1.2,1.2,1.2
