datetime,UK_CPI_MoM_Actual,UK_CPI_MoM_Srv_Med,UK_CPI_MoM_Revised,UK_CPI_MoM_Prior
2023-08-16 14:00:00,-0.4,-0.5,0.1,0.1
2023-07-19 14:00:00,0.1,0.4,0.7,0.7
2023-06-21 14:00:00,0.7,0.5,1.2,1.2
2023-05-24 14:00:00,1.2,0.8,0.8,0.8
2023-04-19 14:00:00,0.8,0.5,1.1,1.1
2023-03-22 15:00:00,1.1,0.6,-0.6,-0.6
2023-02-15 15:00:00,-0.6,-0.4,0.4,0.4
2023-01-18 15:00:00,0.4,0.4,0.4,0.4
2022-12-14 15:00:00,0.4,0.6,2.0,2.0
2022-11-16 15:00:00,2.0,1.7,0.5,0.5
2022-10-19 14:00:00,0.5,0.4,0.5,0.5
2022-09-14 14:00:00,0.5,0.6,0.6,0.6
2022-08-17 14:00:00,0.6,0.4,0.8,0.8
2022-07-20 14:00:00,0.8,0.7,0.7,0.7
2022-06-22 14:00:00,0.7,0.6,2.5,2.5
2022-05-18 14:00:00,2.5,2.6,1.1,1.1
2022-04-13 14:00:00,1.1,0.7,0.8,0.8
2022-03-23 15:00:00,0.8,0.6,-0.1,-0.1
2022-02-16 15:00:00,-0.1,-0.2,0.5,0.5
2022-01-19 15:00:00,0.5,0.3,0.7,0.7
2021-12-15 15:00:00,0.7,0.4,1.1,1.1
2021-11-17 15:00:00,1.1,0.8,0.3,0.3
2021-10-20 14:00:00,0.3,0.4,0.7,0.7
2021-09-15 14:00:00,0.7,0.5,0.5,0.0
2021-08-18 14:00:00,0.0,0.3,0.5,0.5
2021-07-14 14:00:00,0.5,0.2,0.6,0.6
2021-06-16 14:00:00,0.6,0.3,0.6,0.6
2021-05-19 14:00:00,0.6,0.6,0.3,0.3
2021-04-21 14:00:00,0.3,0.3,0.1,0.1
2021-03-24 15:00:00,0.1,0.5,-0.2,-0.2
2021-02-17 15:00:00,-0.2,-0.4,0.3,0.3
2021-01-20 15:00:00,0.3,0.2,-0.1,-0.1
2020-12-16 15:00:00,-0.1,0.1,0.0,0.0
2020-11-18 15:00:00,0.0,-0.1,0.4,0.4
2020-10-21 14:00:00,0.4,0.5,-0.4,-0.4
2020-09-16 14:00:00,-0.4,-0.6,0.4,0.4
2020-08-19 14:00:00,0.4,-0.1,0.1,0.1
2020-07-15 14:00:00,0.1,-0.2,0.0,0.0
2020-06-17 14:00:00,0.0,-0.1,-0.2,-0.2
2020-05-20 14:00:00,-0.2,-0.1,0.0,0.0
2020-04-22 14:00:00,0.0,0.3,0.4,0.4
2020-03-25 15:00:00,0.4,0.3,-0.3,-0.3
2020-02-19 17:30:00,-0.3,-0.4,0.0,0.0
2020-01-15 17:30:00,0.0,0.2,0.2,0.2
2019-12-18 17:30:00,0.2,0.2,-0.2,-0.2
2019-11-13 17:30:00,-0.2,-0.1,0.1,0.1
2019-10-16 16:30:00,0.1,0.2,0.4,0.4
2019-09-18 16:30:00,0.4,0.5,0.0,0.0
2019-08-14 16:30:00,0.0,-0.1,0.3,0.0
2019-07-17 16:30:00,0.0,0.3,0.3,0.3
2019-06-19 16:30:00,0.3,0.3,0.6,0.6
2019-05-22 16:30:00,0.6,0.7,0.2,0.2
2019-04-17 16:30:00,0.2,0.3,0.5,0.5
2019-03-20 17:30:00,0.5,0.5,-0.8,-0.8
2019-02-13 17:30:00,-0.8,-0.7,0.2,0.2
2019-01-16 17:30:00,0.2,0.2,0.2,0.2
2018-12-19 17:30:00,0.2,0.2,0.1,0.1
2018-11-14 17:30:00,0.1,0.2,0.1,0.1
2018-10-17 16:30:00,0.1,0.2,0.7,0.7
2018-09-19 16:30:00,0.7,0.5,0.0,0.0
2018-08-15 16:30:00,0.0,-0.1,0.0,0.0
2018-07-18 16:30:00,0.0,0.2,0.4,0.4
2018-06-13 16:30:00,0.4,0.4,0.4,0.4
2018-05-23 16:30:00,0.4,0.5,0.1,0.1
2018-04-18 16:30:00,0.1,0.3,0.4,0.4
2018-03-20 17:30:00,0.4,0.5,-0.5,-0.5
2018-02-13 17:30:00,-0.5,-0.6,0.4,0.4
2018-01-16 17:30:00,0.4,0.4,0.3,0.3
2017-12-12 17:30:00,0.3,0.2,0.1,0.1
2017-11-14 17:30:00,0.1,0.2,0.3,0.3
2017-10-17 16:30:00,0.3,0.3,0.6,0.6
2017-09-12 16:30:00,0.6,0.5,-0.1,-0.1
2017-08-15 16:30:00,-0.1,0.0,0.0,0.0
2017-07-18 16:30:00,0.0,0.2,0.3,0.3
2017-06-13 16:30:00,0.3,0.2,0.5,0.5
2017-05-16 16:30:00,0.5,0.4,0.4,0.4
2017-04-11 16:30:00,0.4,0.3,0.7,0.7
2017-03-21 17:30:00,0.7,0.5,-0.5,-0.5
2017-02-14 17:30:00,-0.5,-0.5,0.5,0.5
2017-01-17 17:30:00,0.5,0.3,0.2,0.2
2016-12-13 17:30:00,0.2,0.2,0.1,0.1
2016-11-15 17:30:00,0.1,0.3,0.2,0.2
2016-10-18 16:30:00,0.2,0.1,0.3,0.3
2016-09-13 16:30:00,0.3,0.4,-0.1,-0.1
2016-08-16 16:30:00,-0.1,-0.1,0.2,0.2
2016-07-19 16:30:00,0.2,0.2,0.2,0.2
2016-06-14 16:30:00,0.2,0.3,0.1,0.1
2016-05-17 16:30:00,0.1,0.3,0.4,0.4
2016-04-12 16:30:00,0.4,0.3,0.2,0.2
2016-03-22 17:30:00,0.2,0.4,-0.8,-0.8
2016-02-16 17:30:00,-0.8,-0.7,0.1,0.1
2016-01-19 17:30:00,0.1,0.1,0.0,0.0
2015-12-15 17:30:00,0.0,-0.1,0.1,0.1
2015-11-17 17:30:00,0.1,0.1,-0.1,-0.1
2015-10-13 16:30:00,-0.1,0.0,0.2,0.2
2015-09-15 16:30:00,0.2,0.2,-0.2,-0.2
2015-08-18 16:30:00,-0.2,-0.3,0.0,0.0
2015-07-14 16:30:00,0.0,0.1,0.2,0.2
2015-06-16 16:30:00,0.2,0.2,0.2,0.2
2015-05-19 16:30:00,0.2,0.4,0.2,0.2
2015-04-14 16:30:00,0.2,0.2,0.3,0.3
2015-03-24 17:30:00,0.3,0.3,-0.9,-0.9
2015-02-17 17:30:00,-0.9,-0.8,0.0,0.0
2015-01-13 17:30:00,0.0,0.1,-0.3,-0.3
2014-12-16 17:30:00,-0.3,0.1,0.1,0.1
2014-11-18 17:30:00,0.1,0.1,0.0,0.0
