datetime,UK_PPI_MoM_Actual,UK_PPI_MoM_Srv_Med,UK_PPI_MoM_Revised,UK_PPI_MoM_Prior
2023-08-16 14:00:00,-0.4,0.0,-1.3,-1.3
2023-07-19 14:00:00,-1.3,-0.3,-1.2,-1.5
2023-06-21 14:00:00,-1.5,-0.5,0.1,-0.3
2023-05-24 14:00:00,-0.3,0.1,0.2,0.2
2023-04-19 14:00:00,0.2,-0.3,0.0,-0.1
2023-03-22 15:00:00,-0.1,0.2,0.4,-0.1
2023-02-15 15:00:00,-0.1,0.2,-1.1,-1.1
2023-01-25 15:00:00,-1.1,-0.6,0.6,0.6
2022-11-16 15:00:00,0.6,0.3,0.9,0.4
2022-10-19 14:00:00,0.4,-0.4,-0.9,-1.2
2022-09-14 14:00:00,-1.2,0.3,0.0,0.1
2022-08-17 14:00:00,0.1,1.4,1.8,1.8
2022-07-20 14:00:00,1.8,1.4,2.4,2.1
2022-06-22 14:00:00,2.1,1.9,2.7,1.1
2022-05-18 14:00:00,1.1,1.1,4.6,5.2
2022-04-13 14:00:00,5.2,2.5,1.8,1.4
2022-03-23 15:00:00,1.4,1.2,1.5,0.9
2022-02-16 15:00:00,0.9,0.9,0.1,-0.2
2022-01-19 15:00:00,-0.2,0.7,1.5,1.0
2021-12-15 15:00:00,1.0,0.5,1.6,1.4
2021-11-17 15:00:00,1.4,1.1,0.8,0.4
2021-10-20 14:00:00,0.4,1.0,0.5,0.4
2021-09-15 14:00:00,0.4,0.2,1.3,0.8
2021-08-18 14:00:00,0.8,0.5,0.5,-0.1
2021-07-14 14:00:00,-0.1,1.2,1.2,1.1
2021-06-16 14:00:00,1.1,1.1,1.2,1.2
2021-05-19 14:00:00,1.2,1.1,1.9,1.3
2021-04-21 14:00:00,1.3,0.6,0.9,0.6
2021-03-24 15:00:00,0.6,0.7,1.0,0.7
2021-02-17 15:00:00,0.7,0.5,1.2,0.8
2021-01-20 15:00:00,0.8,0.7,0.4,0.2
2020-12-16 15:00:00,0.2,0.4,0.4,0.2
2020-11-18 15:00:00,0.2,0.1,0.3,1.1
2020-10-21 14:00:00,1.1,-0.4,-0.4,-0.4
2020-09-16 14:00:00,-0.4,0.3,1.8,1.8
