datetime,UK_3MILO_Actual,UK_3MILO_Srv_Med,UK_3MILO_Revised,UK_3MILO_Prior
2023-09-12 14:00:00,None,None,-66,-66
2023-08-15 14:00:00,-66,75,102,102
2023-07-11 14:00:00,102,125,250,250
2023-06-13 14:00:00,250,150,182,182
2023-05-16 14:00:00,182,160,169,169
2023-04-18 14:00:00,169,50,65,65.0
2023-03-14 15:00:00,65.0,52.0,74,74.0
2023-02-14 15:00:00,74.0,40.0,27,27.0
2023-01-17 15:00:00,27.0,5.0,27,27.0
2022-12-13 15:00:00,27.0,-17.0,-52,-52.0
2022-11-15 15:00:00,-52.0,-25.0,-109,-109.0
2022-10-11 14:00:00,-109.0,-155.0,40,40.0
2022-09-13 14:00:00,40.0,128.0,160,160.0
2022-08-16 14:00:00,160.0,256.0,296,296.0
2022-07-19 14:00:00,296.0,170.0,177,177.0
2022-06-14 14:00:00,177.0,105.0,83,83.0
2022-05-17 14:00:00,83.0,5.0,10,10.0
2022-04-12 14:00:00,10.0,50.0,-12,-12.0
2022-03-15 15:00:00,-12.0,23.0,-38,-38.0
2022-02-15 15:00:00,-38.0,-65.0,60,60.0
2022-01-18 15:00:00,60.0,125.0,149,149.0
2021-12-14 15:00:00,149.0,228.0,247,247.0
2021-11-16 15:00:00,247.0,185.0,235,235.0
2021-10-12 14:00:00,235.0,243.0,183,183.0
2021-09-14 14:00:00,183.0,178.0,95,95.0
2021-08-17 14:00:00,95.0,75.0,25,25.0
2021-07-15 14:00:00,25.0,90.0,113,113.0
2021-06-15 14:00:00,113.0,150.0,84,84.0
2021-05-18 14:00:00,84.0,50.0,-73,-73.0
2021-04-20 14:00:00,-73.0,-150.0,-147,-147.0
2021-03-23 15:00:00,-147.0,-167.0,-114,-114.0
2021-02-23 15:00:00,-114.0,-30.0,-88,-88.0
2021-01-26 15:00:00,-88.0,-100.0,-144,-144.0
2020-12-15 15:00:00,-144.0,-250.0,-164,-164.0
2020-11-10 15:00:00,-164.0,-148.0,-153,-153.0
2020-10-13 14:00:00,-153.0,-30.0,-12,-12.0
2020-09-15 14:00:00,-12.0,-125.0,-220,-220.0
2020-08-11 14:00:00,-220.0,-234.0,6,-125.0
2020-07-16 14:00:00,-125.0,-234.0,6,6.0
2020-06-16 14:00:00,6.0,-83.0,211,211.0
2020-05-19 14:00:00,211.0,50.0,172,172.0
2020-04-21 14:00:00,172.0,100.0,184,184.0
2020-03-17 17:30:00,184.0,143.0,180,180.0
2020-02-18 17:30:00,180.0,145.0,208,208.0
2020-01-21 17:30:00,208.0,110.0,24,24.0
2019-12-17 17:30:00,24.0,-10.0,-58,-58.0
2019-11-12 17:30:00,-58.0,-94.0,-56,-56.0
2019-10-15 16:30:00,-56.0,23.0,31,31.0
2019-09-10 16:30:00,31.0,53.0,115,115.0
2019-08-13 16:30:00,115.0,65.0,28,28.0
2019-07-16 16:30:00,28.0,45.0,32,32.0
2019-06-11 16:30:00,32.0,-1.0,99,99.0
2019-05-14 16:30:00,99.0,141.0,179,179.0
2019-04-16 16:30:00,179.0,173.0,222,222.0
2019-03-19 17:30:00,222.0,120.0,167,167.0
2019-02-19 17:30:00,167.0,152.0,141,141.0
2019-01-22 17:30:00,141.0,88.0,79,79.0
2018-12-11 17:30:00,79.0,25.0,23,23.0
2018-11-13 17:30:00,23.0,25.0,-5,-5.0
2018-10-16 16:30:00,-5.0,11.0,3,3.0
2018-09-11 16:30:00,3.0,27.0,42,42.0
2018-08-14 16:30:00,42.0,93.0,137,137.0
2018-07-17 16:30:00,137.0,150.0,146,146.0
2018-06-12 16:30:00,146.0,124.0,197,197.0
2018-05-15 16:30:00,197.0,129.0,55,55.0
2018-04-17 16:30:00,55.0,55.0,168,168.0
2018-03-21 17:30:00,168.0,84.0,88,88.0
2018-02-21 17:30:00,88.0,180.0,102,
