datetime,US_UEFC_MoM_Actual,US_UEFC_MoM_Srv_Med,US_UEFC_MoM_Revised,US_UEFC_MoM_Prior
2023-08-24 20:30:00,None,240,239,239
2023-08-17 20:30:00,239,240,250,248
2023-08-10 20:30:00,248,230,227,227
2023-08-03 20:30:00,227,227,221,221
2023-07-27 20:30:00,221,235,228,228
2023-07-20 20:30:00,228,242,237,237
2023-07-13 20:30:00,237,250,249,248
2023-07-06 20:30:00,248,245,236,239
2023-06-29 20:30:00,239,266,265,264
2023-06-22 20:30:00,264,260,264,262
2023-06-15 20:30:00,262,250,262,261
2023-06-08 20:30:00,261,235,233,232
2023-06-01 20:30:00,232,235,230,229
2023-05-25 20:30:00,229,250,225,242
2023-05-18 20:30:00,242,254,264,264
2023-05-11 20:30:00,264,245,242,242
2023-05-04 20:30:00,242,240,229,230
2023-04-27 20:30:00,230,248,246,245
2023-04-20 20:30:00,245,240,240,239
2023-04-13 20:30:00,239,232,228,228
2023-04-06 20:30:00,228,200,246,198
2023-03-30 20:30:00,198,196,191,191
2023-03-23 20:30:00,191,197,192,192
2023-03-16 20:30:00,192,205,212,211
2023-03-09 21:30:00,211,195,190,190
2023-03-02 21:30:00,190,195,192,192
2023-02-23 21:30:00,192,200,195,194
2023-02-16 21:30:00,194,200,195,196
2023-02-09 21:30:00,196,190,183,183
2023-02-02 21:30:00,183,200,186,186
2023-01-26 21:30:00,186,205,192,190
2023-01-19 21:30:00,190,214,205,205
2023-01-12 21:30:00,205,215,206,204
2023-01-05 21:30:00,204,225,223,225
2022-12-29 21:30:00,225,225,216,216
2022-12-22 21:30:00,216,222,214,211
2022-12-15 21:30:00,211,230,231,230
2022-12-08 21:30:00,230,230,226,225
2022-12-01 21:30:00,225,235,241,240
2022-11-23 21:30:00,240,225,223,222
2022-11-17 21:30:00,222,225,226,225
2022-11-10 21:30:00,225,220,218,217
2022-11-03 20:30:00,217,220,218,217
2022-10-27 20:30:00,217,220,214,214
2022-10-20 20:30:00,214,230,226,228
2022-10-13 20:30:00,228,225,219,219
2022-10-06 20:30:00,219,203,190,193
2022-09-29 20:30:00,193,215,209,213
2022-09-22 20:30:00,213,218,208,213
2022-09-15 20:30:00,213,226,218,222
2022-09-08 20:30:00,222,240,228,232
2022-09-01 20:30:00,232,248,237,243
2022-08-25 20:30:00,243,253,245,250
2022-08-18 20:30:00,250,265,252,262
2022-08-11 20:30:00,262,263,248,260
2022-08-04 20:30:00,260,259,254,256
2022-07-28 20:30:00,256,253,261,251
2022-07-21 20:30:00,251,240,244,244
2022-07-14 20:30:00,244,235,235,235
2022-07-07 20:30:00,235,230,231,231
2022-06-30 20:30:00,231,228,233,229
2022-06-23 20:30:00,229,227,231,229
2022-06-16 20:30:00,229,215,232,229
