datetime,US_CPII_MoM_Actual,US_CPII_MoM_Srv_Med,US_CPII_MoM_Revised,US_CPII_MoM_Prior
2023-08-10 20:30:00,305.69,305.84,305.11,305.11
2023-07-12 20:30:00,305.11,305.22,304.13,304.13
2023-06-13 20:30:00,304.13,304.06,303.36,303.36
2023-05-10 20:30:00,303.36,303.53,301.84,301.84
2023-04-12 20:30:00,301.84,302.25,300.84,300.84
2023-03-14 20:30:00,300.84,300.86,299.17,299.17
2023-02-14 21:30:00,299.17,298.66,296.8,296.8
2023-01-12 21:30:00,296.8,296.7,297.71,297.71
2022-12-13 21:30:00,297.71,298.05,298.01,298.01
2022-11-10 21:30:00,298.01,298.58,296.81,296.81
2022-10-13 20:30:00,296.81,296.43,296.17,296.17
2022-09-13 20:30:00,296.17,295.53,296.28,296.28
2022-08-10 20:30:00,296.28,296.67,296.31,296.31
2022-07-13 20:30:00,296.31,295.67,292.3,292.3
2022-06-10 20:30:00,292.3,291.66,289.11,289.11
2022-05-11 20:30:00,289.11,288.65,287.5,287.5
2022-04-12 20:30:00,287.5,287.41,283.72,283.72
2022-03-10 21:30:00,283.72,283.66,281.15,281.15
2022-02-10 21:30:00,281.15,280.39,278.8,278.8
2022-01-12 21:30:00,278.8,278.74,277.95,277.95
2021-12-10 21:30:00,277.95,278.11,276.59,276.59
2021-11-10 21:30:00,276.59,275.76,274.31,274.31
2021-10-13 20:30:00,274.31,274.14,273.57,273.57
2021-09-14 20:30:00,273.57,273.79,273.0,273.0
2021-08-11 20:30:00,273.0,272.87,271.7,271.7
2021-07-13 20:30:00,271.7,270.64,269.2,269.2
2021-06-10 20:30:00,269.2,268.47,267.05,267.05
2021-05-12 20:30:00,267.05,265.58,264.88,264.88
2021-04-13 20:30:00,264.88,264.69,263.01,263.01
2021-03-10 21:30:00,263.01,263.08,261.58,261.58
2021-02-10 21:30:00,261.58,261.79,260.47,260.47
2021-01-13 21:30:00,260.47,260.43,260.23,260.23
2020-12-10 21:30:00,260.23,260.11,260.39,260.39
2020-11-12 21:30:00,260.39,260.49,260.28,260.28
2020-10-13 20:30:00,260.28,260.35,259.92,259.92
2020-09-11 20:30:00,259.92,259.52,259.1,259.1
