datetime,US_NQCPI_MoM_Actual,US_NQCPI_MoM_Srv_Med,US_NQCPI_MoM_Revised,US_NQCPI_MoM_Prior
2023-08-10 20:30:00,0.19,None,0.32,0.32
2023-07-12 20:30:00,0.32,None,0.25,0.25
2023-06-13 20:30:00,0.25,None,0.51,0.51
2023-05-10 20:30:00,0.51,None,0.33,0.33
2023-04-12 20:30:00,0.33,0.40,0.56,0.56
2023-03-14 20:30:00,0.56,None,0.80,0.8
2023-02-14 21:30:00,0.8,,-0.31,-0.31
2023-01-12 21:30:00,-0.31,,-0.1,-0.1
2022-12-13 21:30:00,-0.1,,0.41,0.41
2022-11-10 21:30:00,0.41,,0.22,0.22
2022-10-13 20:30:00,0.22,,-0.04,-0.04
2022-09-13 20:30:00,-0.04,,-0.01,-0.01
2022-08-10 20:30:00,-0.01,,1.37,1.37
2022-07-13 20:30:00,1.37,,1.1,1.1
2022-06-10 20:30:00,1.1,,0.56,0.56
2022-05-11 20:30:00,0.56,,1.34,1.34
2022-04-12 20:30:00,1.34,,0.91,0.91
2022-03-10 21:30:00,0.91,,0.84,0.84
2022-02-10 21:30:00,0.84,,0.31,0.31
2022-01-12 21:30:00,0.31,,0.49,0.49
2021-12-10 21:30:00,0.49,,0.83,0.83
2021-11-10 21:30:00,0.83,,0.27,0.27
2021-10-13 20:30:00,0.27,,0.21,0.21
2021-09-14 20:30:00,0.21,,0.48,0.48
2021-08-11 20:30:00,0.48,,0.93,0.93
2021-07-13 20:30:00,0.93,,0.8,0.8
2021-06-10 20:30:00,0.8,,0.82,0.82
2021-05-12 20:30:00,0.82,,0.71,0.71
2021-04-13 20:30:00,0.71,,0.55,0.55
2021-03-10 21:30:00,0.55,,0.43,0.43
2021-02-10 21:30:00,0.43,,0.09,0.09
2021-01-13 21:30:00,0.09,,-0.06,-0.06
2020-12-10 21:30:00,-0.06,,0.04,0.04
2020-11-12 21:30:00,0.04,,0.14,0.14
2020-10-13 20:30:00,0.14,,0.32,0.32
2020-09-11 20:30:00,0.32,,0.51,0.51
2020-08-12 20:30:00,0.51,,0.55,0.55
2020-07-14 20:30:00,0.55,,-0.67,0.0
2020-06-10 20:30:00,0.0,,-0.67,-0.67
2020-05-12 20:30:00,-0.67,,-0.22,-0.22
2020-04-10 20:30:00,-0.22,,0.27,0.27
2020-03-11 20:30:00,0.27,,0.39,0.39
2020-02-13 21:30:00,0.39,,-0.09,-0.09
2020-01-14 21:30:00,-0.09,,-0.05,-0.05
2019-12-11 21:30:00,-0.05,,0.23,0.23
2019-11-13 21:30:00,0.23,,0.08,0.08
2019-10-10 20:30:00,0.08,,-0.01,-0.01
2019-09-12 20:30:00,-0.01,,0.17,0.17
2019-08-13 20:30:00,0.17,,0.02,
