datetime,US_QCPPI_MoM_Actual,US_QCPPI_MoM_Srv_Med,US_QCPPI_MoM_Revised,US_QCPPI_MoM_Prior
2023-08-10 20:30:00,308.80,308.33,308.31,308.31
2023-07-12 20:30:00,308.31,309.03,307.82,307.82
2023-06-13 20:30:00,307.82,307.53,306.49,306.49
2023-05-10 20:30:00,306.49,306.21,305.24,305.24
2023-04-12 20:30:00,305.24,305.57,304.07,304.07
2023-03-14 20:30:00,304.07,None,302.70,302.70
2023-02-14 21:30:00,302.70,None,301.46,300.97
2023-01-12 21:30:00,300.97,None,300.07,300.07
2022-12-13 21:30:00,300.07,None,299.47,299.47
2022-11-10 21:30:00,299.47,None,298.66,298.66
2022-10-13 20:30:00,298.66,None,296.95,296.95
2022-09-13 20:30:00,296.95,None,295.28,295.28
2022-08-10 20:30:00,295.28,,294.35,294.35
2022-07-13 20:30:00,294.35,,292.29,292.29
2022-06-10 20:30:00,292.29,,290.46,290.46
2022-05-11 20:30:00,290.46,,288.81,288.81
2022-04-12 20:30:00,288.81,,287.88,287.88
2022-03-10 21:30:00,287.88,,286.43,286.43
2022-02-10 21:30:00,286.43,,284.77,284.76
2022-01-12 21:30:00,284.76,,283.2,283.2
2021-12-10 21:30:00,283.2,,281.7,281.7
2021-11-10 21:30:00,281.7,,280.02,280.02
2021-10-13 20:30:00,280.02,,279.34,279.34
2021-09-14 20:30:00,279.34,,279.05,279.05
2021-08-11 20:30:00,279.05,,278.14,278.14
2021-07-13 20:30:00,278.14,,275.72,275.72
2021-06-10 20:30:00,275.72,,273.7,273.7
2021-05-12 20:30:00,273.7,,271.21,271.21
2021-04-13 20:30:00,271.21,,270.3,270.3
2021-03-10 21:30:00,270.3,,270.03,270.03
2021-02-10 21:30:00,270.03,,269.94,270.12
2021-01-13 21:30:00,270.12,,269.89,269.89
2020-12-10 21:30:00,269.89,,269.3,269.3
2020-11-12 21:30:00,269.3,,269.26,269.26
2020-10-13 20:30:00,269.26,,268.75,268.75
2020-09-11 20:30:00,268.75,,267.72,267.72
2020-08-12 20:30:00,267.72,,266.07,266.07
2020-07-14 20:30:00,266.07,,265.44,265.44
2020-06-10 20:30:00,265.44,,265.6,265.6
2020-05-12 20:30:00,265.6,,266.8,266.8
2020-04-10 20:30:00,266.8,,267.07,267.07
2020-03-11 20:30:00,267.07,,266.48,266.48
2020-02-13 21:30:00,266.48,,265.83,265.92
2020-01-14 21:30:00,265.92,,265.62,265.62
2019-12-11 21:30:00,265.62,,265.01,265.01
2019-11-13 21:30:00,265.01,,264.6,264.6
2019-10-10 20:30:00,264.6,,264.25,264.25
2019-09-12 20:30:00,264.25,,263.57,263.57
2019-08-13 20:30:00,263.57,,262.8,262.8
2019-07-11 20:30:00,262.8,,262.03,262.03
2019-06-12 20:30:00,262.03,,261.74,261.74
2019-05-10 20:30:00,261.74,,261.37,261.37
2019-04-10 20:30:00,261.37,,260.99,260.99
2019-03-12 20:30:00,260.99,261.16,260.7,260.7
2019-02-13 21:30:00,260.7,,260.08,260.03
2019-01-11 21:30:00,260.03,,259.48,259.48
2018-12-12 21:30:00,259.48,,258.94,258.94
2018-11-14 21:30:00,258.94,,258.44,258.44
2018-10-11 20:30:00,258.44,,258.14,258.14
2018-09-13 20:30:00,258.14,,257.93,257.93
2018-08-10 20:30:00,257.93,,257.31,257.31
2018-07-12 20:30:00,257.31,257.36,256.89,256.89
2018-06-12 20:30:00,256.89,256.89,256.45,256.45
2018-05-10 20:30:00,256.45,,256.2,256.2
2018-04-11 20:30:00,256.2,256.20,255.75,255.75
2018-03-13 20:30:00,255.75,255.75,255.29,255.29
2018-02-14 21:30:00,255.29,,254.4,254.43
2018-01-12 21:30:00,254.43,,253.72,253.72
2017-12-13 21:30:00,253.72,,253.43,253.43
2017-11-15 21:30:00,253.43,,252.86,252.86
2017-10-13 20:30:00,252.86,253.01,252.54,252.54
2017-09-14 20:30:00,252.54,,251.91,251.91
2017-08-11 20:30:00,251.91,,251.63,251.63
2017-07-14 20:30:00,251.63,,251.33,251.33
2017-06-14 20:30:00,251.33,251.58,251.17,251.17
2017-05-12 20:30:00,251.17,,250.99,250.99
2017-04-14 20:30:00,250.99,251.65,251.3,251.3
2017-03-15 20:30:00,251.3,251.10,250.78,250.78
2017-02-15 21:30:00,250.78,,250.01,249.93
2017-01-18 21:30:00,249.93,249.70,249.36,249.36
2016-12-15 21:30:00,249.36,,248.98,248.98
2016-11-17 21:30:00,248.98,,248.61,248.61
2016-10-18 20:30:00,248.61,,248.33,248.34
2016-09-16 20:30:00,248.34,,247.71,247.71
2016-08-16 20:30:00,247.71,247.87,247.5,247.5
2016-07-15 20:30:00,247.5,,247.07,247.07
2016-06-16 20:30:00,247.07,,246.57,246.57
2016-05-17 20:30:00,246.57,,246.1,246.1
2016-04-14 20:30:00,246.1,,245.93,245.93
2016-03-16 20:30:00,245.93,245.59,245.23,245.23
2016-02-19 21:30:00,245.23,,244.52,244.45
2016-01-20 21:30:00,244.45,244.49,244.14,244.14
2015-12-15 21:30:00,244.14,,243.7,243.7
2015-11-17 21:30:00,243.7,,243.21,243.21
2015-10-15 20:30:00,243.21,243.02,242.69,242.69
2015-09-16 20:30:00,242.69,,242.51,242.51
2015-08-19 20:30:00,242.51,242.55,242.19,242.19
2015-07-17 20:30:00,242.19,,241.76,241.76
2015-06-18 20:30:00,241.76,241.82,241.41,241.41
2015-05-22 20:30:00,241.41,,240.79,240.79
2015-04-17 20:30:00,240.79,,240.25,240.25
2015-03-24 20:30:00,240.25,,239.87,239.87
2015-02-26 21:30:00,239.87,,239.34,239.34
2015-01-16 21:30:00,239.34,,239.33,239.33
2014-12-17 21:30:00,239.33,,239.16,239.16
2014-11-20 21:30:00,239.16,239.16,238.68,238.68
2014-10-22 20:30:00,238.68,,238.35,238.35
2014-09-17 20:30:00,238.35,,238.31,238.31
2014-08-19 20:30:00,238.31,,238.08,237.98
2014-07-01 17:00:00,237.98,,237.66,237.66
2014-06-01 17:00:00,237.66,,237.11,237.11
2014-05-01 17:00:00,237.11,,236.64,236.64
2014-04-01 17:00:00,236.64,,236.24,236.24
2014-03-01 17:00:00,236.24,,236.0,236.0
2014-02-01 17:00:00,236.0,,235.64,235.64
2014-01-01 17:00:00,235.64,,235.29,235.29
2013-12-01 17:00:00,235.29,,234.86,234.86
2013-11-01 17:00:00,234.86,,234.61,234.61
2013-10-01 17:00:00,234.61,,234.26,234.26
2013-09-01 17:00:00,234.26,,233.88,233.88
2013-08-01 17:00:00,233.88,,233.5,233.5
2013-07-01 17:00:00,233.5,,233.14,233.14
2013-06-01 17:00:00,233.14,,232.87,232.87
2013-05-01 17:00:00,232.87,,232.8,232.8
2013-04-01 17:00:00,232.8,,232.61,232.61
2013-03-01 17:00:00,232.61,,232.22,232.22
2013-02-01 17:00:00,232.22,,231.63,231.63
2013-01-01 17:00:00,231.63,,231.34,231.34
2012-12-01 17:00:00,231.34,,230.99,230.99
2012-11-01 17:00:00,230.99,,230.6,230.6
2012-10-01 17:00:00,230.6,,230.18,230.18
2012-09-01 17:00:00,230.18,,229.98,229.98
2012-08-01 17:00:00,229.98,,229.75,229.75
2012-07-01 17:00:00,229.75,,229.31,229.31
2012-06-01 17:00:00,229.31,,228.94,228.94
2012-05-01 17:00:00,228.94,,228.48,228.48
2012-04-01 17:00:00,228.48,,228.01,228.01
2012-03-01 17:00:00,228.01,,227.84,227.84
2012-02-01 17:00:00,227.84,,227.33,227.33
2012-01-01 17:00:00,227.33,,226.94,226.94
2011-12-01 17:00:00,226.94,,226.48,226.48
2011-11-01 17:00:00,226.48,,226.09,226.09
2011-10-01 17:00:00,226.09,,225.82,225.82
