datetime,US_RPI_MoM_Actual,US_RPI_MoM_Srv_Med,US_RPI_MoM_Revised,US_RPI_MoM_Prior
2023-08-10 20:30:00,0.0,-0.1,0.6,0.5
2023-07-12 20:30:00,0.5,-0.1,-0.1,-0.1
2023-06-13 20:30:00,-0.1,0.1,0.1,0.1
2023-05-10 20:30:00,0.1,0.0,-0.1,-0.1
2023-04-12 20:30:00,-0.1,-0.2,-0.4,-0.4
2023-03-14 20:30:00,-0.4,None,0.3,0.7
2023-02-14 21:30:00,0.7,,0.1,0.1
2023-01-12 21:30:00,0.1,,0.2,0.2
2022-12-13 21:30:00,0.2,,-0.1,-0.1
2022-11-10 21:30:00,-0.1,,-0.1,-0.1
2022-10-13 20:30:00,-0.1,,0.2,-0.1
2022-09-13 20:30:00,-0.1,,0.8,0.5
2022-08-10 20:30:00,0.5,,-0.9,-1.0
2022-07-13 20:30:00,-1.0,,-0.9,-0.7
2022-06-10 20:30:00,-0.7,,-1,0.0
2022-05-11 20:30:00,0.0,-0.6,-1,-1.1
2022-04-12 20:30:00,-1.1,-0.6,-0.4,-0.5
2022-03-10 21:30:00,-0.5,,-0.6,-0.5
2022-02-10 21:30:00,-0.5,,-0.3,0.1
2022-01-12 21:30:00,0.1,,-0.4,-0.2
2021-12-10 21:30:00,-0.2,,-0.9,-0.9
2021-11-10 21:30:00,-0.9,,0.8,0.8
2021-10-13 20:30:00,0.8,,-0.2,0.3
2021-09-14 20:30:00,0.3,,-0.1,-0.1
2021-08-11 20:30:00,-0.1,,-0.5,-0.9
2021-07-13 20:30:00,-0.9,,-0.5,-0.1
2021-06-10 20:30:00,-0.1,,-0.1,0.2
2021-05-12 20:30:00,0.2,,0.1,0.1
2021-04-13 20:30:00,0.1,0.1,-1.2,-1.0
2021-03-10 21:30:00,-1.0,0.1,0.4,0.8
2021-02-10 21:30:00,0.8,,0.4,0.1
2021-01-13 21:30:00,0.1,,0.1,0.1
2020-12-10 21:30:00,0.1,,0.1,0.1
