datetime,US_DED_MoM_Actual,US_DED_MoM_Srv_Med,US_DED_MoM_Revised,US_DED_MoM_Prior
2023-09-05 22:00:00,None,None,6.2,None
2023-08-24 20:30:00,None,None,6.0,6.0
2023-08-03 22:00:00,6.0,None,6.2,6.2
2023-07-27 20:30:00,6.2,0.0,3.2,3.0
2023-07-05 22:00:00,3.0,None,3.0,3.0
2023-06-27 20:30:00,3.0,None,-0.5,-0.7
2023-06-05 22:00:00,-0.7,None,-0.6,-0.6
2023-05-26 20:30:00,-0.6,None,3.2,3.4
2023-05-02 22:00:00,3.4,None,3.5,3.5
2023-04-26 20:30:00,3.5,None,-0.8,-0.5
2023-04-04 22:00:00,-0.5,None,-0.5,-0.5
2023-03-24 20:30:00,-0.5,None,-5.6,-5.1
2023-03-06 23:00:00,-5.1,,-5.1,-5.1
2023-02-27 21:30:00,-5.1,,5.6,6.2
2023-02-02 23:00:00,6.2,,6.3,6.3
2023-01-26 21:30:00,6.3,,-2.3,-2.7
2023-01-06 23:00:00,-2.7,,-2.6,-2.6
2022-12-23 21:30:00,-2.6,,0.4,0.9
2022-12-05 23:00:00,0.9,,0.8,0.8
2022-11-23 21:30:00,0.8,,1.4,1.5
2022-11-03 22:00:00,1.5,,1.4,1.4
2022-10-27 20:30:00,1.4,,-0.3,-0.8
2022-10-04 22:00:00,-0.8,,-0.9,-0.9
2022-09-27 20:30:00,-0.9,,0.9,1.1
2022-09-02 22:00:00,1.1,,1.2,1.2
2022-08-24 20:30:00,1.2,,0.7,0.5
2022-08-03 22:00:00,0.5,,0.4,0.4
2022-07-27 20:30:00,0.4,-0.5,0.7,0.7
2022-07-05 22:00:00,0.7,,0.6,0.6
2022-06-27 20:30:00,0.6,,0.2,0.3
2022-06-02 22:00:00,0.3,,0.3,0.3
2022-05-25 20:30:00,0.3,1.0,1.2,1.4
2022-05-03 22:00:00,1.4,,1.2,1.2
2022-04-26 20:30:00,1.2,,-2.1,-2.6
2022-04-04 22:00:00,-2.6,,-2.7,-2.7
2022-03-24 20:30:00,-2.7,0.1,1.4,1.6
2022-03-03 23:00:00,1.6,,1.6,1.6
2022-02-25 21:30:00,1.6,0.1,2.7,0.3
2022-02-03 23:00:00,0.3,,0.1,0.1
2022-01-27 21:30:00,0.1,,2.7,2.0
2022-01-06 23:00:00,2.0,,2.0,2.0
2021-12-23 21:30:00,2.0,,1.3,0.8
2021-12-03 23:00:00,0.8,,0.8,0.8
2021-11-24 21:30:00,0.8,,-1.9,-1.9
2021-11-03 22:00:00,-1.9,,-2.0,-2.0
2021-10-27 20:30:00,-2.0,,1.7,2.4
2021-10-04 22:00:00,2.4,,2.4,2.4
2021-09-27 20:30:00,2.4,,-0.5,-1.1
2021-09-02 22:00:00,-1.1,,-1.2,-1.2
2021-08-25 20:30:00,-1.2,,0.9,1.1
2021-08-03 22:00:00,1.1,,1.0,1.0
2021-07-27 20:30:00,1.0,,2.8,1.7
2021-07-02 22:00:00,1.7,,1.7,1.7
2021-06-24 20:30:00,1.7,,0.5,0.0
2021-06-04 22:00:00,0.0,,0.5,0.0
2021-05-27 20:30:00,0.0,,2.2,0.8
2021-05-04 22:00:00,0.8,,0.5,0.5
2021-04-26 20:30:00,0.5,,-0.4,-0.8
2021-04-05 22:00:00,-0.8,,-0.7,-0.7
2021-03-24 20:30:00,-0.7,,2.3,2.3
2021-03-04 23:00:00,2.3,,2.3,2.3
2021-02-25 21:30:00,2.3,,1.4,0.8
2021-02-04 23:00:00,0.8,,0.5,0.5
2021-01-27 21:30:00,0.5,,1.2,0.8
2021-01-06 23:00:00,0.8,,0.7,0.7
2020-12-23 21:30:00,0.7,,0.8,0.2
2020-12-04 23:00:00,0.2,,0.2,0.2
2020-11-25 21:30:00,0.2,,3.8,3.4
2020-11-03 23:00:00,3.4,,3.4,3.4
2020-10-27 20:30:00,3.4,,0.9,0.9
2020-10-02 22:00:00,0.9,,0.7,0.7
2020-09-25 20:30:00,0.7,,10.4,10.1
2020-09-02 22:00:00,10.1,,9.9,9.9
2020-08-26 20:30:00,9.9,,9.7,9.5
2020-08-04 22:00:00,9.5,,9.2,9.2
2020-07-27 20:30:00,9.2,,15.2,15.3
2020-07-02 22:00:00,15.3,,15.5,15.5
2020-06-25 20:30:00,15.5,,-17.1,-16.6
2020-06-03 22:00:00,-16.6,,-16.2,-16.2
2020-05-28 20:30:00,-16.2,,-17.4,-16.0
2020-05-04 22:00:00,-16.0,,-15.8,-15.8
2020-04-24 20:30:00,-15.8,,-0.2,0.1
2020-04-02 22:00:00,0.1,,0.1,0.1
2020-03-25 20:30:00,0.1,,3.6,3.7
2020-03-05 23:00:00,3.7,,3.6,3.6
2020-02-27 21:30:00,3.6,,-1.9,-2.4
2020-02-04 23:00:00,-2.4,,-2.5,-2.5
2020-01-28 21:30:00,-2.5,,-0.5,0.7
2020-01-07 23:00:00,0.7,,0.8,0.8
2019-12-23 21:30:00,0.8,,0.0,0.0
2019-12-05 23:00:00,0.0,,0.1,0.1
2019-11-27 21:30:00,0.1,-0.3,-1.8,-1.3
2019-11-04 23:00:00,-1.3,,-1.2,-1.2
2019-10-24 20:30:00,-1.2,,-0.9,-0.6
2019-10-03 22:00:00,-0.6,,-0.6,-0.6
2019-09-27 20:30:00,-0.6,0.1,1.3,1.4
2019-08-26 20:30:00,1.4,,3.1,3.1
2019-07-25 20:30:00,3.1,,-1.2,-0.6
2019-06-26 20:30:00,-0.6,,-3.3,-2.5
2019-05-24 20:30:00,-2.5,-2.0,0.1,2.3
2019-04-25 20:30:00,2.3,0.1,-1.7,-1.9
2019-04-02 20:30:00,-1.9,0.1,0.4,0.7
2019-03-13 20:30:00,0.7,,2.2,1.8
2019-02-21 21:30:00,1.8,0.4,-0.1,-0.1
2018-12-21 21:30:00,-0.1,,-1.4,-1.2
2018-11-21 21:30:00,-1.2,0.1,-1.4,-0.6
2018-10-25 20:30:00,-0.6,0.1,2.5,2.6
2018-09-27 20:30:00,2.6,0.8,-0.6,-1.0
2018-08-24 20:30:00,-1.0,0.8,1.2,1.5
2018-07-26 20:30:00,1.5,,-1.4,-1.5
2018-06-27 20:30:00,-1.5,-1.0,-1.5,-1.9
2018-05-25 20:30:00,-1.9,-1.0,4.3,2.8
2018-04-26 20:30:00,2.8,1.1,3.0,2.5
2018-03-23 20:30:00,2.5,,-2.5,-2.7
2018-02-27 21:30:00,-2.7,0.3,2.2,2.2
2018-01-26 21:30:00,2.2,0.3,1.5,1.0
2017-12-22 21:30:00,1.0,0.9,-0.8,-0.8
2017-11-22 21:30:00,-0.8,0.9,2.4,2.0
2017-10-25 20:30:00,2.0,,2.6,2.2
2017-09-27 20:30:00,2.2,,-7.9,-7.8
2017-08-25 20:30:00,-7.8,,6.4,6.7
2017-07-27 20:30:00,6.7,,0.4,-0.6
2017-06-26 20:30:00,-0.6,,-0.9,-0.8
2017-05-26 20:30:00,-0.8,,1.1,0.1
2017-04-27 20:30:00,0.1,,2.7,2.1
2017-03-24 20:30:00,2.1,,2.1,1.5
2017-02-27 21:30:00,1.5,,1.2,1.7
2017-01-27 21:30:00,1.7,,-6.8,-6.6
2016-12-22 21:30:00,-6.6,-0.1,5.1,5.2
2016-11-23 21:30:00,5.2,,1.4,0.7
2016-10-27 20:30:00,0.7,,-0.7,-1.0
2016-09-28 20:30:00,-1.0,-1.1,3.0,3.8
2016-08-25 20:30:00,3.8,,-4.0,-3.9
2016-07-27 20:30:00,-3.9,,-1.6,-0.9
2016-06-24 20:30:00,-0.9,,3.7,3.7
2016-05-26 20:30:00,3.7,,-0.6,-1.0
