datetime,US_DGO_Actual,US_DGO_Srv_Med,US_DGO_Revised,US_DGO_Prior
2023-08-24 20:30:00,None,-4.0,4.7,4.7
2023-07-27 20:30:00,4.7,1.0,2.0,1.7
2023-06-27 20:30:00,1.7,-1.0,1.2,1.1
2023-05-26 20:30:00,1.1,-1.0,3.3,3.2
2023-04-26 20:30:00,3.2,0.7,-1.2,-1.0
2023-03-24 20:30:00,-1.0,0.6,-5.0,-4.5
2023-02-27 21:30:00,-4.5,-4.0,5.1,5.6
2023-01-26 21:30:00,5.6,2.5,-1.7,-2.1
2022-12-23 21:30:00,-2.1,-0.6,0.7,1.0
2022-11-23 21:30:00,1.0,0.4,0.3,0.4
2022-10-27 20:30:00,0.4,0.6,0.2,-0.2
2022-09-27 20:30:00,-0.2,-0.4,-0.1,0.0
2022-08-24 20:30:00,0.0,0.6,2.0,1.9
2022-07-27 20:30:00,1.9,-0.5,0.8,0.7
2022-06-27 20:30:00,0.7,0.1,0.4,0.4
2022-05-25 20:30:00,0.4,0.6,0.6,0.8
2022-04-26 20:30:00,0.8,1.0,-1.7,-2.2
2022-03-24 20:30:00,-2.2,-0.5,1.6,1.6
2022-02-25 21:30:00,1.6,0.8,1.2,-0.9
2022-01-27 21:30:00,-0.9,-0.5,3.2,2.5
2021-12-23 21:30:00,2.5,1.6,0.1,-0.5
2021-11-24 21:30:00,-0.5,0.2,-0.4,-0.4
2021-10-27 20:30:00,-0.4,-1.1,1.3,1.8
2021-09-27 20:30:00,1.8,0.7,0.5,-0.1
2021-08-25 20:30:00,-0.1,-0.3,0.8,0.8
2021-07-27 20:30:00,0.8,2.1,3.2,2.3
2021-06-24 20:30:00,2.3,2.8,-0.8,-1.3
2021-05-27 20:30:00,-1.3,0.7,1.3,0.5
2021-04-26 20:30:00,0.5,2.5,-0.9,-1.1
2021-03-24 20:30:00,-1.1,0.8,3.5,3.4
2021-02-25 21:30:00,3.4,1.1,1.2,0.2
2021-01-27 21:30:00,0.2,0.9,1.2,0.9
2020-12-23 21:30:00,0.9,0.6,1.8,1.3
2020-11-25 20:30:00,1.3,0.9,2.1,1.9
2020-10-27 20:30:00,1.9,0.5,0.4,0.4
2020-09-25 20:30:00,0.4,1.5,11.7,11.2
2020-08-26 20:30:00,11.2,4.3,7.7,7.3
2020-07-27 20:30:00,7.3,7.2,15.1,15.8
2020-06-25 20:30:00,15.8,10.9,-18.1,-17.2
2020-05-28 20:30:00,-17.2,-19.0,-16.6,-14.4
2020-04-24 20:30:00,-14.4,-11.9,1.1,1.2
2020-03-25 20:30:00,1.2,-0.8,0.1,-0.2
2020-02-27 21:30:00,-0.2,-1.5,2.9,2.4
2020-01-28 21:30:00,2.4,0.4,-3.1,-2.0
2019-12-23 21:30:00,-2.0,1.5,0.2,0.6
2019-11-27 21:30:00,0.6,-0.5,-1.4,-1.1
2019-10-24 20:30:00,-1.1,-0.5,0.3,0.2
2019-09-27 20:30:00,0.2,-1.1,2.0,2.0
2019-09-05 22:00:00,2.0,,2.1,2.1
2019-08-26 20:30:00,2.1,1.1,1.8,2.0
2019-07-25 20:30:00,2.0,0.8,-2.3,-1.3
2019-06-26 20:30:00,-1.3,0.0,-2.8,-2.1
2019-05-24 20:30:00,-2.1,-2.0,1.7,2.7
2019-04-25 20:30:00,2.7,0.7,-1.1,-1.6
2019-04-02 20:30:00,-1.6,-1.1,0.1,0.4
2019-03-13 20:30:00,0.4,-0.5,1.3,1.2
2019-02-21 21:30:00,1.2,0.8,1.0,0.8
2018-12-21 21:30:00,0.8,1.6,-4.3,-4.4
2018-11-21 21:30:00,-4.4,-2.2,-0.1,0.8
2018-10-25 20:30:00,0.8,-1.3,4.6,4.5
2018-09-27 20:30:00,4.5,1.9,-1.2,-1.7
2018-09-06 22:00:00,-1.7,-1.7,-1.7,-1.7
2018-08-24 20:30:00,-1.7,-0.5,0.7,1.0
2018-07-26 20:30:00,1.0,3.0,-0.3,-0.4
2018-07-03 22:00:00,-0.4,-0.5,-0.6,-0.6
2018-06-27 20:30:00,-0.6,-0.9,-1.0,-1.6
2018-06-04 22:00:00,-1.6,-1.6,-1.7,-1.7
2018-05-25 20:30:00,-1.7,-1.4,2.7,2.6
2018-05-03 22:00:00,2.6,,2.6,2.6
2018-04-26 20:30:00,2.6,1.6,3.5,3.0
2018-04-04 22:00:00,3.0,3.1,3.1,3.1
2018-03-23 20:30:00,3.1,1.5,-3.5,-3.7
2018-02-27 21:30:00,-3.7,-2.4,2.6,2.9
2018-01-26 21:30:00,2.9,0.8,1.7,1.3
2017-12-22 21:30:00,1.3,2.0,-0.4,-1.2
2017-11-22 21:30:00,-1.2,0.3,2.2,2.2
2017-10-25 20:30:00,2.2,1.0,2.0,1.7
2017-09-27 20:30:00,1.7,1.0,-6.8,-6.8
