datetime,US_MCS_Actual,US_MCS_Srv_Med,US_MCS_Revised,US_MCS_Prior,Is_P
2009-06-12 21:55:00,69.0,69.0,68.7,68.7,0.0
2023-08-25 22:00:00,None,71.1,71.6,71.6,0.0
2009-05-29 21:55:00,68.7,67.9,67.9,65.1,0.0
2009-05-15 21:55:00,67.9,65.5,65.1,61.9,1.0
2023-08-11 22:00:00,71.2,71.0,71.6,72.6,1.0
2023-07-28 22:00:00,71.6,72.6,64.4,64.4,0.0
2009-05-01 21:55:00,65.1,61.7,61.9,57.3,0.0
2023-07-14 22:00:00,72.6,65.5,64.4,63.9,1.0
2009-04-17 21:55:00,61.9,58.3,57.3,56.6,1.0
2023-06-30 22:00:00,64.4,63.9,59.2,59.2,0.0
2009-03-27 21:55:00,57.3,56.7,56.6,56.3,0.0
2023-06-16 22:00:00,63.9,60.0,59.2,57.7,1.0
2009-03-13 21:55:00,56.6,49.9,56.3,98.3,1.0
2009-02-27 22:55:00,56.3,56.0,56.2,56.2,0.0
2009-02-13 22:55:00,56.2,60.6,61.2,61.9,0.0
2009-01-16 23:00:00,61.9,59.5,60.1,60.1,0.0
2008-12-23 23:00:00,60.1,58.5,59.1,59.1,0.0
2008-12-12 23:00:00,59.1,55.0,55.3,55.3,0.0
2008-11-26 22:55:00,55.3,57.0,57.9,57.9,0.0
2008-11-14 23:00:00,57.9,56.0,57.6,57.6,0.0
2008-10-31 22:00:00,57.6,,57.5,57.5,0.0
2008-10-17 22:00:00,57.5,,70.3,70.3,0.0
2008-09-26 22:00:00,70.3,70.7,73.1,73.1,0.0
2008-09-12 22:00:00,73.1,64.0,63.0,61.7,0.0
2008-08-15 22:00:00,61.7,62.0,61.2,61.2,0.0
2008-07-25 22:00:00,61.2,56.3,56.6,56.6,0.0
2008-07-11 22:00:00,56.6,55.8,56.4,56.4,0.0
2008-06-27 22:00:00,56.4,56.8,56.7,56.7,0.0
2008-06-13 21:55:00,56.7,59.5,59.8,59.5,0.0
2008-05-16 23:00:00,59.5,62.0,62.6,62.6,0.0
2008-04-25 22:00:00,62.6,63.3,63.2,97.5,0.0
2018-11-21 23:00:00,97.5,98.4,98.3,98.6,0.0
2018-11-09 23:00:00,98.3,98.0,98.6,99.0,1.0
2018-10-26 22:00:00,98.6,99.0,99.0,100.1,0.0
2018-10-12 22:00:00,99.0,100.4,100.1,100.8,1.0
2018-09-28 22:00:00,100.1,100.5,100.8,96.2,0.0
2018-09-14 22:00:00,100.8,96.7,96.2,95.3,1.0
2018-08-31 22:00:00,96.2,95.5,95.3,97.9,0.0
2018-08-17 22:00:00,95.3,98.1,97.9,97.1,1.0
2018-07-27 22:00:00,97.9,97.1,97.1,98.2,0.0
2018-07-13 22:00:00,97.1,98.1,98.2,99.3,1.0
2018-06-29 22:00:00,98.2,99.2,99.3,98.0,0.0
2018-06-15 22:00:00,99.3,98.5,98.0,98.8,1.0
2018-05-25 22:00:00,98.0,98.8,98.8,98.8,0.0
