datetime,US_CPCED_QoQ_Actual,US_CPCED_QoQ_Srv_Med,US_CPCED_QoQ_Revised,US_CPCED_QoQ_Prior
2023-08-31 20:30:00,None,None,4.1,4.1
2023-07-28 20:30:00,4.1,4.2,4.6,4.6
2023-06-30 20:30:00,4.6,4.7,4.7,4.7
2023-05-26 20:30:00,4.7,4.6,4.6,4.6
2023-04-28 20:30:00,4.6,4.5,4.7,4.6
2023-03-31 20:30:00,4.6,4.7,4.7,4.7
2023-02-24 21:30:00,4.7,4.3,4.6,4.4
2023-01-27 21:30:00,4.4,4.4,4.7,4.7
2022-12-23 21:30:00,4.7,4.7,5.0,5.0
2022-12-01 21:30:00,5.0,5.0,5.2,5.1
2022-10-28 20:30:00,5.1,5.2,4.9,4.9
2022-09-30 20:30:00,4.9,4.7,4.7,4.6
2022-08-26 20:30:00,4.6,4.7,4.8,4.8
2022-07-29 20:30:00,4.8,4.7,4.7,4.7
2022-06-30 20:30:00,4.7,4.8,4.9,4.9
2022-05-27 20:30:00,4.9,4.9,5.2,5.2
2022-04-29 20:30:00,5.2,5.3,5.3,5.4
2022-03-31 20:30:00,5.4,5.5,5.2,5.2
2022-02-25 21:30:00,5.2,5.1,4.9,4.9
2022-01-28 21:30:00,4.9,4.8,4.7,4.7
2021-12-23 21:30:00,4.7,4.5,4.2,4.1
2021-11-24 23:00:00,4.1,4.1,3.7,3.6
2021-10-29 20:30:00,3.6,3.7,3.6,3.6
2021-10-01 20:30:00,3.6,3.6,3.6,3.6
2021-08-27 20:30:00,3.6,3.6,3.6,3.5
2021-07-30 20:30:00,3.5,3.7,3.4,3.4
2021-06-25 20:30:00,3.4,3.4,3.1,3.1
2021-05-28 20:30:00,3.1,2.9,1.9,1.8
2021-04-30 20:30:00,1.8,1.8,1.4,1.4
2021-03-26 21:30:00,1.4,1.5,1.5,1.5
2021-02-26 21:30:00,1.5,1.4,1.4,1.5
2021-01-29 21:30:00,1.5,1.3,1.4,1.4
2020-12-23 21:30:00,1.4,1.5,1.4,1.4
2020-11-25 23:00:00,1.4,1.4,1.6,1.5
2020-10-30 20:30:00,1.5,1.7,1.4,1.6
2020-10-01 20:30:00,1.6,1.4,1.4,1.3
2020-08-28 20:30:00,1.3,1.2,1.1,0.9
2020-07-31 20:30:00,0.9,1.0,1.0,1.0
2020-06-26 20:30:00,1.0,0.9,1.0,1.0
2020-05-29 20:30:00,1.0,1.1,1.7,1.7
2020-04-30 20:30:00,1.7,1.6,1.8,1.8
2020-03-27 20:30:00,1.8,1.7,1.7,1.6
2020-02-28 21:30:00,1.6,1.7,1.5,1.6
2020-01-31 21:30:00,1.6,1.6,1.5,1.6
2019-12-20 23:00:00,1.6,1.6,1.7,1.6
2019-11-27 23:00:00,1.6,1.7,1.7,1.7
2019-10-31 20:30:00,1.7,1.7,1.8,1.8
2019-09-27 20:30:00,1.8,1.8,1.7,1.6
2019-08-30 20:30:00,1.6,1.6,1.6,1.6
2019-07-30 20:30:00,1.6,1.7,1.5,1.6
2019-06-28 20:30:00,1.6,1.6,1.6,1.6
2019-05-31 20:30:00,1.6,1.6,1.5,1.6
2019-04-29 20:30:00,1.6,1.7,1.7,1.8
2019-03-29 20:30:00,1.8,1.9,2.0,1.9
2019-03-01 21:30:00,1.9,1.9,1.9,1.9
2018-12-21 23:00:00,1.9,1.9,1.8,1.8
2018-11-29 21:30:00,1.8,1.9,1.9,2.0
2018-10-29 20:30:00,2.0,2.0,2.0,2.0
2018-09-28 20:30:00,2.0,2.0,2.0,2.0
2018-08-30 20:30:00,2.0,2.0,1.9,1.9
2018-07-31 20:30:00,1.9,2.0,1.9,2.0
2018-06-29 20:30:00,2.0,1.9,1.8,1.8
2018-05-31 20:30:00,1.8,1.8,1.8,1.9
2018-04-30 20:30:00,1.9,1.9,1.6,1.6
2018-03-29 20:30:00,1.6,1.6,1.5,1.5
2018-03-01 21:30:00,1.5,1.5,1.5,1.5
2018-01-29 21:30:00,1.5,1.5,1.5,1.5
2017-12-22 21:30:00,1.5,1.5,1.4,1.4
2017-11-30 21:30:00,1.4,1.4,1.4,1.3
2017-10-30 20:30:00,1.3,1.3,1.3,1.3
2017-09-29 20:30:00,1.3,1.4,1.4,1.4
2017-08-31 20:30:00,1.4,1.4,1.5,1.5
2017-08-01 20:30:00,1.5,1.3,1.5,1.4
2017-06-30 20:30:00,1.4,1.4,1.5,1.5
2017-05-30 20:30:00,1.5,1.5,1.6,1.6
2017-05-01 20:30:00,1.6,,1.8,1.8
2017-03-31 20:30:00,1.8,1.7,1.8,1.7
2017-03-01 21:30:00,1.7,1.8,1.7,1.7
2017-01-30 21:30:00,1.7,1.7,1.7,1.6
2016-12-22 23:00:00,1.6,,1.8,1.7
2016-11-30 21:30:00,1.7,,1.7,1.7
2016-10-31 20:30:00,1.7,1.7,1.7,1.7
2016-09-30 20:30:00,1.7,1.7,1.6,1.6
2016-08-29 20:30:00,1.6,1.5,1.6,1.6
2016-08-02 20:30:00,1.6,1.6,1.6,1.6
2016-06-29 20:30:00,1.6,1.6,1.6,1.6
2016-05-31 20:30:00,1.6,1.6,1.6,1.6
2016-04-29 20:30:00,1.6,,1.7,1.7
2016-03-28 20:30:00,1.7,1.8,1.7,1.7
2016-02-26 23:00:00,1.7,1.5,1.5,1.4
2016-02-01 21:30:00,1.4,1.4,1.4,1.3
2015-12-23 21:30:00,1.3,1.4,1.3,1.3
2015-11-25 21:30:00,1.3,1.3,1.3,1.3
2015-10-30 20:30:00,1.3,,1.3,1.3
2015-09-28 20:30:00,1.3,1.2,1.2,1.2
2015-08-28 20:30:00,1.2,1.3,1.3,1.3
2015-08-03 20:30:00,1.3,1.2,1.3,1.2
2015-06-25 20:30:00,1.2,1.2,1.3,1.2
2015-06-01 20:30:00,1.2,1.3,1.3,1.3
2015-04-30 20:30:00,1.3,1.4,1.3,1.4
2015-03-30 20:30:00,1.4,1.3,1.3,1.3
