datetime,US_PPI_YoY_Actual,US_PPI_YoY_Srv_Med,US_PPI_YoY_Revised,US_PPI_YoY_Prior
2023-08-11 20:30:00,0.8,0.7,0.2,0.1
2023-07-13 20:30:00,0.1,0.4,0.9,1.1
2023-06-14 20:30:00,1.1,1.5,2.3,2.3
2023-05-11 20:30:00,2.3,2.4,2.7,2.7
2023-04-13 20:30:00,2.7,3.0,4.9,4.6
2023-03-15 20:30:00,4.6,5.4,5.7,6.0
2023-02-16 21:30:00,6.0,5.4,6.5,6.2
2023-01-18 21:30:00,6.2,6.8,7.3,7.4
2022-12-09 21:30:00,7.4,7.2,8.1,8.0
2022-11-15 21:30:00,8.0,8.3,8.4,8.5
2022-10-12 20:30:00,8.5,8.4,8.7,8.7
2022-09-14 20:30:00,8.7,8.8,9.8,9.8
2022-08-11 20:30:00,9.8,10.4,11.3,11.3
2022-07-14 20:30:00,11.3,10.7,10.9,10.8
2022-06-14 20:30:00,10.8,10.9,10.9,11.0
2022-05-12 20:30:00,11.0,10.7,11.5,11.2
2022-04-13 20:30:00,11.2,10.6,10.3,10.0
2022-03-15 20:30:00,10.0,10.0,10.0,9.7
2022-02-15 21:30:00,9.7,9.1,9.8,9.7
2022-01-13 21:30:00,9.7,9.8,9.8,9.6
2021-12-14 21:30:00,9.6,9.2,8.8,8.6
2021-11-09 21:30:00,8.6,8.7,8.6,8.6
2021-10-14 20:30:00,8.6,8.7,8.3,8.3
2021-09-10 20:30:00,8.3,8.2,7.8,7.8
2021-08-12 20:30:00,7.8,7.3,7.3,7.3
2021-07-14 20:30:00,7.3,6.8,6.6,6.6
2021-06-15 20:30:00,6.6,6.3,6.2,6.2
2021-05-13 20:30:00,6.2,5.9,4.2,4.2
2021-04-09 20:30:00,4.2,3.8,2.8,2.8
2021-03-12 21:30:00,2.8,2.7,1.7,1.7
2021-02-17 21:30:00,1.7,0.9,0.8,0.8
2021-01-15 21:30:00,0.8,0.8,0.8,0.8
2020-12-11 21:30:00,0.8,0.8,0.5,0.5
2020-11-13 21:30:00,0.5,0.4,0.4,0.4
2020-10-14 20:30:00,0.4,0.2,-0.2,-0.2
2020-09-10 20:30:00,-0.2,-0.3,-0.4,-0.4
2020-08-11 20:30:00,-0.4,-0.7,-0.8,-0.8
2020-07-10 20:30:00,-0.8,-0.2,-0.8,-0.8
2020-06-11 20:30:00,-0.8,-1.2,-1.2,-1.2
2020-05-13 20:30:00,-1.2,-0.2,0.7,0.7
2020-04-09 20:30:00,0.7,0.5,1.3,1.3
2020-03-12 20:30:00,1.3,1.8,2.1,2.1
2020-02-19 21:30:00,2.1,1.6,1.3,1.3
2020-01-15 21:30:00,1.3,1.3,1.1,1.1
