datetime,US_RS_MoM_Actual,US_RS_MoM_Srv_Med,US_RS_MoM_Revised,US_RS_MoM_Prior
2023-08-15 20:30:00,0.7,0.4,0.3,0.2
2023-07-18 20:30:00,0.2,0.5,0.5,0.3
2023-06-15 20:30:00,0.3,-0.1,0.4,0.4
2023-05-16 20:30:00,0.4,0.8,-0.7,-1.0
2023-04-14 20:30:00,-1.0,-0.4,-0.2,-0.4
2023-03-15 20:30:00,-0.4,-0.3,3.2,3.0
2023-02-15 21:30:00,3.0,1.8,-1.1,-1.1
2023-01-18 21:30:00,-1.1,-0.8,-1.0,-0.6
2022-12-15 21:30:00,-0.6,-0.1,1.3,1.3
2022-11-16 21:30:00,1.3,1.0,0.0,0.0
2022-10-14 20:30:00,0.0,0.2,0.4,0.3
2022-09-15 20:30:00,0.3,0.2,-0.4,0.0
2022-08-17 20:30:00,0.0,0.1,0.8,1.0
2022-07-15 20:30:00,1.0,0.8,-0.1,-0.3
2022-06-15 20:30:00,-0.3,0.2,0.7,0.9
2022-05-17 20:30:00,0.9,0.9,1.4,0.5
2022-04-14 20:30:00,0.5,0.6,0.8,0.3
2022-03-16 20:30:00,0.3,0.4,4.9,3.8
2022-02-16 21:30:00,3.8,2.0,-2.5,-1.9
2022-01-14 21:30:00,-1.9,-0.1,0.2,0.3
2021-12-15 21:30:00,0.3,0.8,1.8,1.7
2021-11-16 21:30:00,1.7,1.2,0.8,0.7
2021-10-15 20:30:00,0.7,-0.2,0.9,0.7
2021-09-16 20:30:00,0.7,-0.8,-1.8,-1.1
2021-08-17 20:30:00,-1.1,-0.3,0.7,0.6
2021-07-16 20:30:00,0.6,-0.4,-1.7,-1.3
2021-06-15 20:30:00,-1.3,-0.8,0.9,0.0
2021-05-14 20:30:00,0.0,1.0,10.7,9.8
2021-04-15 20:30:00,9.8,5.9,-2.7,-3.0
2021-03-16 20:30:00,-3.0,-0.5,7.6,5.3
2021-02-17 21:30:00,5.3,1.1,-1.0,-0.7
2021-01-15 21:30:00,-0.7,-0.2,-1.4,-1.1
2020-12-16 21:30:00,-1.1,-0.3,-0.1,0.3
2020-11-17 21:30:00,0.3,0.5,1.6,1.9
2020-10-16 20:30:00,1.9,0.7,0.6,0.6
2020-09-16 20:30:00,0.6,1.0,0.9,1.2
2020-08-14 20:30:00,1.2,1.9,8.4,7.5
2020-07-16 20:30:00,7.5,5.0,18.2,17.7
2020-06-16 20:30:00,17.7,8.0,-14.7,-16.4
2020-05-15 20:30:00,-16.4,-12.0,-8.3,-8.7
2020-04-15 20:30:00,-8.7,-8.0,-0.4,-0.5
2020-03-17 20:30:00,-0.5,0.2,0.6,0.3
2020-02-14 21:30:00,0.3,0.3,0.2,0.3
2020-01-16 21:30:00,0.3,0.3,0.3,0.2
2019-12-13 21:30:00,0.2,0.5,0.4,0.3
2019-11-15 21:30:00,0.3,0.2,-0.3,-0.3
2019-10-16 20:30:00,-0.3,0.3,0.6,0.4
2019-09-13 20:30:00,0.4,0.2,0.8,0.7
2019-08-15 20:30:00,0.7,0.3,0.3,0.4
2019-07-16 20:30:00,0.4,0.1,0.4,0.5
2019-06-14 20:30:00,0.5,0.7,0.3,-0.2
2019-05-15 20:30:00,-0.2,0.2,1.7,1.6
2019-04-18 20:30:00,1.6,0.9,-0.2,-0.2
2019-04-01 20:30:00,-0.2,0.3,0.7,0.2
2019-03-11 20:30:00,0.2,0.0,-1.6,-1.2
2019-02-14 21:30:00,-1.2,0.1,0.1,0.2
2018-12-14 21:30:00,0.2,0.1,1.1,0.8
2018-11-15 21:30:00,0.8,0.6,-0.1,0.1
2018-10-15 20:30:00,0.1,0.7,0.1,0.1
2018-09-14 20:30:00,0.1,0.4,0.7,0.5
2018-08-15 20:30:00,0.5,0.2,0.2,0.5
2018-07-16 20:30:00,0.5,0.5,1.3,0.8
2018-06-14 20:30:00,0.8,0.4,0.4,0.3
2018-05-15 20:30:00,0.3,0.4,0.8,0.6
2018-04-16 20:30:00,0.6,0.4,-0.1,-0.1
2018-03-14 20:30:00,-0.1,0.3,-0.1,-0.3
2018-02-14 21:30:00,-0.3,0.2,0.4,0.4
2018-01-12 21:30:00,0.4,0.4,0.9,0.8
2017-12-14 21:30:00,0.8,0.3,0.5,0.2
2017-11-15 21:30:00,0.2,0.1,1.9,1.6
2017-10-13 20:30:00,1.6,1.7,-0.1,-0.2
2017-09-15 20:30:00,-0.2,0.1,0.3,0.6
2017-08-15 20:30:00,0.6,0.4,0.3,-0.2
2017-07-14 20:30:00,-0.2,0.1,-0.1,-0.3
2017-06-14 20:30:00,-0.3,0.1,0.4,0.4
2017-05-12 20:30:00,0.4,0.6,0.1,-0.2
2017-04-14 20:30:00,-0.2,-0.1,-0.3,0.1
2017-03-15 20:30:00,0.1,0.1,0.6,0.4
2017-02-15 21:30:00,0.4,0.1,1.0,0.6
2017-01-13 21:30:00,0.6,0.7,0.2,0.1
2016-12-14 21:30:00,0.1,0.3,0.6,0.8
2016-11-15 21:30:00,0.8,0.6,1.0,0.6
2016-10-14 20:30:00,0.6,0.6,-0.2,-0.3
2016-09-15 20:30:00,-0.3,-0.1,0.1,0.0
2016-08-12 20:30:00,0.0,0.4,0.8,0.6
2016-07-15 20:30:00,0.6,0.1,0.2,0.5
2016-06-14 20:30:00,0.5,0.3,1.3,1.3
2016-05-13 20:30:00,1.3,0.8,-0.3,-0.3
2016-04-13 20:30:00,-0.3,0.1,-0.1,-0.1
2016-03-15 20:30:00,-0.1,-0.2,-0.4,0.2
2016-02-12 21:30:00,0.2,0.1,0.2,-0.1
2016-01-15 21:30:00,-0.1,0.1,0.4,0.2
2015-12-11 21:30:00,0.2,0.3,0.1,0.1
2015-11-13 21:30:00,0.1,0.3,0.1,0.1
2015-10-14 20:30:00,0.1,0.2,0.0,0.2
2015-09-15 20:30:00,0.2,0.3,0.7,0.6
2015-08-13 20:30:00,0.6,0.5,0.0,-0.3
2015-07-14 20:30:00,-0.3,0.2,1.0,1.2
2015-06-11 20:30:00,1.2,1.1,0.2,0.0
2015-05-13 20:30:00,0.0,0.2,1.1,0.9
2015-04-14 20:30:00,0.9,1.0,-0.5,-0.6
2015-03-12 20:30:00,-0.6,0.3,-0.8,-0.8
2015-02-12 21:30:00,-0.8,-0.5,-0.9,-0.9
2015-01-14 21:30:00,-0.9,-0.1,0.4,0.7
2014-12-11 21:30:00,0.7,0.4,0.5,0.3
2014-11-14 21:30:00,0.3,0.2,-0.3,-0.3
2014-10-15 20:30:00,-0.3,-0.1,0.6,0.6
2014-09-12 20:30:00,0.6,0.6,0.3,0.0
2014-08-13 20:30:00,0.0,0.2,0.2,0.2
2014-07-15 20:30:00,0.2,0.6,0.5,0.3
2014-06-12 20:30:00,0.3,0.6,0.5,0.1
2014-05-13 20:30:00,0.1,0.4,1.5,1.1
2014-04-14 20:30:00,1.1,0.8,0.7,0.3
2014-03-13 20:30:00,0.3,0.2,-0.6,-0.4
2014-02-13 21:30:00,-0.4,0.3,-0.1,0.2
2014-01-14 21:30:00,0.2,0.1,0.4,0.7
2013-12-12 21:30:00,0.7,0.6,0.6,0.4
2013-11-20 21:30:00,0.4,0.1,0.0,-0.1
2013-10-29 20:30:00,-0.1,0.1,0.2,0.2
2013-09-13 20:30:00,0.2,0.4,0.4,0.2
2013-08-13 20:30:00,0.2,0.3,0.6,0.4
2013-07-15 20:30:00,0.4,0.8,0.5,0.6
2013-06-13 20:30:00,0.6,0.4,0.1,0.1
2013-05-13 20:30:00,0.1,-0.3,-0.5,-0.4
2013-04-12 20:30:00,-0.4,0.1,1.0,1.1
2013-03-13 20:30:00,1.1,0.5,0.2,0.1
2013-02-13 21:30:00,0.1,0.1,0.5,0.5
2013-01-15 21:30:00,0.5,0.2,0.4,0.3
2012-12-13 21:30:00,0.3,0.5,-0.3,-0.3
2012-11-14 21:30:00,-0.3,-0.2,1.3,1.1
2012-10-15 20:30:00,1.1,0.8,1.2,0.9
2012-09-14 20:30:00,0.9,0.7,0.6,0.8
2012-08-14 20:30:00,0.8,0.3,-0.7,-0.5
2012-07-16 20:30:00,-0.5,0.2,-0.2,-0.2
2012-06-13 20:30:00,-0.2,-0.2,-0.2,0.1
2012-05-15 20:30:00,0.1,0.2,0.7,0.8
2012-04-16 20:30:00,0.8,0.3,1.0,1.1
2012-03-13 20:30:00,1.1,1.1,0.6,0.4
2012-02-14 21:30:00,0.4,0.8,0.0,0.1
2012-01-12 21:30:00,0.1,0.3,0.4,0.2
2011-12-13 21:30:00,0.2,0.6,0.6,0.5
2011-11-15 21:30:00,0.5,0.4,1.1,1.1
2011-10-14 20:30:00,1.1,0.5,0.3,0.0
2011-09-14 20:30:00,0.0,0.2,0.3,0.5
2011-08-12 20:30:00,0.5,0.5,0.3,0.1
2011-07-14 20:30:00,0.1,0.0,-0.1,-0.2
2011-06-14 20:30:00,-0.2,-0.7,0.3,0.5
2011-05-12 20:30:00,0.5,0.6,0.9,0.4
2011-04-13 20:30:00,0.4,0.5,1.1,1.0
2011-03-11 21:30:00,1.0,1.0,0.7,0.3
2011-02-15 21:30:00,0.3,0.5,0.5,0.6
2011-01-14 21:30:00,0.6,0.7,0.8,0.8
2010-12-14 21:30:00,0.8,0.5,1.7,1.2
2010-11-15 21:30:00,1.2,0.7,0.7,0.6
2010-10-15 20:30:00,0.6,0.4,0.7,0.4
2010-09-14 20:30:00,0.4,0.3,0.3,0.4
2010-08-13 20:30:00,0.4,0.5,-0.3,-0.5
2010-07-14 20:30:00,-0.5,-0.2,-1.1,-1.2
2010-06-11 20:30:00,-1.2,0.3,0.6,0.4
2010-05-14 20:30:00,0.4,0.3,2.1,1.6
2010-04-14 20:30:00,1.6,1.1,0.5,0.3
2010-03-12 21:30:00,0.3,-0.1,0.1,0.5
2010-02-12 21:30:00,0.5,0.4,-0.1,-0.3
2010-01-14 21:30:00,-0.3,0.4,1.8,1.3
2009-12-11 21:30:00,1.3,0.6,1.1,1.4
2009-11-16 21:30:00,1.4,1.0,-2.3,-1.5
2009-10-14 20:30:00,-1.5,-2.0,2.2,2.7
2009-09-15 20:30:00,2.7,1.8,-0.2,-0.1
2009-08-13 20:30:00,-0.1,0.5,0.8,0.6
2009-07-14 20:30:00,0.6,0.4,0.5,0.5
2009-06-11 20:30:00,0.5,0.4,-0.2,-0.4
2009-05-13 20:30:00,-0.4,0.0,-1.3,-1.1
2009-04-14 20:30:00,-1.1,0.3,-0.1,-0.1
2009-02-12 20:30:00,-0.1,-0.5,1.8,-2.7
2009-01-14 21:30:00,-2.7,-1.2,-1.8,-1.8
2008-12-12 21:30:00,-1.8,-1.9,-2.8,-2.8
2008-11-14 21:30:00,-2.8,-2.0,-1.2,-1.2
2008-10-15 20:30:00,-1.2,-0.6,-0.3,-0.3
2008-09-12 20:30:00,-0.3,0.2,-0.1,-0.1
2008-08-13 20:30:00,-0.1,0.0,0.1,0.1
2008-07-15 20:30:00,0.1,0.4,1.0,1.0
