model,datetime
EIA,2023/12/29 00:00:00
UNE,2023/12/28 21:30:00
UNE,2023/12/21 21:30:00
EIA,2023/12/20 23:30:00
UNE,2023/12/14 21:30:00
ECB,2023/12/14 21:15:00
BOE,2023/12/14 20:00:00
SNB,2023/12/14 16:30:00
FOMC,2023/12/14 03:00:00
EIA,2023/12/13 23:30:00
USCPI,2023/12/12 21:30:00
NF,2023/12/8 21:30:00
UNE,2023/12/7 21:30:00
EIA,2023/12/6 23:30:00
BOC,2023/12/6 23:00:00
RBA,2023/12/5 11:30:00
ISM-M,2023/12/1 23:00:00
UNE,2023/11/30 21:30:00
EIA,2023/11/29 23:30:00
RBNZ,2023/11/29 09:00:00
USPMI,2023/11/24 22:45:00
GEPMI,2023/11/23 16:30:00
EIA,2023/11/22 23:30:00
UNE,2023/11/22 21:30:00
UNE,2023/11/16 21:30:00
EIA,2023/11/15 23:30:00
USCPI,2023/11/14 21:30:00
UNE,2023/11/9 21:30:00
EIA,2023/11/8 23:30:00
RBA,2023/11/7 11:30:00
NF,2023/11/3 20:30:00
UNE,2023/11/2 20:30:00
BOE,2023/11/2 20:00:00
FOMC,2023/11/2 02:00:00
EIA,2023/11/1 22:30:00
ISM-M,2023/11/1 22:00:00
BOJ,2023/10/31 00:00:00
UNE,2023/10/26 20:30:00
ECB,2023/10/26 20:15:00
EIA,2023/10/25 22:30:00
BOC,2023/10/25 22:00:00
USPMI,2023/10/24 21:45:00
GEPMI,2023/10/24 15:30:00
UNE,2023/10/19 20:30:00
EIA,2023/10/18 22:30:00
EIA,2023/10/12 23:00:00
USCPI,2023/10/12 20:30:00
UNE,2023/10/12 20:30:00
NF,2023/10/6 20:30:00
UNE,2023/10/5 20:30:00
EIA,2023/10/4 22:30:00
RBNZ,2023/10/4 09:00:00
RBA,2023/10/3 11:30:00
ISM-M,2023/10/2 22:00:00
UNE,2023/9/28 20:30:00
EIA,2023/9/27 22:30:00
USPMI,2023/9/22 21:45:00
GEPMI,2023/9/22 15:30:00
