发布日期 时间 今值 预测值 前值
2023年8月16日 (七月) 14:00 9.0% 9.0% 10.7%
2023年7月19日 (六月) 14:00 10.7% 10.9% 11.3%
2023年6月21日 (五月) 14:00 11.3% 11.2% 11.4%
2023年5月24日 (四月) 14:00 11.4% 11.2% 13.5%
2023年4月19日 (三月) 14:00 13.5% 13.3% 13.8%
2023年3月22日 (二月) 15:00 13.8% 13.3% 13.4%
2023年2月15日 (一月) 15:00 13.4% 13.2% 13.4%
2023年1月18日 (十二月) 15:00 13.4% 13.6% 14.0%
2022年12月14日 (十一月) 15:00 14.0% 13.9% 14.2%
2022年11月16日 (十月) 15:00 14.2% 13.5% 12.6%
2022年10月19日 (九月) 14:00 12.6% 12.3% 12.3%
2022年9月14日 (八月) 14:00 12.3% 12.4% 12.3%
