发布日期 时间 今值 预测值 前值
2023年8月29日 (八月) 22:00 106.1 116.0 114.0
2023年7月25日 (七月) 22:00 117.0 111.8 110.1
2023年6月27日 (六月) 22:00 109.7 104.0 102.5
2023年5月30日 (五月) 22:00 102.3 99.0 103.7
2023年4月25日 (四月) 22:00 101.3 104.0 104.0
2023年3月28日 (三月) 22:00 104.2 101.0 103.4
2023年2月28日 (二月) 23:00 102.9 108.5 106.0
2023年1月31日 (一月) 23:00 107.1 109.0 109.0
2022年12月21日 (十二月) 23:00 108.3 101.0 101.4
2022年11月29日 (十一月) 23:00 100.2 100.0 102.2
2022年10月25日 (十月) 22:00 102.5 106.5 107.8
2022年9月27日 (九月) 22:00 108.0 104.5 103.6
