发布日期 时间 今值 预测值 前值
2023年8月30日 (第二季度) 20:30     3.80% 4.90%
2023年7月27日 (第二季度) 20:30   3.80% 4.00% 4.90%
2023年6月29日 (第一季度) 20:30 4.90% 5.00% 4.40%
2023年5月25日 (第一季度) 20:30   5.00% 4.90% 4.40%
2023年4月27日 (第一季度) 20:30   4.90% 4.70% 4.40%
2023年3月30日 (第四季度) 20:30 4.40% 4.30% 4.70%
2023年2月23日 (第四季度) 21:30   4.30% 3.90% 4.70%
2023年1月26日 (第四季度) 21:30   3.90% 4.00% 4.70%
2022年12月22日 (第三季度) 21:30 4.70% 4.60% 4.60%
2022年11月30日 (第三季度) 21:30   4.60% 4.50% 4.70%
2022年10月27日 (第三季度) 20:30   4.50% 4.50% 4.70%
2022年9月29日 (第二季度) 20:30 4.70% 4.40% 5.20%
