发布日期 时间 今值 预测值 前值
2023年8月31日 20:30   235.51K 236.75K
2023年8月24日 20:30 236.75K 232.63K 234.50K
2023年8月17日 20:30 234.25K 229.63K 231.50K
2023年8月10日 20:30 231.00K 231.01K 228.25K
2023年8月3日 20:30 228.25K 235.63K 233.75K
2023年7月27日 20:30 233.75K 242.10K 237.50K
2023年7月20日 20:30 237.50K 250.01K 246.75K
2023年7月13日 20:30 246.75K 255.39K 253.50K
2023年7月6日 20:30 253.25K 256.64K 256.75K
2023年6月29日 20:30 257.50K 251.27K 256.00K
2023年6月22日 20:30 255.75K 242.01K 247.25K
2023年6月15日 20:30 246.75K 233.38K 237.50K
