发布日期 时间 今值 预测值 前值
2023年8月29日 (七月) 22:00 8.827M 9.465M 9.165M
2023年8月1日 (六月) 22:00 9.582M 9.610M 9.616M
2023年7月6日 (五月) 22:00 9.824M 9.935M 10.320M
2023年5月31日 (四月) 22:00 10.103M 9.775M 9.745M
2023年5月2日 (三月) 22:00 9.590M 9.775M 9.974M
2023年4月4日 (二月) 22:00 9.931M 10.400M 10.563M
2023年3月8日 (一月) 23:00 10.824M 10.500M 11.234M
2023年2月1日 (十二月) 23:00 11.012M 10.250M 10.440M
2023年1月4日 (十一月) 23:00 10.458M 10.000M 10.512M
2022年11月30日 (十月) 23:00 10.334M 10.300M 10.687M
2022年11月1日 (九月) 22:00 10.717M 10.000M 10.280M
2022年10月4日 (八月) 22:00 10.053M 10.775M 11.170M
