datetime,AUS_CPI_QoQ_Actual,AUS_CPI_QoQ_Srv_Med,AUS_CPI_QoQ_Revised,AUS_CPI_QoQ_Prior
2023-07-26 09:30:00,0.8,1.0,1.4,1.4
2023-04-26 09:30:00,1.4,1.3,1.9,1.9
2023-01-25 08:30:00,1.9,1.6,1.8,1.8
2022-10-26 08:30:00,1.8,1.6,1.8,1.8
2022-07-27 09:30:00,1.8,1.9,2.1,2.1
2022-04-27 09:30:00,2.1,1.7,1.3,1.3
2022-01-25 08:30:00,1.3,1.0,0.8,0.8
2021-10-27 08:30:00,0.8,0.8,0.8,0.8
2021-07-28 09:30:00,0.8,0.7,0.6,0.6
2021-04-28 09:30:00,0.6,0.9,0.9,0.9
2021-01-27 08:30:00,0.9,0.7,1.6,1.6
2020-10-28 08:30:00,1.6,1.5,-1.9,-1.9
2020-07-29 09:30:00,-1.9,-2.0,0.3,0.3
2020-04-29 09:30:00,0.3,0.2,0.7,0.7
2020-01-29 08:30:00,0.7,0.6,0.5,0.5
2019-10-30 08:30:00,0.5,0.5,0.6,0.6
2019-07-31 09:30:00,0.6,0.5,0.0,0.0
2019-04-24 09:30:00,0.0,0.2,0.5,0.5
2019-01-30 08:30:00,0.5,0.4,0.4,0.4
2018-10-31 08:30:00,0.4,0.5,0.4,0.4
2018-07-25 09:30:00,0.4,0.5,0.4,0.4
2018-04-24 09:30:00,0.4,0.5,0.6,0.6
2018-01-31 08:30:00,0.6,0.7,0.6,0.6
2017-10-25 08:30:00,0.6,0.8,0.2,0.2
2017-07-26 09:30:00,0.2,0.4,0.5,0.5
2017-04-26 09:30:00,0.5,0.6,0.5,0.5
2017-01-25 08:30:00,0.5,0.7,0.7,0.7
2016-10-26 08:30:00,0.7,0.5,0.4,0.4
2016-07-27 09:30:00,0.4,0.4,-0.2,-0.2
2016-04-27 09:30:00,-0.2,0.3,0.4,0.4
2016-01-27 08:30:00,0.4,0.3,0.5,0.5
2015-10-28 08:30:00,0.5,0.6,0.7,0.7
2015-07-22 09:30:00,0.7,0.8,0.2,0.2
2015-04-22 09:30:00,0.2,0.2,0.2,0.2
2015-01-28 08:30:00,0.2,0.3,0.5,0.5
2014-10-22 08:30:00,0.5,0.4,0.5,0.5
2014-07-23 09:30:00,0.5,0.6,0.6,0.6
2014-04-23 09:30:00,0.6,0.8,0.8,0.8
2014-01-22 08:30:00,0.8,0.5,1.2,1.2
2013-10-23 08:30:00,1.2,0.8,0.4,0.4
2013-07-24 09:30:00,0.4,0.5,0.4,0.4
2013-04-24 09:30:00,0.4,0.7,0.2,0.2
2013-01-23 08:30:00,0.2,0.4,1.4,1.4
2012-10-24 08:30:00,1.4,1.1,0.5,0.5
2012-07-25 09:30:00,0.5,0.6,0.1,0.1
2012-04-24 09:30:00,0.1,0.6,0.0,0.0
2012-01-25 08:30:00,0.0,0.2,0.6,0.6
2011-10-26 08:30:00,0.6,0.7,0.9,0.9
2011-07-27 09:30:00,0.9,0.7,1.6,1.6
2011-04-27 09:30:00,1.6,1.2,0.4,0.4
2011-01-25 08:30:00,0.4,0.8,0.7,0.7
2010-10-27 08:30:00,0.7,0.8,0.6,0.6
2010-07-28 09:30:00,0.6,1.0,1.6,0.9
2010-04-28 09:30:00,0.9,0.9,0.5,0.5
2010-01-27 08:30:00,0.5,0.4,1.0,1.0
2009-10-28 08:30:00,1.0,0.8,0.5,0.5
2009-07-22 09:30:00,0.5,0.5,0.1,0.1
2009-04-22 09:30:00,0.1,0.5,-0.3,-0.3
2009-01-28 08:30:00,-0.3,-0.4,1.2,1.2
2008-10-22 08:30:00,1.2,1.0,1.5,1.5
2008-07-23 09:30:00,1.5,1.2,1.3,1.3
2008-04-23 09:30:00,1.3,1.1,0.9,
