datetime,AUS_EP_MoM_Actual,AUS_EP_MoM_Srv_Med,AUS_EP_MoM_Revised,AUS_EP_MoM_Prior,Is_P
2023-09-14 09:30:00,None,None,-14.6,-14.6,
2023-08-17 09:30:00,-14.6,15.0,31.6,32.6,
2023-07-20 09:30:00,32.6,15.0,76.6,75.9,
2023-06-15 09:30:00,75.9,15.0,-4.0,-4.3,
2023-05-18 09:30:00,-4.3,25.0,61.1,53.0,
2023-04-13 09:30:00,53.0,20.0,63.6,64.6,
2023-03-16 08:30:00,64.6,48.5,-11.0,-11.5,
2023-02-16 08:30:00,-11.5,20.0,-19.9,-14.6,
2023-01-19 08:30:00,-14.6,22.5,58.2,64.0,
2022-12-15 08:30:00,64.0,19.0,43.1,32.2,
2022-11-17 08:30:00,32.2,15.0,-3.8,0.9,
2022-10-20 08:30:00,0.9,25.0,36.3,33.5,
2022-09-15 09:30:00,33.5,35.0,-41.0,-40.9,
2022-08-18 09:30:00,-40.9,25.0,88.4,88.4,
2022-07-14 09:30:00,88.4,30.0,60.6,60.6,
2022-06-16 09:30:00,60.6,25.0,4.5,4.0,
2022-05-19 09:30:00,4.0,30.0,17.9,17.9,
2022-04-14 09:30:00,17.9,40.0,77.4,77.4,
2022-03-17 08:30:00,77.4,37.0,12.9,12.9,
2022-02-17 08:30:00,12.9,-15.0,64.8,64.8,
2022-01-20 08:30:00,64.8,43.3,366.1,366.1,
2021-12-16 08:30:00,366.1,205.0,-46.3,-46.3,
2021-11-11 08:30:00,-46.3,50.0,-138.0,-138.0,
2021-10-14 08:30:00,-138.0,-137.5,-146.3,-146.3,
2021-09-16 09:30:00,-146.3,-90.0,2.2,2.2,
2021-08-19 09:30:00,2.2,-46.2,29.1,29.1,
2021-07-15 09:30:00,29.1,30.0,115.2,115.2,
2021-06-17 09:30:00,115.2,30.0,-30.6,-30.6,
2021-05-20 09:30:00,-30.6,15.0,77.0,70.7,
2021-04-15 09:30:00,70.7,35.0,88.7,88.7,
2021-03-18 08:30:00,88.7,30.0,29.5,29.1,
2021-02-18 08:30:00,29.1,40.0,50.0,50.0,
2021-01-21 08:30:00,50.0,50.0,90.0,90.0,
2020-12-17 08:30:00,90.0,50.0,178.8,178.8,
2020-11-19 08:30:00,178.8,-30.0,-29.5,-29.5,
2020-10-15 08:30:00,-29.5,-35.0,111.0,111.0,
2020-09-17 09:30:00,111.0,-50.0,114.7,114.7,
2020-08-13 09:30:00,114.7,40.0,210.8,210.8,
2020-07-16 09:30:00,210.8,112.5,-227.7,-227.7,
2020-06-18 09:30:00,-227.7,-125.0,-594.3,-594.3,
2020-05-14 09:30:00,-594.3,-575.0,5.9,5.9,
2020-04-16 09:30:00,5.9,-40.0,26.7,26.7,
2020-03-19 08:30:00,26.7,10.0,13.5,13.5,
2020-02-20 08:30:00,13.5,10.0,28.9,28.9,
2020-01-23 08:30:00,28.9,15.0,39.9,39.9,
2019-12-19 08:30:00,39.9,14.0,-19.0,-19.0,
2019-11-14 08:30:00,-19.0,15.0,14.7,14.7,
2019-10-17 08:30:00,14.7,15.3,34.7,34.7,
2019-09-19 09:30:00,34.7,10.0,41.1,41.1,
2019-08-15 09:30:00,41.1,14.0,0.5,0.5,
2019-07-18 09:30:00,0.5,9.1,42.3,42.3,
2019-06-13 09:30:00,42.3,16.0,28.4,28.4,
2019-05-16 09:30:00,28.4,15.2,25.7,25.7,
2019-04-18 09:30:00,25.7,12.0,4.6,4.6,
2019-03-21 08:30:00,4.6,14.8,39.1,39.1,
2019-02-21 08:30:00,39.1,15.2,21.6,21.6,
2019-01-24 08:30:00,21.6,16.5,37.0,37.0,
2018-12-20 08:30:00,37.0,20.0,32.8,32.8,
2018-11-15 08:30:00,32.8,19.9,7.8,5.6,
2018-10-18 08:30:00,5.6,15.2,44.6,44.0,
2018-09-13 09:30:00,44.0,16.5,-4.3,-3.9,
2018-08-16 09:30:00,-3.9,15.0,58.2,50.9,
2018-07-19 09:30:00,50.9,16.7,13.5,12.0,
2018-06-14 09:30:00,12.0,18.8,18.4,22.6,
2018-05-17 09:30:00,22.6,20.3,-0.7,4.9,
2018-04-19 09:30:00,4.9,20.3,-6.3,17.5,
2018-03-22 08:30:00,17.5,19.8,12.5,16.0,
2018-02-15 08:30:00,16.0,15.3,33.5,34.7,
2018-01-18 08:30:00,34.7,9.0,63.6,61.6,
2017-12-14 08:30:00,61.6,19.2,7.8,3.7,
2017-11-16 08:30:00,3.7,17.5,26.6,19.8,
2017-10-19 08:30:00,19.8,15.0,53.0,54.2,
2017-09-14 09:30:00,54.2,15.0,29.2,27.9,
2017-08-17 09:30:00,27.9,20.0,20.0,14.0,
2017-07-20 09:30:00,14.0,15.0,38.0,42.0,
2017-06-15 09:30:00,42.0,10.0,46.2,37.4,
2017-05-18 09:30:00,37.4,5.0,60.0,60.9,
2017-04-13 09:30:00,60.9,20.0,2.8,-6.4,
2017-03-16 08:30:00,-6.4,16.0,13.5,13.5,
2017-02-16 08:30:00,13.5,10.0,16.3,13.5,
2017-01-19 08:30:00,13.5,10.0,37.1,39.1,
2016-12-15 08:30:00,39.1,20.0,15.2,9.8,
2016-11-17 08:30:00,9.8,20.0,-29.0,-9.8,
2016-10-20 08:30:00,-9.8,15.0,-8.6,-3.9,
2016-09-15 09:30:00,-3.9,15.0,26.2,26.2,
2016-08-18 09:30:00,26.2,11.0,10.8,7.9,
2016-07-14 09:30:00,7.9,10.0,19.2,17.9,
2016-06-16 09:30:00,17.9,15.0,0.9,10.8,
2016-05-19 09:30:00,10.8,12.5,25.7,26.1,
2016-04-14 09:30:00,26.1,20.0,-0.7,0.3,
2016-03-17 08:30:00,0.3,10.0,-7.4,-7.9,
2016-02-18 08:30:00,-7.9,15.0,-0.8,-1.0,
2016-01-14 08:30:00,-1.0,-12.5,75.0,71.4,
2015-12-10 08:30:00,71.4,-10.0,56.1,58.6,
2015-11-12 08:30:00,58.6,15.0,-0.8,-5.1,
2015-10-15 08:30:00,-5.1,5.0,18.0,17.4,
2015-09-10 09:30:00,17.4,5.0,39.2,38.5,
2015-08-06 09:30:00,38.5,10.0,7.0,7.3,
2015-07-09 09:30:00,7.3,-5.0,39.9,42.0,
2015-06-11 09:30:00,42.0,11.0,-13.7,-2.9,
2015-05-07 09:30:00,-2.9,5.0,48.2,37.7,
2015-04-16 09:30:00,37.7,15.0,41.9,15.6,
2015-03-12 08:30:00,15.6,15.0,-14.6,-12.2,
2015-02-12 08:30:00,-12.2,-5.0,42.4,37.4,
2015-01-15 08:30:00,37.4,3.8,44.9,42.7,
2014-12-11 08:30:00,42.7,12.4,13.7,24.1,
