datetime,AUS_GDP_QoQ_Actual,AUS_GDP_QoQ_Srv_Med,AUS_GDP_QoQ_Revised,AUS_GDP_QoQ_Prior
2023-09-06 09:30:00,None,None,0.2,0.2
2023-06-07 09:30:00,0.2,0.3,0.6,0.5
2023-03-01 08:30:00,0.5,0.8,0.7,0.6
2022-12-07 08:30:00,0.6,0.7,0.9,0.9
2022-09-07 09:30:00,0.9,1.0,0.7,0.8
2022-06-01 09:30:00,0.8,0.5,3.6,3.4
2022-03-02 08:30:00,3.4,-2.7,-1.9,-1.9
2021-12-01 08:30:00,-1.9,-2.7,0.7,0.7
2021-09-01 09:30:00,0.7,0.5,1.9,1.8
2021-06-02 09:30:00,1.8,1.5,3.2,3.1
2021-03-03 08:30:00,3.1,2.5,3.4,3.3
2020-12-02 08:30:00,3.3,2.6,-7.0,-7.0
2020-09-02 09:30:00,-7.0,-6.0,-0.3,-0.3
2020-06-03 09:30:00,-0.3,-0.3,0.5,0.5
2020-03-04 08:30:00,0.5,0.3,0.6,0.4
2019-12-04 08:30:00,0.4,0.5,0.5,0.5
2019-09-04 09:30:00,0.5,0.5,0.5,0.4
2019-06-05 09:30:00,0.4,0.5,0.2,0.2
2019-03-06 08:30:00,0.2,0.5,0.3,0.3
2018-12-05 08:30:00,0.3,0.6,0.9,0.9
2018-09-05 09:30:00,0.9,0.8,1.1,1.0
2018-06-06 09:30:00,1.0,0.8,0.5,0.4
2018-03-07 08:30:00,0.4,0.5,0.7,0.6
2017-12-06 08:30:00,0.6,0.7,0.9,0.8
2017-09-06 09:30:00,0.8,0.9,0.3,0.3
2017-06-07 09:30:00,0.3,0.2,1.1,1.1
2017-03-01 08:30:00,1.1,0.7,-0.5,-0.5
2016-12-07 08:30:00,-0.5,0.3,0.6,0.5
2016-09-07 09:30:00,0.5,0.6,1.0,1.1
2016-06-01 09:30:00,1.1,0.8,0.7,0.6
2016-03-02 08:30:00,0.6,0.4,1.1,0.9
2015-12-02 08:30:00,0.9,0.8,0.3,0.2
2015-09-02 09:30:00,0.2,0.4,0.9,0.9
2015-06-03 09:30:00,0.9,0.7,0.5,0.5
2015-03-04 08:30:00,0.5,0.5,0.4,0.3
2014-12-03 08:30:00,0.3,0.7,0.5,0.5
2014-09-03 09:30:00,0.5,0.4,1.1,1.1
2014-06-04 09:30:00,1.1,1.0,0.8,0.8
2014-03-05 08:30:00,0.8,0.7,0.6,0.6
2013-12-04 08:30:00,0.6,0.8,0.7,0.6
2013-09-04 09:30:00,0.6,0.6,0.5,0.6
2013-06-05 09:30:00,0.6,0.8,0.6,0.6
2013-03-06 08:30:00,0.6,0.6,0.7,0.5
2012-12-05 08:30:00,0.5,0.6,0.6,0.6
2012-09-05 09:30:00,0.6,0.7,1.4,1.3
2012-06-06 09:30:00,1.3,0.5,0.6,0.4
2012-03-07 08:30:00,0.4,0.7,0.8,1.0
2011-12-07 08:30:00,1.0,1.2,1.4,1.2
2011-09-07 09:30:00,1.2,1.0,-0.9,-1.2
2011-06-01 09:30:00,-1.2,-0.7,0.8,0.7
2011-03-02 08:30:00,0.7,0.6,0.1,0.2
2010-12-01 08:30:00,0.2,0.5,1.1,1.2
2010-09-01 09:30:00,1.2,0.9,0.7,0.5
2010-06-02 09:30:00,0.5,0.6,1.1,0.9
2010-03-03 08:30:00,0.9,0.9,0.3,0.2
2009-12-16 08:30:00,0.2,0.4,0.6,0.6
2009-09-02 09:30:00,0.6,0.6,0.4,0.4
2009-06-03 09:30:00,0.4,-0.2,-0.6,-0.5
2009-03-04 08:30:00,-0.5,0.1,0.1,0.1
2008-12-03 08:30:00,0.1,0.2,0.3,0.3
2008-09-03 09:30:00,0.3,0.4,0.6,0.6
2008-06-04 10:30:00,0.6,0.3,0.6,0.6
2008-03-05 08:30:00,0.6,0.8,1.0,
