datetime,AUS_GDP_YoY_Actual,AUS_GDP_YoY_Srv_Med,AUS_GDP_YoY_Revised,AUS_GDP_YoY_Prior
2023-09-06 09:30:00,None,None,2.3,2.3
2023-06-07 09:30:00,2.3,2.4,2.6,2.7
2023-03-01 08:30:00,2.7,2.7,5.9,5.9
2022-12-07 08:30:00,5.9,6.2,3.2,3.6
2022-09-07 09:30:00,3.6,3.5,3.3,3.3
2022-06-01 09:30:00,3.3,2.9,4.4,4.2
2022-03-02 08:30:00,4.2,3.0,4.0,3.9
2021-12-01 08:30:00,3.9,3.0,9.5,9.6
2021-09-01 09:30:00,9.6,9.2,1.3,1.1
2021-06-02 09:30:00,1.1,0.6,-1.0,-1.1
2021-03-03 08:30:00,-1.1,-1.8,-3.7,-3.8
2020-12-02 08:30:00,-3.8,-4.4,-6.4,-6.3
2020-09-02 09:30:00,-6.3,-5.3,1.6,1.4
2020-06-03 09:30:00,1.4,1.4,2.2,2.2
2020-03-04 08:30:00,2.2,1.9,1.7,1.7
2019-12-04 08:30:00,1.7,1.7,1.4,1.4
2019-09-04 09:30:00,1.4,1.4,1.8,1.8
2019-06-05 09:30:00,1.8,1.8,2.3,2.3
2019-03-06 08:30:00,2.3,2.5,2.8,2.8
2018-12-05 08:30:00,2.8,3.3,3.4,3.4
2018-09-05 09:30:00,3.4,2.8,3.1,3.1
2018-06-06 09:30:00,3.1,2.8,2.4,2.4
2018-03-07 08:30:00,2.4,2.5,2.9,2.8
2017-12-06 08:30:00,2.8,3.0,1.8,1.8
2017-09-06 09:30:00,1.8,1.9,1.7,1.7
2017-06-07 09:30:00,1.7,1.5,2.4,2.4
2017-03-01 08:30:00,2.4,1.9,1.8,1.8
2016-12-07 08:30:00,1.8,2.5,3.3,3.3
2016-09-07 09:30:00,3.3,3.4,3.1,3.1
2016-06-01 09:30:00,3.1,2.8,2.9,3.0
2016-03-02 08:30:00,3.0,2.5,2.7,2.5
2015-12-02 08:30:00,2.5,2.4,1.9,2.0
2015-09-02 09:30:00,2.0,2.2,2.5,2.3
2015-06-03 09:30:00,2.3,2.1,2.5,2.5
2015-03-04 08:30:00,2.5,2.5,2.7,2.7
2014-12-03 08:30:00,2.7,3.1,2.7,3.1
2014-09-03 09:30:00,3.1,3.0,3.5,3.5
2014-06-04 09:30:00,3.5,3.3,2.7,2.8
2014-03-05 08:30:00,2.8,2.5,2.3,2.3
2013-12-04 08:30:00,2.3,2.6,2.4,2.6
2013-09-04 09:30:00,2.6,2.5,2.5,2.5
2013-06-05 09:30:00,2.5,2.7,3.1,
