datetime,AUS_PPI_QoQ_Actual,AUS_PPI_QoQ_Srv_Med,AUS_PPI_QoQ_Revised,AUS_PPI_QoQ_Prior
2023-07-28 09:30:00,0.5,0.9,0.7,1.0
2023-04-28 09:30:00,1.0,0.8,0.7,0.7
2023-01-27 08:30:00,0.7,1.7,1.9,1.9
2022-10-28 08:30:00,1.9,None,1.4,1.4
2022-07-29 09:30:00,1.4,1.4,1.6,1.6
2022-04-29 09:30:00,1.6,1.5,1.3,1.3
2022-01-28 08:30:00,1.3,0.9,1.1,1.1
2021-10-29 08:30:00,1.1,None,0.7,0.7
2021-07-30 09:30:00,0.7,None,0.4,0.4
2021-04-30 09:30:00,0.4,None,0.5,0.5
2021-01-29 08:30:00,0.5,None,0.4,0.4
2020-10-30 08:30:00,0.4,None,-1.2,-1.2
2020-07-31 09:30:00,-1.2,,0.2,0.2
2020-05-01 09:30:00,0.2,,0.3,0.3
2020-01-31 08:30:00,0.3,0.3,0.4,0.4
2019-11-01 08:30:00,0.4,0.3,0.4,0.4
2019-08-02 09:30:00,0.4,0.2,0.4,0.4
2019-04-26 09:30:00,0.4,0.4,0.5,0.5
2019-02-01 08:30:00,0.5,0.6,0.8,0.8
2018-11-02 08:30:00,0.8,0.2,0.3,0.3
2018-07-27 09:30:00,0.3,0.4,0.5,0.5
2018-04-27 09:30:00,0.5,0.4,0.6,0.6
2018-02-02 08:30:00,0.6,0.2,0.2,0.2
2017-10-27 08:30:00,0.2,0.4,0.5,0.5
2017-07-28 09:30:00,0.5,0.6,0.5,0.5
2017-04-28 09:30:00,0.5,0.3,0.5,0.5
2017-01-27 08:30:00,0.5,0.2,0.3,0.3
2016-10-28 08:30:00,0.3,0.6,0.1,0.1
2016-07-29 09:30:00,0.1,0.2,-0.2,-0.2
2016-04-29 09:30:00,-0.2,0.2,0.3,0.3
2016-01-29 08:30:00,0.3,0.6,0.9,0.9
2015-10-30 08:30:00,0.9,,0.3,0.3
2015-07-31 09:30:00,0.3,0.6,0.5,0.5
2015-05-01 09:30:00,0.5,0.2,0.1,0.1
2015-01-30 08:30:00,0.1,0.3,0.2,0.2
2014-10-31 08:30:00,0.2,0.2,-0.1,-0.1
2014-08-01 09:30:00,-0.1,0.7,0.9,0.9
2014-05-02 09:30:00,0.9,0.5,0.2,0.2
2014-01-31 08:30:00,0.2,0.9,1.3,1.3
2013-11-01 08:30:00,1.3,0.7,0.1,0.1
2013-08-02 09:30:00,0.1,0.6,0.3,0.3
2013-05-03 09:30:00,0.3,0.2,0.2,0.2
2013-02-01 08:30:00,0.2,0.4,0.6,0.6
2012-11-02 08:30:00,0.6,1.2,0.5,0.5
2012-07-23 09:30:00,0.5,0.3,-0.3,-0.3
2012-04-23 09:30:00,-0.3,0.4,0.3,0.3
2012-01-23 08:30:00,0.3,0.4,0.6,0.6
2011-10-24 08:30:00,0.6,0.8,0.8,0.8
2011-07-25 09:30:00,0.8,0.5,1.2,1.2
2011-04-21 09:30:00,1.2,1.0,0.1,0.1
2011-01-24 08:30:00,0.1,0.5,1.3,1.3
2010-10-25 08:30:00,1.3,0.6,0.3,0.3
2010-07-26 09:30:00,0.3,1.5,1.0,1.0
2010-04-27 09:30:00,1.0,0.7,-0.4,-0.4
2010-01-25 08:30:00,-0.4,0.1,0.1,0.1
2009-10-26 08:30:00,0.1,0.3,-0.8,-0.8
2009-07-20 09:30:00,-0.8,-0.2,-0.4,-0.4
2009-04-20 09:30:00,-0.4,0.6,1.3,1.3
2009-01-27 08:30:00,1.3,0.4,2.0,2.0
2008-10-20 08:30:00,2.0,0.9,1.0,1.0
2008-07-21 09:30:00,1.0,1.6,1.9,1.9
2008-04-21 09:30:00,1.9,1.0,0.6,
