datetime,AUS_RS_MoM_Actual,AUS_RS_MoM_Srv_Med,AUS_RS_MoM_Revised,AUS_RS_MoM_Prior,Is_P
2023-08-28 09:30:00,0.5,0.3,-0.8,-0.8,1.0
2023-08-03 09:30:00,-0.8,-0.8,0.8,0.7,0.0
2023-07-28 09:30:00,-0.8,0.0,0.8,0.7,1.0
2023-07-05 09:30:00,0.7,0.7,0.0,0.0,0.0
2023-06-29 09:30:00,0.7,0.1,0.0,0.0,1.0
2023-06-01 09:30:00,0.0,0.0,0.4,0.4,0.0
2023-05-26 09:30:00,0.0,0.3,0.4,0.4,1.0
2023-05-09 09:30:00,0.4,0.4,0.2,0.2,0.0
2023-05-03 09:30:00,0.4,0.3,0.2,0.2,1.0
2023-04-03 09:30:00,0.2,0.1,1.8,1.9,0.0
2023-03-28 08:30:00,0.2,0.1,1.8,1.9,1.0
2023-03-07 08:30:00,1.9,1.9,-4.0,-3.9,0.0
2023-02-28 08:30:00,1.9,1.5,-3.9,-3.9,1.0
2023-02-06 08:30:00,-3.9,-3.9,1.7,1.4,0.0
2023-01-31 08:30:00,-3.9,-0.3,1.4,-0.2,1.0
2023-01-11 08:30:00,1.4,0.6,0.4,-0.2,0.0
2022-12-02 08:30:00,-0.2,-0.2,0.6,0.6,0.0
2022-11-28 08:30:00,-0.2,0.5,0.6,0.6,1.0
2022-11-04 08:30:00,0.6,0.6,0.6,0.6,0.0
2022-10-31 08:30:00,0.6,0.6,0.6,0.6,1.0
2022-10-05 08:30:00,0.6,0.6,1.3,1.3,0.0
2022-09-28 09:30:00,0.6,0.4,1.3,1.3,1.0
2022-09-05 09:30:00,1.3,1.3,0.2,0.2,0.0
2022-08-29 09:30:00,1.3,0.3,0.2,0.2,1.0
2022-08-03 09:30:00,0.2,0.2,0.9,0.9,0.0
2022-07-28 09:30:00,0.2,0.5,0.9,0.9,1.0
2022-07-05 09:30:00,0.9,0.9,0.9,0.9,0.0
2022-06-29 09:30:00,0.9,0.4,0.9,1.6,1.0
2022-06-02 09:30:00,0.9,0.9,1.6,0.9,0.0
2022-05-27 09:30:00,0.9,0.9,1.6,1.8,0.0
2022-05-04 09:30:00,1.6,0.6,1.8,1.8,1.0
2022-04-04 09:30:00,1.8,1.8,1.6,1.8,0.0
2022-03-29 08:30:00,1.8,1.0,1.8,1.8,1.0
2022-03-04 08:30:00,1.8,1.8,-4.4,-4.4,0.0
2022-02-28 08:30:00,1.8,0.4,-4.4,-4.4,1.0
2022-02-07 08:30:00,-4.4,-4.4,7.3,7.3,0.0
2022-02-01 08:30:00,-4.4,3.9,7.3,4.9,1.0
2022-01-11 08:30:00,7.3,3.9,4.9,4.9,0.0
2021-12-02 08:30:00,4.9,4.9,1.3,1.3,0.0
2021-11-26 08:30:00,4.9,2.5,1.3,1.3,1.0
2021-11-04 08:30:00,1.3,1.3,-1.7,-1.7,0.0
2021-10-29 08:30:00,1.3,0.2,-1.7,-1.7,1.0
2021-10-05 08:30:00,-1.7,-1.7,-2.7,-2.7,0.0
2021-09-28 09:30:00,-1.7,-2.5,-2.7,-2.7,1.0
2021-09-03 09:30:00,-2.7,-2.7,-1.8,-1.8,0.0
2021-08-27 09:30:00,-2.7,-2.3,-1.8,-1.8,1.0
2021-08-04 09:30:00,-1.8,-1.8,-1.8,0.4,0.0
2021-07-21 09:30:00,-1.8,-0.5,0.4,0.1,1.0
2021-07-05 09:30:00,0.4,0.1,1.1,1.1,0.0
2021-06-21 09:30:00,0.1,1.1,1.1,1.1,1.0
2021-06-03 09:30:00,1.1,1.1,1.1,1.3,0.0
2021-05-21 09:30:00,1.1,,1.3,1.4,1.0
2021-05-10 09:30:00,1.3,1.4,-0.8,-0.8,0.0
2021-04-21 09:30:00,1.4,1.0,-0.8,-1.1,1.0
2021-04-01 08:30:00,-0.8,-1.1,0.3,0.5,0.0
2021-03-19 08:30:00,-1.1,0.4,0.3,0.6,1.0
2021-03-04 08:30:00,0.5,0.6,-4.1,-4.1,0.0
2021-02-19 08:30:00,0.6,2.0,-4.1,-4.2,1.0
2021-02-05 08:30:00,-4.1,,-4.2,7.1,0.0
2021-01-22 08:30:00,-4.2,,7.1,7.0,1.0
2021-01-11 08:30:00,7.1,7.0,1.4,1.4,0.0
2020-12-22 08:30:00,7.0,-0.6,1.4,1.6,1.0
2020-12-04 08:30:00,1.4,1.6,-1.1,-1.1,0.0
2020-11-20 08:30:00,1.6,-1.5,-1.1,3.3,1.0
2020-11-04 08:30:00,-1.1,-1.5,-4.0,-4.0,0.0
2020-10-02 09:30:00,-4.0,-4.2,3.2,3.2,0.0
2020-09-04 09:30:00,3.2,3.3,2.7,2.7,0.0
2020-08-21 09:30:00,3.3,-2.7,2.7,2.4,1.0
2020-08-04 09:30:00,2.7,2.4,16.9,16.9,0.0
2020-07-22 09:30:00,2.4,7.1,16.9,16.3,1.0
2020-07-03 09:30:00,16.9,16.3,-17.7,-17.7,0.0
2020-06-19 09:30:00,16.3,33.6,-17.7,-17.9,1.0
