datetime,BOC_RATE_Actual,BOC_RATE_Srv_Med,BOC_RATE_Revised,BOC_RATE_Prior
2023-09-06 22:00:00,None,None,5.00,5.00
2023-07-12 22:00:00,5.00,5.00,4.75,4.75
2023-06-07 22:00:00,4.75,4.50,4.50,4.50
2023-04-12 22:00:00,4.50,4.50,4.50,4.50
2023-03-08 23:00:00,4.50,4.50,4.50,4.50
2023-01-25 23:00:00,4.50,4.50,4.25,4.25
2022-12-07 23:00:00,4.25,4.25,3.75,3.75
2022-10-26 22:00:00,3.75,4.00,3.25,3.25
2022-09-07 22:00:00,3.25,3.25,2.50,2.50
2022-07-13 22:00:00,2.50,2.25,1.50,1.50
2022-06-01 22:00:00,1.50,1.50,1.00,1.00
2022-04-13 22:00:00,1.00,1.00,0.50,0.5
2022-03-02 23:00:00,0.5,0.5,0.25,0.25
2022-01-26 23:00:00,0.25,0.25,0.25,0.25
2021-12-08 23:00:00,0.25,0.25,0.25,0.25
2021-10-27 22:00:00,0.25,0.25,0.25,0.25
2021-09-08 22:00:00,0.25,0.25,0.25,0.25
2021-07-14 22:00:00,0.25,0.25,0.25,0.25
2021-06-09 22:00:00,0.25,0.25,0.25,0.25
2021-04-21 22:00:00,0.25,0.25,0.25,0.25
2021-03-10 23:00:00,0.25,0.25,0.25,0.25
2021-01-20 23:00:00,0.25,0.25,0.25,0.25
2020-12-09 23:00:00,0.25,0.25,0.25,0.25
2020-10-28 22:00:00,0.25,0.25,0.25,0.25
2020-09-09 22:00:00,0.25,0.25,0.25,0.25
2020-07-15 22:00:00,0.25,0.25,0.25,0.25
2020-06-03 22:00:00,0.25,0.25,0.25,0.25
2020-04-15 22:00:00,0.25,0.25,0.25,0.25
2020-03-27 21:00:00,0.25,,0.75,0.75
2020-03-13 23:00:00,0.75,1.75,1.25,1.25
2020-03-04 23:00:00,1.25,1.75,1.75,1.75
2020-01-22 23:00:00,1.75,1.75,1.75,1.75
2019-12-04 23:00:00,1.75,1.75,1.75,1.75
2019-10-30 22:00:00,1.75,1.75,1.75,1.75
2019-09-04 22:00:00,1.75,1.75,1.75,1.75
2019-07-10 22:00:00,1.75,1.75,1.75,1.75
2019-05-29 22:00:00,1.75,1.75,1.75,1.75
2019-04-24 22:00:00,1.75,1.75,1.75,1.75
2019-03-06 23:00:00,1.75,1.75,1.75,1.75
2019-01-09 23:00:00,1.75,1.75,1.75,1.75
2018-12-05 23:00:00,1.75,1.75,1.75,1.75
2018-10-24 22:00:00,1.75,1.75,1.5,1.5
2018-09-05 22:00:00,1.5,1.5,1.5,1.5
2018-07-11 22:00:00,1.5,1.5,1.25,1.25
2018-05-30 22:00:00,1.25,1.25,1.25,1.25
2018-04-18 22:00:00,1.25,1.25,1.25,1.25
2018-03-07 23:00:00,1.25,1.25,1.25,1.25
2018-01-17 23:00:00,1.25,1.25,1.0,1.0
2017-12-06 23:00:00,1.0,1,1.0,1.0
2017-10-25 22:00:00,1.0,1,1.0,1.0
2017-09-06 22:00:00,1.0,0.75,0.75,0.75
2017-07-12 22:00:00,0.75,0.75,0.5,0.5
2017-05-24 22:00:00,0.5,0.5,0.5,0.5
2017-04-12 22:00:00,0.5,0.5,0.5,0.5
2017-03-01 23:00:00,0.5,0.5,0.5,0.5
2017-01-18 23:00:00,0.5,0.5,0.5,0.5
2016-12-07 23:00:00,0.5,0.5,0.5,0.5
2016-10-19 22:00:00,0.5,0.5,0.5,0.5
2016-09-07 22:00:00,0.5,0.5,0.5,0.5
2016-07-13 22:00:00,0.5,0.5,0.5,0.5
2016-05-25 22:00:00,0.5,0.5,0.5,0.5
2016-04-13 22:00:00,0.5,0.5,0.5,0.5
2016-03-09 23:00:00,0.5,0.5,0.5,0.5
2016-01-20 23:00:00,0.5,0.5,0.5,0.5
2015-12-02 23:00:00,0.5,0.5,0.5,0.5
2015-10-21 22:00:00,0.5,0.5,0.5,0.5
2015-09-09 22:00:00,0.5,0.5,0.5,0.5
2015-07-15 22:00:00,0.5,0.75,0.75,0.75
2015-05-27 22:00:00,0.75,0.75,0.75,0.75
2015-04-15 22:00:00,0.75,0.75,0.75,0.75
2015-03-04 23:00:00,0.75,0.75,0.75,0.75
2015-01-21 23:00:00,0.75,1,1.0,1.0
2014-12-03 23:00:00,1.0,1,1.0,1.0
2014-10-22 22:00:00,1.0,1,1.0,1.0
2014-09-03 22:00:00,1.0,1,1.0,1.0
2014-07-16 22:00:00,1.0,1,1.0,1.0
2014-06-04 22:00:00,1.0,1,1.0,1.0
2014-04-16 22:00:00,1.0,1,1.0,1.0
2014-03-05 23:00:00,1.0,1,1.0,1.0
2014-01-22 23:00:00,1.0,1,1.0,1.0
2013-12-04 23:00:00,1.0,1,1.0,1.0
2013-10-23 22:00:00,1.0,1,1.0,1.0
2013-09-04 22:00:00,1.0,1,1.0,1.0
2013-07-17 22:00:00,1.0,1,1.0,1.0
2013-05-29 22:00:00,1.0,1,1.0,1.0
2013-04-17 22:00:00,1.0,1,1.0,1.0
2013-03-06 23:00:00,1.0,1,1.0,1.0
2013-01-23 23:00:00,1.0,1,1.0,1.0
2012-12-04 22:00:00,1.0,1,1.0,1.0
2012-10-23 21:00:00,1.0,1,1.0,1.0
2012-09-05 21:00:00,1.0,1,1.0,1.0
2012-07-17 21:00:00,1.0,1,1.0,1.0
2012-06-05 21:00:00,1.0,1,1.0,1.0
2012-04-17 21:00:00,1.0,1,1.0,1.0
2012-03-08 22:00:00,1.0,1,1.0,1.0
2012-01-17 22:00:00,1.0,1,1.0,1.0
2011-12-06 22:00:00,1.0,1,1.0,1.0
2011-10-25 21:00:00,1.0,1,1.0,1.0
2011-09-07 21:00:00,1.0,1,1.0,1.0
2011-07-19 21:00:00,1.0,1,1.0,1.0
2011-05-31 21:00:00,1.0,1,1.0,1.0
2011-04-12 21:00:00,1.0,1,1.0,1.0
2011-03-01 22:00:00,1.0,1,1.0,1.0
2011-01-18 22:00:00,1.0,1,1.0,1.0
2010-12-07 22:00:00,1.0,1,1.0,1.0
2010-10-19 21:00:00,1.0,1,1.0,1.0
2010-09-08 21:00:00,1.0,1,0.75,0.75
2010-07-20 21:00:00,0.75,0.75,0.5,0.5
2010-06-01 21:00:00,0.5,0.5,0.25,0.25
2010-04-20 21:00:00,0.25,0.25,0.25,0.25
2010-03-02 22:00:00,0.25,0.25,0.25,0.25
2010-01-19 22:00:00,0.25,0.25,0.25,0.25
2009-12-08 22:00:00,0.25,0.25,0.25,0.25
2009-10-20 21:00:00,0.25,0.25,0.25,0.25
2009-09-10 21:00:00,0.25,0.25,0.25,0.25
2009-07-21 21:00:00,0.25,0.25,0.25,0.25
2009-06-04 21:00:00,0.25,0.25,0.25,0.25
2009-04-21 21:00:00,0.25,0.5,0.5,0.5
2009-03-03 22:00:00,0.5,0.5,1.0,1.0
2009-01-20 22:00:00,1.0,1,1.5,1.5
2008-12-09 22:00:00,1.5,1.75,2.25,2.25
2008-10-21 21:00:00,2.25,2,2.5,2.5
2008-10-08 19:00:00,2.5,,3.0,3.0
2008-09-03 21:00:00,3.0,3,3.0,3.0
2008-07-15 21:00:00,3.0,3,3.0,3.0
2008-06-10 22:00:00,3.0,,3.0,3.0
2008-04-22 21:00:00,3.0,3,3.5,3.5
2008-03-04 22:00:00,3.5,3.75,4.0,4.0
2008-01-22 08:00:00,4.0,,4.25,4.5
2007-12-01 17:00:00,4.5,,4.5,4.5
2007-11-01 17:00:00,4.5,,4.5,4.5
2007-10-01 17:00:00,4.5,,4.5,4.5
2007-09-01 17:00:00,4.5,,4.5,4.5
2007-08-01 17:00:00,4.5,,4.25,4.25
2007-07-01 17:00:00,4.25,,4.25,4.25
2007-06-01 17:00:00,4.25,,4.25,4.25
2007-05-01 17:00:00,4.25,,4.25,4.25
2007-04-01 17:00:00,4.25,,4.25,4.25
2007-03-01 17:00:00,4.25,,4.25,4.25
2007-02-01 17:00:00,4.25,,4.25,4.25
2007-01-01 17:00:00,4.25,,4.25,4.25
2006-12-01 17:00:00,4.25,,4.25,4.25
2006-11-01 17:00:00,4.25,,4.25,4.25
2006-10-01 17:00:00,4.25,,4.25,4.25
2006-09-01 17:00:00,4.25,,4.25,4.25
2006-08-01 17:00:00,4.25,,4.25,4.25
2006-07-01 17:00:00,4.25,,4.25,4.25
2006-06-01 17:00:00,4.25,,4.0,4.0
2006-05-01 17:00:00,4.0,,3.75,3.75
2006-04-01 17:00:00,3.75,,3.5,3.5
2006-03-01 17:00:00,3.5,,3.5,3.5
2006-02-01 17:00:00,3.5,,3.25,3.25
2006-01-01 17:00:00,3.25,,3.0,3.0
2005-12-01 17:00:00,3.0,,3.0,3.0
2005-11-01 17:00:00,3.0,,2.75,2.75
2005-10-01 17:00:00,2.75,,2.5,2.5
2005-09-01 17:00:00,2.5,,2.5,2.5
2005-08-01 17:00:00,2.5,,2.5,2.5
2005-07-01 17:00:00,2.5,,2.5,2.5
2005-06-01 17:00:00,2.5,,2.5,2.5
2005-05-01 17:00:00,2.5,,2.5,2.5
2005-04-01 17:00:00,2.5,,2.5,2.5
2005-03-01 17:00:00,2.5,,2.5,2.5
2005-02-01 17:00:00,2.5,,2.5,2.5
2005-01-01 17:00:00,2.5,,2.5,2.5
2004-12-01 17:00:00,2.5,,2.5,2.5
2004-11-01 17:00:00,2.5,,2.25,2.25
2004-10-01 17:00:00,2.25,,2.0,2.0
2004-09-01 17:00:00,2.0,,2.0,2.0
2004-08-01 17:00:00,2.0,,2.0,2.0
2004-07-01 17:00:00,2.0,,2.0,2.0
2004-06-01 17:00:00,2.0,,2.0,2.0
2004-05-01 17:00:00,2.0,,2.25,2.25
2004-04-01 17:00:00,2.25,,2.5,2.5
2004-03-01 17:00:00,2.5,,2.5,2.5
2004-02-01 17:00:00,2.5,,2.75,2.75
2004-01-01 17:00:00,2.75,,2.75,2.75
2003-12-01 17:00:00,2.75,,2.75,2.75
