datetime,BOE_MPCSC_MoM_Actual,BOE_MPCSC_MoM_Srv_Med,BOE_MPCSC_MoM_Revised,BOE_MPCSC_MoM_Prior
2023-08-03 19:00:00,0,0,0,0
2023-06-22 19:00:00,0,0,0,0
2023-05-11 19:00:00,0,0,0,0
2023-03-23 20:00:00,0,None,0,0
2023-02-02 20:00:00,0,0,0,0
2022-12-15 20:00:00,0,0,0,0
2022-11-03 20:00:00,0,0,0,0
2022-09-22 19:00:00,0,0,0,0
2022-08-04 19:00:00,0,0,0,0
2022-06-16 19:00:00,0,0,0,0
2022-05-05 19:00:00,0,0,0,0
2022-03-17 20:00:00,0,0,0,0
2022-02-03 20:00:00,0,0,0,0
2021-12-16 20:00:00,0,0,0,0
2021-11-04 20:00:00,0,0,0,0
2021-09-23 19:00:00,0,,0,0
2021-08-05 19:00:00,0,,0,0
2021-06-24 19:00:00,0,0,0,0
2021-05-06 19:00:00,0,,0,0
2021-03-18 20:00:00,0,,0,0
2021-02-04 20:00:00,0,,0,0
2020-12-17 20:00:00,0,0,0,0
2020-11-05 15:00:00,0,0,0,0
2020-09-17 19:00:00,0,0,0,0
2020-08-06 14:00:00,0,,0,0
2020-06-18 19:00:00,0,,0,0
2020-05-07 14:00:00,0,,2,0
2020-03-26 20:00:00,0,3,2,2
2020-01-30 20:00:00,2,3,2,2
2019-12-19 20:00:00,2,2,2,2
2019-11-07 20:00:00,2,,0,0
2019-09-19 19:00:00,0,,0,0
2019-08-01 19:00:00,0,0,0,0
2019-06-20 19:00:00,0,0,0,0
2019-05-02 19:00:00,0,0,0,0
2019-03-21 20:00:00,0,0,0,0
2019-02-07 20:00:00,0,0,0,0
2018-12-20 20:00:00,0,0,0,0
2018-11-01 20:00:00,0,0,0,0
2018-09-13 19:00:00,0,0,0,0
2018-08-02 19:00:00,0,0,0,0
2018-06-21 19:00:00,0,0,0,0
2018-05-10 19:00:00,0,,0,0
2018-03-22 20:00:00,0,0,0,0
2018-02-08 20:00:00,0,0,0,0
2017-12-14 20:00:00,0,0,0,0
2017-11-02 20:00:00,0,0,0,0
2017-09-14 19:00:00,0,0,0,0
2017-08-03 19:00:00,0,0,0,0
2017-06-15 19:00:00,0,0,0,0
2017-05-11 19:00:00,0,0,0,0
2017-03-16 20:00:00,0,0,0,0
2017-02-02 20:00:00,0,0,0,0
2016-12-15 20:00:00,0,0,0,0
2016-11-03 20:00:00,0,0,0,0
2016-09-15 19:00:00,0,0,9,9
2016-08-04 19:00:00,9,8,1,1
2016-07-14 19:00:00,1,3,0,0
2016-06-16 19:00:00,0,0,0,0
2016-05-12 19:00:00,0,0,0,0
2016-04-14 19:00:00,0,0,0,0
2016-03-17 20:00:00,0,0,0,0
2016-02-04 20:00:00,0,0,0,0
2016-01-14 20:00:00,0,0,0,0
2015-12-10 20:00:00,0,0,0,0
2015-11-05 20:00:00,0,0,0,0
2015-10-08 19:00:00,0,0,0,0
2015-09-10 19:00:00,0,0,0,0
2015-08-06 19:00:00,0,0,0,0
2015-07-22 16:30:00,0,0,0,0
2015-06-17 16:30:00,0,0,0,0
2015-05-20 16:30:00,0,0,0,0
2015-04-22 16:30:00,0,0,0,0
2015-03-18 17:30:00,0,0,0,0
2015-02-18 17:30:00,0,0,0,0
2015-01-21 17:30:00,0,0,0,0
2014-12-17 17:30:00,0,0,0,0
2014-11-19 17:30:00,0,0,0,0
2014-10-22 16:30:00,0,0,0,0
2014-09-17 16:30:00,0,0,0,0
2014-08-20 16:30:00,0,0,0,
