datetime,CAD_EC_MoM_Actual,CAD_EC_MoM_Srv_Med,CAD_EC_MoM_Revised,CAD_EC_MoM_Prior
2023-09-08 20:30:00,None,None,-6.4,-6.4
2023-08-04 20:30:00,-6.4,21.1,59.9,59.9
2023-07-07 20:30:00,59.9,20.0,-17.3,-17.3
2023-06-09 20:30:00,-17.3,23.2,41.4,41.4
2023-05-05 20:30:00,41.4,20.0,34.7,34.7
2023-04-06 20:30:00,34.7,12.0,21.8,21.8
2023-03-10 21:30:00,21.8,10.0,150.0,150.0
2023-02-10 21:30:00,150.0,15.0,69.2,104.0
2023-01-06 21:30:00,104.0,8.0,10.1,10.1
2022-12-02 21:30:00,10.1,5.0,108.3,108.3
2022-11-04 20:30:00,108.3,10.0,21.1,21.1
2022-10-07 20:30:00,21.1,20.0,-39.7,-39.7
2022-09-09 20:30:00,-39.7,15,-30.6,-30.6
2022-08-05 20:30:00,-30.6,20,-43.2,-43.2
2022-07-08 20:30:00,-43.2,23.5,39.8,39.8
2022-06-10 20:30:00,39.8,30,15.3,15.3
2022-05-06 20:30:00,15.3,55,72.5,72.5
2022-04-08 20:30:00,72.5,80,336.6,336.6
2022-03-11 21:30:00,336.6,160,-200.1,-200.1
2022-02-04 21:30:00,-200.1,-117.5,78.6,54.7
2022-01-07 21:30:00,54.7,27.5,153.7,153.7
2021-12-03 21:30:00,153.7,35,31.2,31.2
2021-11-05 20:30:00,31.2,50,157.1,157.1
2021-10-08 20:30:00,157.1,65,90.2,90.2
2021-09-10 20:30:00,90.2,100,94.0,94
2021-08-06 20:30:00,94,177.5,230.7,230.7
2021-07-09 20:30:00,230.7,195,-68.0,-68
2021-06-04 20:30:00,-68,-20,-207.1,-207.1
2021-05-07 20:30:00,-207.1,-175,303.1,303.1
2021-04-09 20:30:00,303.1,100,259.2,259.2
2021-03-12 21:30:00,259.2,75,-212.8,-212.8
2021-02-05 21:30:00,-212.8,-47.5,-68.2,-62.6
2021-01-08 21:30:00,-62.6,-27.5,62.1,62.1
2020-12-04 21:30:00,62.1,20,83.6,83.6
2020-11-06 21:30:00,83.6,100,378.2,378.2
2020-10-09 20:30:00,378.2,156.6,245.8,245.8
2020-09-04 20:30:00,245.8,275,418.5,418.5
2020-08-07 20:30:00,418.5,400,952.9,952.9
2020-07-10 20:30:00,952.9,700,289.6,289.6
2020-06-05 20:30:00,289.6,-500,-1993.8,-1993.8
2020-05-08 20:30:00,-1993.8,-4000,-1010.7,-1010.7
2020-04-09 20:30:00,-1010.7,-350,30.3,30.3
2020-03-06 21:30:00,30.3,10,34.5,34.5
2020-02-07 21:30:00,34.5,15,-2.8,35.2
2020-01-10 21:30:00,35.2,25,-71.2,-71.2
2019-12-06 21:30:00,-71.2,10,-1.8,-1.8
2019-11-08 21:30:00,-1.8,15.9,53.7,53.7
2019-10-11 20:30:00,53.7,10,81.1,81.1
2019-09-06 20:30:00,81.1,18.9,-24.2,-24.2
2019-08-09 20:30:00,-24.2,12.5,-2.2,-2.2
2019-07-05 20:30:00,-2.2,10,27.7,27.7
2019-06-07 20:30:00,27.7,8,106.5,106.5
2019-05-10 20:30:00,106.5,10,-7.2,-7.2
2019-04-05 20:30:00,-7.2,-10,55.9,55.9
2019-03-08 21:30:00,55.9,0.3,66.8,66.8
2019-02-08 21:30:00,66.8,8,-1.3,9.3
2019-01-04 21:30:00,9.3,6.8,94.1,94.1
2018-12-07 21:30:00,94.1,10.3,11.2,11.2
2018-11-02 20:30:00,11.2,12.7,63.3,63.3
2018-10-05 20:30:00,63.3,25,-51.6,-51.6
2018-09-07 20:30:00,-51.6,5.1,54.1,54.1
2018-08-10 20:30:00,54.1,17.5,31.8,31.8
2018-07-06 20:30:00,31.8,24,-7.5,-7.5
2018-06-08 20:30:00,-7.5,17.5,-1.1,-1.1
2018-05-11 20:30:00,-1.1,17.4,32.3,32.3
2018-04-06 20:30:00,32.3,18.8,15.4,15.4
