datetime,CAD_RS_MoM_Actual,CAD_RS_MoM_Srv_Med,CAD_RS_MoM_Revised,CAD_RS_MoM_Prior
2023-08-23 20:30:00,0.1,0.0,0.1,0.2
2023-07-21 20:30:00,0.2,0.5,1.0,1.1
2023-06-21 20:30:00,1.1,0.2,-1.5,-1.4
2023-05-19 20:30:00,-1.4,-1.4,-0.2,-0.2
2023-04-21 20:30:00,-0.2,-0.6,1.6,1.4
2023-03-24 20:30:00,1.4,0.7,0.5,0.5
2023-02-21 21:30:00,0.5,0.4,-0.1,-0.1
2023-01-20 21:30:00,-0.1,-0.5,1.3,1.4
2022-12-20 21:30:00,1.4,1.5,-0.6,-0.5
2022-11-22 21:30:00,-0.5,-0.5,0.4,0.7
2022-10-21 20:30:00,0.7,0.2,-2.2,-2.5
2022-09-23 20:30:00,-2.5,-2.0,1.0,1.1
2022-08-19 20:30:00,1.1,0.3,2.3,2.2
2022-07-22 20:30:00,2.2,1.6,0.7,0.9
2022-06-21 20:30:00,0.9,0.8,0.2,0
2022-05-26 20:30:00,0,1.4,0.2,0.1
2022-04-22 20:30:00,0.1,-0.4,3.3,3.2
2022-03-18 20:30:00,3.2,2.4,-2.0,-1.8
2022-02-18 21:30:00,-1.8,-2.1,0.8,0.7
2022-01-21 21:30:00,0.7,1.2,1.5,1.6
2021-12-21 21:30:00,1.6,1,-0.6,-0.6
2021-11-19 21:30:00,-0.6,-1.7,2.1,2.1
2021-10-22 20:30:00,2.1,2,-0.1,-0.6
2021-09-23 20:30:00,-0.6,-1.2,4.2,4.2
2021-08-20 20:30:00,4.2,4.4,-2.1,-2.1
2021-07-23 20:30:00,-2.1,-3,-5.7,-5.7
2021-06-23 20:30:00,-5.7,-5,3.6,3.6
2021-05-21 20:30:00,3.6,2.3,4.8,4.8
2021-04-28 20:30:00,4.8,4,-1.1,-1.1
2021-03-19 20:30:00,-1.1,-3,-3.4,-3.4
2021-02-19 21:30:00,-3.4,-2.5,1.8,1.3
2021-01-22 21:30:00,1.3,0.1,0.4,0.4
2020-12-18 21:30:00,0.4,0.2,1.1,1.1
2020-11-20 21:30:00,1.1,0.2,0.4,0.4
2020-10-21 20:30:00,0.4,1.1,0.6,0.6
2020-09-18 20:30:00,0.6,1,22.7,23.7
2020-08-21 20:30:00,23.7,24.5,21.2,18.7
2020-07-21 20:30:00,18.7,20,-25.0,-26.4
2020-06-19 20:30:00,-26.4,-15.1,-9.9,-10
2020-05-22 20:30:00,-10,-10,0.4,0.3
2020-04-21 20:30:00,0.3,0.2,0.6,0.4
2020-03-20 20:30:00,0.4,0.3,0.2,0
2020-02-21 21:30:00,0,0.1,1.1,0.9
2020-01-24 21:30:00,0.9,0.4,-1.1,-1.2
2019-12-20 21:30:00,-1.2,0.5,-0.1,-0.1
2019-11-22 21:30:00,-0.1,-0.1,0.1,-0.1
2019-10-22 20:30:00,-0.1,0.5,0.6,0.4
2019-09-20 20:30:00,0.4,0.4,-0.1,0
2019-08-23 20:30:00,0,-0.1,-0.2,-0.1
2019-07-19 20:30:00,-0.1,0.3,0.2,0.1
2019-06-21 20:30:00,0.1,0.3,1.3,1.1
2019-05-22 20:30:00,1.1,1,1.0,0.8
2019-04-18 20:30:00,0.8,0.4,-0.4,-0.3
2019-03-22 20:30:00,-0.3,0.4,-0.3,-0.1
2019-02-22 21:30:00,-0.1,0,-0.9,-0.9
2019-01-23 21:30:00,-0.9,-0.6,0.2,0.3
2018-12-21 21:30:00,0.3,0.4,0.1,0.2
2018-11-23 21:30:00,0.2,0.1,-0.1,-0.1
2018-10-19 20:30:00,-0.1,0.3,0.2,0.3
2018-09-21 20:30:00,0.3,0.4,-0.1,-0.2
2018-08-22 20:30:00,-0.2,0.1,2.2,2
2018-07-20 20:30:00,2,1.1,-1.2,-1.2
2018-06-22 20:30:00,-1.2,0,0.8,0.6
2018-05-18 20:30:00,0.6,0.3,0.5,0.4
2018-04-20 20:30:00,0.4,0.3,0.1,0.3
2018-03-23 20:30:00,0.3,1.1,-0.7,-0.8
2018-02-22 21:30:00,-0.8,0,0.3,0.2
2018-01-25 21:30:00,0.2,0.8,1.6,1.5
2017-12-21 21:30:00,1.5,0.3,0.2,0.1
2017-11-23 21:30:00,0.1,0.9,-0.1,-0.3
2017-10-20 20:30:00,-0.3,0.5,0.4,0.4
2017-09-22 20:30:00,0.4,0.1,0.1,0.1
2017-08-22 20:30:00,0.1,0.3,0.5,0.6
2017-07-21 20:30:00,0.6,0.2,0.7,0.8
2017-06-22 20:30:00,0.8,0.2,0.5,0.7
2017-05-19 20:30:00,0.7,0.4,-0.4,-0.6
2017-04-26 20:30:00,-0.6,-0.1,2.3,2.2
2017-03-21 20:30:00,2.2,1.1,-0.4,-0.5
2017-02-22 21:30:00,-0.5,0.1,0.3,0.2
2017-01-20 21:30:00,0.2,0.5,1.2,1.1
2016-12-22 21:30:00,1.1,0.2,0.8,0.6
2016-11-22 21:30:00,0.6,0.6,0.1,-0.1
2016-10-21 20:30:00,-0.1,0.3,-0.2,-0.1
2016-09-23 20:30:00,-0.1,0.1,-0.1,-0.1
2016-08-19 20:30:00,-0.1,0.5,0.2,0.2
2016-07-22 20:30:00,0.2,0,0.8,0.9
2016-06-22 20:30:00,0.9,0.9,-0.8,-1
2016-05-20 20:30:00,-1,-0.6,0.6,0.4
2016-04-22 20:30:00,0.4,-0.8,2.0,2.1
2016-03-18 20:30:00,2.1,0.6,-2.1,-2.2
2016-02-19 21:30:00,-2.2,-0.6,1.7,1.7
2016-01-22 21:30:00,1.7,0.2,0.1,0.1
2015-12-23 21:30:00,0.1,0.4,-0.4,-0.5
2015-11-20 21:30:00,-0.5,0.2,0.5,0.5
2015-10-22 20:30:00,0.5,0.1,0.6,0.5
2015-09-23 20:30:00,0.5,0.5,0.4,0.6
2015-08-21 20:30:00,0.6,0.2,0.9,1
2015-07-23 20:30:00,1,0.5,-0.1,-0.1
2015-06-19 20:30:00,-0.1,0.7,0.9,0.7
2015-05-22 20:30:00,0.7,0.3,1.5,1.7
2015-04-17 20:30:00,1.7,0.2,-1.4,-1.7
2015-03-20 20:30:00,-1.7,-0.7,-1.8,-2
2015-02-20 21:30:00,-2,-0.3,0.4,0.4
2015-01-23 21:30:00,0.4,0.1,0.0,0
2014-12-19 21:30:00,0,-0.2,0.8,0.8
2014-11-25 21:30:00,0.8,0.6,-0.2,-0.3
2014-10-22 20:30:00,-0.3,0.2,-0.1,-0.1
2014-09-23 20:30:00,-0.1,0.4,1.2,1.1
2014-08-22 20:30:00,1.1,0.6,0.9,0.7
2014-07-23 20:30:00,0.7,0.6,1.3,1.1
2014-06-20 20:30:00,1.1,0.4,0.1,-0.1
2014-05-22 20:30:00,-0.1,0.2,0.7,0.5
2014-04-23 20:30:00,0.5,0.5,0.9,1.3
2014-03-21 20:30:00,1.3,0.8,-1.9,-1.8
2014-02-21 21:30:00,-1.8,-0.5,0.5,0.6
2014-01-23 21:30:00,0.6,0.3,-0.1,-0.1
2013-12-20 21:30:00,-0.1,0.3,1.0,1
2013-11-22 21:30:00,1,0.5,0.1,0.2
2013-10-22 20:30:00,0.2,0.3,0.5,0.6
2013-09-24 20:30:00,0.6,1,-0.6,-0.6
2013-08-22 20:30:00,-0.6,-1,1.8,1.9
2013-07-23 20:30:00,1.9,0.4,0.2,0.1
2013-06-21 20:30:00,0.1,0.2,0.0,0
2013-05-22 20:30:00,0,0.2,0.7,0.8
2013-04-23 20:30:00,0.8,0.5,0.9,1
2013-03-21 20:30:00,1,1,-2.3,-2.1
2013-02-22 21:30:00,-2.1,-0.8,0.3,0.2
2013-01-22 21:30:00,0.2,-0.2,0.5,0.7
2012-12-20 21:30:00,0.7,0.1,0.2,0.1
2012-11-22 21:30:00,0.1,1,0.3,0.3
2012-10-23 20:30:00,0.3,0.4,0.7,0.7
2012-09-25 20:30:00,0.7,0.3,-0.3,-0.4
2012-08-22 20:30:00,-0.4,0.1,0.2,0.3
2012-07-24 20:30:00,0.3,0.5,-0.6,-0.5
2012-06-21 20:30:00,-0.5,0.3,0.4,0.4
2012-05-23 20:30:00,0.4,0.4,-0.2,-0.2
2012-04-24 20:30:00,-0.2,0.2,0.2,0.5
2012-03-22 20:30:00,0.5,1.8,0.0,-0.2
2012-02-21 21:30:00,-0.2,-0.2,0.4,0.3
2012-01-24 21:30:00,0.3,0.3,0.9,1
2011-12-21 21:30:00,1,0.4,1.0,1
2011-11-22 21:30:00,1,0.5,0.6,0.5
2011-10-25 20:30:00,0.5,0.4,-0.5,-0.6
2011-09-22 20:30:00,-0.6,-0.3,0.8,0.7
2011-08-23 20:30:00,0.7,0.6,0.3,0.1
2011-07-22 20:30:00,0.1,-0.3,0.3,0.3
2011-06-21 20:30:00,0.3,0.4,-0.1,0
2011-05-20 20:30:00,0,0.9,0.5,0.4
2011-04-21 20:30:00,0.4,0.6,-0.4,-0.3
2011-03-22 20:30:00,-0.3,1,-0.2,-0.2
2011-02-22 21:30:00,-0.2,-0.1,1.5,1.3
2011-01-21 21:30:00,1.3,0.5,1.0,0.8
2010-12-21 21:30:00,0.8,0.5,0.4,0.6
2010-11-23 21:30:00,0.6,0.8,0.7,0.5
2010-10-22 20:30:00,0.5,-0.1,0.1,-0.1
2010-09-22 20:30:00,-0.1,0.4,0.0,0.1
2010-08-24 20:30:00,0.1,0.4,-0.4,-0.2
2010-07-22 20:30:00,-0.2,0.5,-2.2,-2
2010-06-23 20:30:00,-2,,2.2,2.1
2010-05-21 20:30:00,2.1,0.2,0.8,0.5
2010-04-23 20:30:00,0.5,1.1,0.9,0.7
2010-03-19 20:30:00,0.7,0.6,0.5,0.4
2010-02-19 21:30:00,0.4,1.1,-0.5,-0.3
2010-01-22 21:30:00,-0.3,-0.3,1.0,0.8
2009-12-21 21:30:00,0.8,1,1.1,1
2009-11-23 21:30:00,1,0.6,1.0,0.8
2009-10-22 20:30:00,0.8,0.2,-0.5,-0.6
2009-09-22 20:30:00,-0.6,0.5,1.0,1
2009-08-24 20:30:00,1,0,1.1,1.2
2009-07-22 20:30:00,1.2,0.5,-0.6,-0.8
2009-06-19 20:30:00,-0.8,-0.2,0.3,0.3
2009-05-22 20:30:00,0.3,0.5,0.2,0.2
2009-04-23 20:30:00,0.2,-0.3,1.8,1.9
2009-03-20 20:30:00,1.9,0.8,-5.4,-5.4
2009-02-23 21:30:00,-5.4,-2.7,-2.4,-2.4
2009-01-22 21:30:00,-2.4,-1.8,-0.9,-0.9
2008-12-18 21:30:00,-0.9,-1.1,1.1,1.1
2008-11-25 21:30:00,1.1,0.4,-0.3,-0.3
2008-10-22 20:30:00,-0.3,-0.2,0.1,0.1
2008-09-22 20:30:00,0.1,0.2,0.5,0.5
2008-08-20 20:30:00,0.5,0.3,0.4,0.4
2008-07-22 20:30:00,0.4,0.5,0.6,0.6
2008-06-20 20:30:00,0.6,0.6,0.1,0.1
2008-05-22 21:30:00,0.1,0.3,-0.7,-0.7
