datetime,ECB_MLF_Actual,ECB_MLF_Srv_Med,ECB_MLF_Revised,ECB_MLF_Prior
2023-07-27 20:15:00,4.50,None,4.25,4.25
2023-06-15 20:15:00,4.25,None,4.00,4.00
2023-05-04 20:15:00,4.00,None,3.75,3.75
2023-03-16 21:15:00,3.75,None,3.25,3.25
2023-02-02 21:15:00,3.25,None,2.75,2.75
2022-12-15 21:15:00,2.75,2.75,2.25,2.25
2022-10-27 20:15:00,2.25,None,1.50,1.50
2022-09-08 20:15:00,1.50,None,0.75,0.75
2022-07-21 20:15:00,0.75,None,0.25,0.25
2022-06-09 19:45:00,0.25,None,0.25,0.25
2022-04-14 19:45:00,0.25,0.25,0.25,0.25
2022-03-10 20:45:00,0.25,None,0.25,0.25
2022-02-03 20:45:00,0.25,,0.25,0.25
2021-12-16 20:45:00,0.25,,0.25,0.25
2021-10-28 19:45:00,0.25,,0.25,0.25
2021-09-09 19:45:00,0.25,,0.25,0.25
2021-07-22 19:45:00,0.25,,0.25,0.25
2021-06-10 19:45:00,0.25,,0.25,0.25
2021-04-22 19:45:00,0.25,,0.25,0.25
2021-03-11 20:45:00,0.25,,0.25,0.25
2021-01-21 20:45:00,0.25,,0.25,0.25
2020-12-10 20:45:00,0.25,,0.25,0.25
2020-10-29 20:45:00,0.25,,0.25,0.25
2020-09-10 19:45:00,0.25,,0.25,0.25
2020-07-16 19:45:00,0.25,,0.25,0.25
2020-06-04 19:45:00,0.25,,0.25,0.25
2020-04-30 19:45:00,0.25,,0.25,0.25
2020-03-12 20:45:00,0.25,0.25,0.25,0.25
2020-01-23 20:45:00,0.25,,0.25,0.25
2019-12-12 20:45:00,0.25,0.25,0.25,0.25
2019-10-24 19:45:00,0.25,,0.25,0.25
2019-09-12 19:45:00,0.25,,0.25,0.25
2019-07-25 19:45:00,0.25,0.25,0.25,0.25
2019-06-06 19:45:00,0.25,0.25,0.25,0.25
2019-04-10 19:45:00,0.25,0.25,0.25,0.25
2019-03-07 20:45:00,0.25,0.25,0.25,0.25
2019-01-24 20:45:00,0.25,0.25,0.25,0.25
2018-12-13 20:45:00,0.25,0.25,0.25,0.25
2018-10-25 19:45:00,0.25,0.25,0.25,0.25
2018-09-13 19:45:00,0.25,0.25,0.25,0.25
2018-07-26 19:45:00,0.25,0.25,0.25,0.25
2018-06-14 19:45:00,0.25,0.25,0.25,0.25
2018-04-26 19:45:00,0.25,0.25,0.25,
