datetime,EUR_CPMI_MoM_Actual,EUR_CPMI_MoM_Srv_Med,EUR_CPMI_MoM_Revised,EUR_CPMI_MoM_Prior,Is_P
2023-09-05 16:00:00,None,None,47.0,48.6,0.0
2023-08-23 16:00:00,47.0,48.5,48.6,48.9,1.0
2023-08-03 16:00:00,48.6,48.9,49.9,49.9,0.0
2023-07-24 16:00:00,48.9,49.7,49.9,50.3,1.0
2023-07-05 16:00:00,49.9,50.3,52.8,52.8,0.0
2023-06-23 16:00:00,50.3,52.5,52.8,53.3,1.0
2023-06-05 16:00:00,52.8,53.3,54.1,54.1,0.0
2023-05-23 16:00:00,53.3,53.7,54.1,54.4,1.0
2023-05-04 16:00:00,54.1,54.4,53.7,53.7,0.0
2023-04-21 16:00:00,54.4,53.7,53.7,54.1,1.0
2023-04-05 16:00:00,53.7,54.1,52.0,52.0,0.0
2023-03-24 17:00:00,54.1,51.9,52.0,52.3,1.0
2023-03-03 17:00:00,52.0,52.3,50.3,50.3,0.0
2023-02-21 17:00:00,52.3,50.6,50.3,50.2,1.0
2023-02-03 17:00:00,50.3,50.2,49.3,49.3,0.0
2023-01-24 17:00:00,50.2,49.8,49.3,48.8,1.0
2023-01-04 17:00:00,49.3,48.8,47.8,47.8,0.0
2022-12-16 17:00:00,48.8,48.0,47.8,47.8,1.0
2022-12-05 17:00:00,47.8,47.8,47.3,47.3,0.0
2022-11-23 17:00:00,47.8,47.0,47.3,47.1,1.0
2022-11-04 17:00:00,47.3,47.1,48.1,48.1,0.0
2022-10-24 16:00:00,47.1,47.5,48.1,48.2,1.0
2022-10-05 16:00:00,48.1,48.2,48.9,48.9,0.0
2022-09-23 16:00:00,48.2,48.2,48.9,49.2,1.0
2022-09-05 16:00:00,48.9,49.2,49.9,49.9,0.0
2022-08-23 16:00:00,49.2,49.0,49.9,49.4,1.0
2022-08-03 16:00:00,49.9,49.4,52.0,52.0,0.0
2022-07-22 16:00:00,49.4,51.0,52.0,51.9,1.0
2022-07-05 16:00:00,52.0,51.9,54.8,54.8,0.0
2022-06-23 16:00:00,51.9,54.0,54.8,54.9,1.0
2022-06-03 16:00:00,54.8,54.9,54.9,55.8,0.0
2022-05-24 16:00:00,54.9,55.3,55.8,55.8,1.0
2022-05-04 16:00:00,55.8,55.8,54.9,54.9,0.0
2022-04-22 16:00:00,55.8,53.9,54.9,54.5,1.0
2022-04-05 16:00:00,54.9,54.5,55.5,55.5,0.0
2022-03-24 17:00:00,54.5,53.9,55.5,55.8,1.0
2022-03-03 17:00:00,55.5,55.8,52.3,52.3,0.0
2022-02-21 17:00:00,55.8,52.7,52.3,52.4,1.0
2022-02-03 17:00:00,52.3,52.4,53.3,53.3,0.0
2022-01-24 17:00:00,52.4,52.6,53.3,53.4,1.0
2022-01-05 17:00:00,53.3,53.4,55.4,55.4,0.0
2021-12-16 17:00:00,53.4,54.0,55.4,55.8,1.0
2021-12-03 17:00:00,55.4,55.8,54.2,54.2,0.0
2021-11-23 17:00:00,55.8,53.2,54.2,54.3,1.0
2021-11-04 17:00:00,54.2,54.3,56.2,56.2,0.0
2021-10-22 16:00:00,54.3,55.2,56.2,56.1,1.0
2021-10-05 16:00:00,56.2,56.1,59.0,59.0,0.0
2021-09-23 16:00:00,56.1,58.5,59.0,59.5,1.0
2021-09-03 16:00:00,59.0,59.5,60.2,60.2,0.0
2021-08-23 16:00:00,59.5,59.7,60.2,60.6,1.0
2021-08-04 16:00:00,60.2,60.6,59.5,59.5,0.0
2021-07-23 16:00:00,60.6,60.0,59.5,59.2,1.0
2021-07-05 16:00:00,59.5,59.2,57.1,57.1,0.0
2021-06-23 16:00:00,59.2,58.8,57.1,56.9,1.0
2021-06-03 16:00:00,57.1,56.9,53.8,53.8,0.0
2021-05-21 16:00:00,56.9,55.1,53.8,53.7,1.0
2021-05-05 16:00:00,53.8,53.7,53.2,53.2,0.0
2021-04-23 16:00:00,53.7,52.8,53.2,52.5,1.0
2021-04-07 16:00:00,53.2,52.5,48.8,48.8,0.0
2021-03-24 17:00:00,52.5,49.1,48.8,48.1,1.0
2021-03-03 17:00:00,48.8,48.1,47.8,47.8,0.0
2021-02-19 17:00:00,48.1,48.0,47.8,47.5,1.0
2021-02-03 17:00:00,47.8,47.5,47.5,49.1,0.0
2021-01-22 17:00:00,47.5,47.6,49.1,49.8,1.0
2021-01-06 17:00:00,49.1,49.8,45.3,45.3,0.0
2020-12-16 17:00:00,49.8,45.8,45.3,45.1,1.0
2020-12-03 17:00:00,45.3,45.1,50.0,50.0,0.0
2020-11-23 17:00:00,45.1,45.8,50.0,49.4,1.0
2020-11-04 17:00:00,50.0,49.4,50.4,50.4,0.0
2020-10-23 16:00:00,49.4,49.3,50.4,50.1,1.0
2020-10-05 16:00:00,50.4,50.1,51.9,51.9,0.0
2020-09-23 16:00:00,50.1,51.7,51.9,51.6,1.0
2020-09-03 16:00:00,51.9,51.6,54.9,54.9,0.0
2020-08-21 16:00:00,51.6,54.9,54.9,54.8,1.0
2020-08-05 16:00:00,54.9,54.8,48.5,48.5,0.0
2020-07-24 16:00:00,54.8,51.1,48.5,47.5,1.0
2020-07-03 16:00:00,48.5,47.5,31.9,31.9,0.0
2020-06-23 16:00:00,47.5,42.4,31.9,30.5,1.0
2020-06-03 16:00:00,31.9,30.5,13.6,13.6,0.0
2020-05-21 16:00:00,30.5,25.0,13.6,13.5,1.0
2020-05-06 16:00:00,13.6,13.5,29.7,29.7,0.0
2020-04-23 16:00:00,13.5,25.7,29.7,31.4,1.0
2020-04-03 16:00:00,29.7,31.4,51.6,51.6,0.0
2020-03-24 17:00:00,31.4,38.8,51.6,51.6,1.0
2020-03-04 17:00:00,51.6,51.6,51.3,51.3,0.0
2020-02-21 17:00:00,51.6,51.0,51.3,50.9,1.0
2020-02-05 17:00:00,51.3,50.9,50.9,50.9,0.0
2020-01-24 17:00:00,50.9,51.2,50.9,50.6,1.0
2020-01-06 17:00:00,50.9,50.6,50.6,50.6,0.0
2019-12-16 17:00:00,50.6,50.7,50.6,50.3,1.0
2019-12-04 17:00:00,50.6,50.3,50.6,50.6,0.0
2019-11-22 17:00:00,50.3,50.9,50.6,50.2,1.0
2019-11-06 17:00:00,50.6,50.2,50.1,50.1,0.0
2019-10-24 16:00:00,50.2,50.3,50.1,50.4,1.0
2019-10-03 16:00:00,50.1,50.4,51.9,51.9,0.0
2019-09-23 16:00:00,50.4,51.9,51.9,51.8,1.0
2019-09-04 16:00:00,51.9,51.8,51.8,51.5,0.0
2019-08-22 16:00:00,51.8,51.2,51.5,52.1,1.0
2019-08-05 16:00:00,51.5,51.5,51.5,51.5,0.0
2019-07-24 16:00:00,51.5,52.1,52.2,52.2,0.0
2019-07-03 16:00:00,52.2,52.1,52.1,51.8,0.0
2019-06-21 16:00:00,52.1,51.8,51.8,51.6,1.0
2019-06-05 16:00:00,51.8,51.6,51.6,51.5,0.0
2019-05-23 16:00:00,51.6,51.7,51.5,51.3,1.0
2019-05-06 16:00:00,51.5,51.3,51.3,51.6,0.0
2019-04-18 16:00:00,51.3,51.8,51.6,51.3,1.0
2019-04-03 16:00:00,51.6,51.3,51.3,51.9,0.0
2019-03-22 17:00:00,51.3,52.0,51.9,51.4,1.0
2019-03-05 17:00:00,51.9,51.4,51.4,51.0,0.0
2019-02-21 17:00:00,51.4,51.1,51.0,50.7,1.0
2019-02-05 17:00:00,51.0,50.7,50.7,51.1,0.0
2019-01-24 17:00:00,50.7,51.4,51.1,51.3,1.0
2019-01-04 17:00:00,51.1,51.3,51.3,52.7,0.0
2018-12-14 17:00:00,51.3,52.8,52.7,52.4,1.0
2018-12-05 17:00:00,52.7,52.4,52.4,53.1,0.0
2018-11-23 17:00:00,52.4,53.0,53.1,52.7,1.0
2018-11-06 17:00:00,53.1,52.7,52.7,54.1,0.0
2018-10-24 16:00:00,52.7,53.9,54.1,54.4,1.0
2018-10-03 16:00:00,54.1,54.2,54.2,54.2,0.0
2018-09-21 16:00:00,54.2,54.4,54.5,54.5,0.0
2018-09-05 16:00:00,54.5,54.4,54.4,54.3,0.0
2018-08-23 16:00:00,54.4,54.5,54.3,54.3,1.0
2018-08-03 16:00:00,54.3,54.3,54.3,54.9,0.0
2018-07-24 16:00:00,54.3,54.8,54.9,54.8,1.0
2018-07-04 16:00:00,54.9,54.8,54.8,54.1,0.0
2018-06-22 16:00:00,54.8,53.9,54.1,54.1,1.0
2018-06-05 16:00:00,54.1,54.1,54.1,55.1,0.0
2018-05-23 16:00:00,54.1,55.0,55.1,55.2,1.0
2018-05-04 16:00:00,55.1,55.2,55.2,55.2,0.0
2018-04-23 16:00:00,55.2,54.9,55.2,55.3,1.0
2018-04-05 16:00:00,55.2,55.3,55.3,57.1,0.0
2018-03-22 17:00:00,55.3,56.7,57.1,57.5,1.0
2018-03-05 17:00:00,57.1,57.5,57.5,58.8,0.0
2018-02-21 17:00:00,57.5,58.5,58.8,58.6,1.0
2018-02-05 17:00:00,58.8,58.6,58.6,58.1,0.0
2018-01-24 17:00:00,58.6,57.9,58.1,58.0,1.0
2018-01-04 17:00:00,58.1,58.0,58.0,57.5,0.0
2017-12-14 17:00:00,58.0,57.2,57.5,57.5,1.0
2017-12-05 17:00:00,57.5,57.5,57.5,56.0,0.0
2017-11-23 17:00:00,57.5,56.0,56.0,55.9,1.0
2017-11-06 17:00:00,56.0,55.9,55.9,56.7,0.0
2017-10-24 16:00:00,55.9,56.5,56.7,56.7,1.0
2017-10-04 16:00:00,56.7,56.7,56.7,55.7,0.0
2017-09-22 16:00:00,56.7,55.5,55.7,55.8,1.0
2017-09-05 16:00:00,55.7,55.8,55.8,55.7,0.0
2017-08-23 16:00:00,55.8,55.5,55.7,55.8,1.0
2017-08-03 16:00:00,55.7,55.8,55.8,56.3,0.0
2017-07-24 16:00:00,55.8,56.2,56.3,55.7,1.0
2017-07-05 16:00:00,56.3,55.7,55.7,56.8,0.0
2017-06-23 16:00:00,55.7,56.6,56.8,56.8,1.0
2017-06-05 16:00:00,56.8,56.8,56.8,56.8,0.0
2017-05-23 16:00:00,56.8,56.6,56.8,56.7,1.0
2017-05-04 16:00:00,56.8,56.7,56.7,56.4,0.0
2017-04-21 16:00:00,56.7,56.3,56.4,56.7,1.0
2017-04-05 16:00:00,56.4,56.7,56.7,56.0,0.0
2017-03-24 17:00:00,56.7,55.8,56.0,56.0,1.0
2017-03-03 17:00:00,56.0,56.0,56.0,54.4,0.0
2017-02-21 17:00:00,56.0,54.3,54.4,54.3,1.0
2017-02-03 17:00:00,54.4,54.3,54.3,54.4,0.0
2017-01-24 17:00:00,54.3,54.5,54.4,53.9,1.0
2017-01-04 17:00:00,54.4,53.9,53.9,53.9,0.0
2016-12-15 17:00:00,53.9,53.9,53.9,54.1,1.0
2016-12-05 17:00:00,53.9,54.1,54.1,53.3,0.0
2016-11-23 17:00:00,54.1,53.3,53.3,53.7,1.0
2016-11-04 17:00:00,53.3,53.7,53.7,52.6,0.0
2016-10-24 16:00:00,53.7,52.8,52.6,52.6,1.0
2016-10-05 16:00:00,52.6,52.6,52.6,52.9,0.0
2016-09-23 16:00:00,52.6,52.8,52.9,53.3,1.0
2016-09-05 16:00:00,52.9,53.3,53.3,53.2,0.0
2016-08-23 16:00:00,53.3,53.1,53.2,52.9,1.0
2016-08-03 16:00:00,53.2,52.9,52.9,53.1,0.0
2016-07-22 16:00:00,52.9,52.5,53.1,52.8,1.0
2016-07-05 16:00:00,53.1,52.8,52.8,53.1,0.0
2016-06-23 16:00:00,52.8,53.0,53.1,52.9,1.0
2016-06-03 16:00:00,53.1,52.9,52.9,53.0,0.0
2016-05-23 16:00:00,52.9,53.2,53.0,53.0,1.0
2016-05-04 16:00:00,53.0,53.0,53.0,53.1,0.0
2016-04-22 16:00:00,53.0,53.2,53.1,53.7,1.0
2016-04-05 16:00:00,53.1,53.7,53.7,53.0,0.0
2016-03-22 17:00:00,53.7,53.0,53.0,52.7,1.0
2016-03-03 17:00:00,53.0,52.7,52.7,53.6,0.0
2016-02-22 17:00:00,52.7,53.3,53.6,53.5,1.0
2016-02-03 17:00:00,53.6,53.5,53.5,54.3,0.0
2016-01-22 17:00:00,53.5,54.2,54.3,54.0,1.0
2016-01-06 17:00:00,54.3,54.0,54.0,54.2,0.0
2015-12-16 16:58:00,54.0,54.2,54.2,54.4,1.0
2015-12-03 17:00:00,54.2,54.4,54.4,53.9,0.0
2015-11-23 17:00:00,54.4,53.9,53.9,54.0,1.0
2015-11-04 17:00:00,53.9,54.0,54.0,53.6,0.0
2015-10-23 16:00:00,54.0,53.4,53.6,53.9,1.0
2015-10-05 16:00:00,53.6,53.9,53.9,54.3,0.0
2015-09-23 16:00:00,53.9,54.1,54.3,54.1,1.0
2015-09-03 16:00:00,54.3,54.1,54.1,53.9,0.0
2015-08-21 16:00:00,54.1,53.8,53.9,53.7,1.0
2015-08-05 16:00:00,53.9,53.7,53.7,54.2,0.0
2015-07-24 16:00:00,53.7,54.0,54.2,54.1,1.0
2015-07-03 16:00:00,54.2,54.1,54.1,53.6,0.0
2015-06-23 16:00:00,54.1,53.5,53.6,53.4,1.0
2015-06-03 16:00:00,53.6,53.4,53.4,53.9,0.0
2015-05-21 16:00:00,53.4,53.8,53.9,53.5,1.0
2015-05-06 16:00:00,53.9,53.5,53.5,54.0,0.0
2015-04-23 16:00:00,53.5,54.4,54.0,54.1,1.0
2015-04-07 16:00:00,54.0,54.1,54.1,53.3,0.0
2015-03-24 17:00:00,54.1,53.6,53.3,53.5,1.0
2015-03-04 17:00:00,53.3,53.5,53.5,52.6,0.0
2015-02-20 17:00:00,53.5,53.0,52.6,52.2,1.0
2015-02-04 17:00:00,52.6,52.2,52.2,51.4,0.0
2015-01-23 17:00:00,52.2,51.8,51.4,51.7,1.0
2015-01-06 17:00:00,51.4,51.7,51.7,51.1,0.0
2014-12-16 17:00:00,51.7,51.3,51.1,51.4,1.0
2014-12-03 17:00:00,51.1,51.4,51.4,52.1,0.0
2014-11-20 17:00:00,51.4,52.3,52.1,52.2,1.0
2014-11-05 17:00:00,52.1,52.2,52.2,52.00,0.0
2014-10-23 16:00:00,52.2,51.7,52.0,,1.0
2014-10-03 16:00:00,52.00,52.30,52.3,52.50,0.0
2014-09-01 17:00:00,52.50,,53.8,53.80,0.0
2014-08-01 17:00:00,53.80,,52.8,52.80,0.0
