datetime,EUR_GDP_YoY_Actual,EUR_GDP_YoY_Srv_Med,EUR_GDP_YoY_Revised,EUR_GDP_YoY_Prior,Is_P
2023-08-16 17:00:00,0.6,0.6,1.1,0.6,1.0
2023-07-31 17:00:00,0.6,0.5,1.1,1.0,1.0
2023-06-08 17:00:00,1.0,1.2,1.8,1.3,1.0
2023-05-16 17:00:00,1.3,1.3,1.3,1.3,1.0
2023-04-28 17:00:00,1.3,1.4,1.8,1.8,1.0
2023-03-08 18:00:00,1.8,1.9,2.3,1.9,1.0
2023-02-14 18:00:00,1.9,1.9,2.3,1.9,1.0
2023-01-31 18:00:00,1.9,2.2,2.3,2.3,1.0
2022-12-07 18:00:00,2.3,2.1,4.2,2.1,1.0
2022-11-15 18:00:00,2.1,2.1,4.3,2.1,1.0
2022-10-31 18:00:00,2.1,None,4.3,4.1,1.0
2022-09-07 17:00:00,4.1,3.9,5.4,3.9,1.0
2022-08-17 17:00:00,3.9,4.0,4.0,4.0,1.0
2022-07-29 17:00:00,4.0,3.4,5.4,5.4,1.0
2022-06-08 17:00:00,5.4,5.1,4.7,5.1,1.0
2022-05-17 17:00:00,5.1,5.0,5.0,5.0,1.0
2022-04-29 17:00:00,5.0,5.0,4.7,4.6,1.0
2022-03-08 18:00:00,4.6,4.6,3.9,4.6,1.0
2022-02-15 18:00:00,4.6,4.6,3.9,4.6,1.0
2022-01-31 18:00:00,4.6,4.7,3.9,3.9,1.0
2021-12-07 18:00:00,3.9,3.7,14.2,3.7,1.0
2021-11-16 18:00:00,3.7,3.7,14.2,-15.0,0.0
2021-10-29 17:00:00,3.7,,14.2,14.3,1.0
2021-09-07 17:00:00,14.3,13.6,13.6,13.6,1.0
2021-08-17 17:00:00,13.6,13.7,13.7,13.7,1.0
2021-07-30 17:00:00,13.7,13.2,-1.3,-1.3,1.0
2021-06-08 17:00:00,-1.3,-1.8,-1.8,-1.8,1.0
2021-05-18 17:00:00,-1.8,-1.8,-1.8,-1.8,1.0
